GPS_id,Sample_id,id,Site,Easting_m,Northing_m,Elevation_m,TDR_T(C)_1,TDR_T(C)_2,TDR_T(C)_3,TDR_SM(VWC%)_1,TDR_SM(VWC%)_2,TDR_SM(VWC%)_3,TDR_EC(mS/m)_1,TDR_EC(mS/m)_2,TDR_EC(mS/m)_3
ss120,ss120a,120,Snodgrass,329100.1391,4310557.043,3011.795193,13.8,13.5,13.3,8.3,9.8,8,0.04,0,0.02
ss121,ss121a,121,Snodgrass,329126.1629,4310581.655,3004.230444,13.3,13.4,13.2,10.9,12.7,12.7,0.02,0,0
ss122,ss122a,122,Snodgrass,329158.5121,4310609.136,2994.449178,13.1,12.9,12.9,9,8.7,5.1,0,0.02,0.01
ss123,ss123a,123,Snodgrass,329185.932,4310634.159,2988.970422,12.5,12.3,12.1,8.7,11.2,10.1,0.03,0.05,0.02
ss124,ss124a,124,Snodgrass,329210.1488,4310656.737,2988.75163,11.8,11.7,11.7,9.8,9.4,10.5,0.03,0.02,0.04
ss125,ss125a,125,Snodgrass,329231.4947,4310678.329,2978.385609,12.2,12.2,12.1,30,21.3,25.7,0.11,0.06,0.06
ss126,ss126a,126,Snodgrass,329243.9949,4310689.188,2977.673165,12,11.8,11.6,8,8.3,7.2,0.02,0.04,0.03
TDR001,,,Pumphouse,330844.2226,4309736.431,,32.7,,,6.9,,,0,,
TDR002,,,Pumphouse,330813.1164,4309733.912,,32.1,,,11.9,,,0,,
TDR003,,,Pumphouse,330794.0216,4309752.9,,31.8,,,1.8,,,0,,
TDR004,,,Pumphouse,330786.407,4309768.784,,31.7,,,7.2,,,0,,
TDR005,,,Pumphouse,330842.8634,4309749.643,,30.6,,,10.9,,,0,,
TDR006,,,Pumphouse,330847.4667,4309771.593,,29.8,,,14.1,,,0.1,,
TDR007,,,Pumphouse,330818.3847,4309806.798,,29.3,,,6.2,,,0,,
TDR008,,,Pumphouse,330793.1023,4309828.223,,28.9,,,22.1,,,0.1,,
