ï»¿Figure 3.  water table data,,,,,,,,,,,,,,,,,,
original elevation data on: https://lbnlsfa.paf.subsurfaceinsights.com/login/?redir=%2Fdatadownload%2F&show_redir_msg=1,,,,,,,,,,,,,,,,,,
"soil surface elevations for PLM1 = 2786.74 m , PLM6 = 2759.58 m",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Figure 3a.,,,,"Figure 3b,c",,,,,,,,,,,,,,
date,Average water table depth below the soil surface,gradient,,,depth below local soil surface,,,,,,,,,,,,,
,m,m/m,,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6,,PLM1,PLM6
2/28/20,-3.135,0.192,,,,,,,,,,,,,,,,
2/29/20,-3.133,0.191,,,,,,,,,,,,,,,,
3/1/20,-3.162,0.190,,,,,,,,,,,,,,,,
3/2/20,-3.172,0.190,,,,,,,,,,,,,,,,
3/3/20,-3.168,0.190,,,,,,,,,,,,,,,,
3/4/20,-3.166,0.191,,,,,,,,,,,,,,,,
3/5/20,-3.157,0.191,,,,,,,,,,,,,,,,
3/6/20,-3.149,0.192,,,,,,,,,,,,,,,,
3/7/20,-3.160,0.191,,,,,,,,,,,,,,,,
3/8/20,-3.184,0.190,,,,,,,,,,,,,,,,
3/9/20,-3.192,0.190,,,,,,,,,,,,,,,,
3/10/20,-3.184,0.191,,,,,,,,,,,,,,,,
3/11/20,-3.184,0.191,,,,,,,,,,,,,,,,
3/12/20,-3.192,0.190,,,,,,,,,,,,,,,,
3/13/20,-3.191,0.190,,,,,,,,,,,,,,,,
3/14/20,-3.205,0.190,,,,,,,,,,,,,,,,
3/15/20,-3.197,0.191,,,,,,,,,,,,,,,,
3/16/20,-3.195,0.191,,,,,,,,,,,,,,,,
3/17/20,-3.199,0.190,,,,,,,,,,,,,,,,
3/18/20,-3.201,0.190,,,,,,,,,,,,,,,,
3/19/20,-3.216,0.189,,,,,,,,,,,,,,,,
3/20/20,-3.211,0.190,,,,,,,,,,,,,,,,
3/21/20,-3.194,0.191,,,,,,,,,,,,,,,,
3/22/20,-3.198,0.190,,,,,,,,,,,,,,,,
3/23/20,-3.198,0.190,,,,,,,,,,,,,,,,
3/24/20,-3.208,0.190,,,,,,,,,,,,,,,,
3/25/20,-3.214,0.190,,,,,,,,,,,,,,,,
3/26/20,-3.224,0.190,,,,,,,,,,,,,,,,
3/27/20,-3.227,0.189,,,,,,,,,,,,,,,,
3/28/20,-3.217,0.190,,,,,,,,,,,,,,,,
3/29/20,-3.208,0.190,,,,,,,,,,,,,,,,
3/30/20,-3.215,0.190,,,,,,,,,,,,,,,,
3/31/20,-3.216,0.190,,,,,,,,,,,,,,,,
4/1/20,-3.216,0.190,,,,,,,,,,,,,,,,
4/2/20,-3.235,0.189,,,,,,,,,,,,,,,,
4/3/20,-3.227,0.190,,,,,,,,,,,,,,,,
4/4/20,-3.231,0.190,,,,,,,,,,,,,,,,
4/5/20,-3.238,0.189,,,,,,,,,,,,,,,,
4/6/20,-3.235,0.190,,,,,,,,,,,,,,,,
4/7/20,-3.231,0.190,,,,,,,,,,,,,,,,
4/8/20,-3.214,0.190,,,,,,,,,,,,,,,,
4/9/20,-3.199,0.190,,,,,,,,,,,,,,,,
4/10/20,-3.192,0.189,,,,,,,,,,,,,,,,
4/11/20,-3.163,0.189,,,,,,,,,,,,,,,,
4/12/20,-3.154,0.188,,,,,,,,,,,,,,,,
4/13/20,-3.138,0.188,,,,,,,,,,,,,,,,
4/14/20,-3.114,0.189,,,,,,,,,,,,,,,,
4/15/20,-3.112,0.188,,,,,,,,,,,,,,,,
4/16/20,-3.130,0.188,,,,,,,,,,,,,,,,
4/17/20,-3.131,0.188,,,,,,,,,,,,,,,,
4/18/20,-3.124,0.188,,,,,,,,,,,,,,,,
4/19/20,-3.139,0.188,,,,,,,,,,,,,,,,
4/20/20,-3.136,0.188,,,,,,,,,,,,,,,,
4/21/20,-3.134,0.188,,,,,,,,,,,,,,,,
4/22/20,-3.119,0.188,,,,,,,,,,,,,,,,
4/23/20,-3.086,0.188,,,,,,,,,,,,,,,,
4/24/20,-3.056,0.187,,,,,,,,,,,,,,,,
4/25/20,-3.011,0.187,,,,,,,,,,,,,,,,
4/26/20,-2.959,0.186,,,,,,,,,,,,,,,,
4/27/20,-2.895,0.186,,,,,,,,,,,,,,,,
4/28/20,-2.833,0.185,,,,,,,,,,,,,,,,
4/29/20,-2.736,0.184,,,,,,,,,,,,,,,,
4/30/20,-2.641,0.184,,,,,,,,,,,,,,,,
5/1/20,-2.548,0.183,,,,,,,,,,,,,,,,
5/2/20,-2.416,0.183,,,,,,,,,,,,,,,,
5/3/20,-2.261,0.183,,,,,,,,,,,,,,,,
5/4/20,-2.108,0.183,,,,,,,,,,,,,,,,
5/5/20,-1.943,0.185,,,,,,,,,,,,,,,,
5/6/20,-1.820,0.187,,,,,,,,,,,,,,,,
5/7/20,-1.702,0.188,,,,,,,,,,,,,,,,
5/8/20,-1.585,0.190,,,,,,,,,,,,,,,,
5/9/20,-1.493,0.191,,,,,,,,,,,,,,,,
5/10/20,-1.404,0.193,,,,,,,,,,,,,,,,
5/11/20,-1.317,0.194,,,,,,,,,,,,,,,,
5/12/20,-1.249,0.195,,,,,,,,,,,,,,,,
5/13/20,-1.197,0.195,,,,,,,,,,,,,,,,
5/14/20,-1.147,0.196,,,,,,,,,,,,,,,,
5/15/20,-1.104,0.197,,,,,,,,,,,,,,,,
5/16/20,-1.072,0.198,,,,,,,,,,,,,,,,
5/17/20,-1.061,0.198,,,,,,,,,,,,,,,,
5/18/20,-1.049,0.198,,,,,,,,,,,,,,,,
5/19/20,-1.031,0.199,,,,,,,,,,,,,,,,
5/20/20,-1.014,0.199,,,,,,,,,,,,,,,,
5/21/20,-0.990,0.200,,,,,,,,,,,,,,,,
5/22/20,-1.000,0.200,,,,,,,,,,,,,,,,
5/23/20,-1.010,0.200,,,,,,,,,,,,,,,,
5/24/20,-1.001,0.200,,,,,,,,,,,,,,,,
5/25/20,-1.006,0.200,,,,,,,,,,,,,,,,
5/26/20,-1.025,0.200,,,,,,,,,,,,,,,,
5/27/20,-1.049,0.200,,,,,,,,,,,,,,,,
5/28/20,-1.062,0.200,,,,,,,,,,,,,,,,
5/29/20,-1.082,0.200,,,,,,,,,,,,,,,,
5/30/20,-1.083,0.201,,,,,,,,,,,,,,,,
5/31/20,-1.081,0.201,,,,,,,,,,,,,,,,
6/1/20,-1.094,0.201,,,,,,,,,,,,,,,,
6/2/20,-1.194,0.202,,,,,,,,,,,,,,,,
6/3/20,-1.235,0.202,,,,,,,,,,,,,,,,
6/4/20,-1.136,0.201,,,,,,,,,,,,,,,,
6/5/20,-1.154,0.201,,,,,,,,,,,,,,,,
6/6/20,-1.149,0.201,,,,,,,,,,,,,,,,
6/7/20,-1.147,0.201,,,,,,,,,,,,,,,,
6/8/20,-1.172,0.200,,,,,,,,,,,,,,,,
6/9/20,-1.161,0.201,,,,,,,,,,,,,,,,
6/10/20,-1.199,0.201,,,,,,,,,,,,,,,,
6/11/20,-1.234,0.201,,,,,,,,,,,,,,,,
6/12/20,-1.257,0.201,,,,,,,,,,,,,,,,
6/13/20,-1.278,0.201,,,,,,,,,,,,,,,,
6/14/20,-1.284,0.200,,,,,,,,,,,,,,,,
6/15/20,-1.306,0.201,,,,,,,,,,,,,,,,
6/16/20,-1.334,0.200,,,,,,,,,,,,,,,,
6/17/20,-1.360,0.200,,,,,,,,,,,,,,,,
6/18/20,-1.374,0.200,,,,,,,,,,,,,,,,
6/19/20,-1.394,0.200,,,,,,,,,,,,,,,,
6/20/20,-1.414,0.200,,,,,,,,,,,,,,,,
6/21/20,-1.442,0.200,,,,,,,,,,,,,,,,
6/22/20,-1.466,0.200,,,,,,,,,,,,,,,,
6/23/20,-1.494,0.200,,,,,,,,,,,,,,,,
6/24/20,-1.514,0.200,,,,,,,,,,,,,,,,
6/25/20,-1.533,0.200,,,,,,,,,,,,,,,,
6/26/20,-1.546,0.200,,,,,,,,,,,,,,,,
6/27/20,-1.566,0.200,,,,,,,,,,,,,,,,
6/28/20,-1.581,0.200,,,,,,,,,,,,,,,,
6/29/20,-1.602,0.199,,,,,,,,,,,,,,,,
6/30/20,-1.627,0.200,,,,,,,,,,,,,,,,
7/1/20,-1.644,0.200,,,,,,,,,,,,,,,,
7/2/20,-1.676,0.200,,,,,,,,,,,,,,,,
7/3/20,-1.695,0.200,,,,,,,,,,,,,,,,
7/4/20,-1.712,0.200,,,,,,,,,,,,,,,,
7/5/20,-1.728,0.200,,,,,,,,,,,,,,,,
7/6/20,-1.752,0.199,,,,,,,,,,,,,,,,
7/7/20,-1.771,0.199,,,,,,,,,,,,,,,,
7/8/20,-1.785,0.199,,,,,,,,,,,,,,,,
7/9/20,-1.808,0.199,,,,,,,,,,,,,,,,
7/10/20,-1.825,0.199,,,,,,,,,,,,,,,,
7/11/20,-1.851,0.199,,,,,,,,,,,,,,,,
7/12/20,-1.864,0.199,,,,,,,,,,,,,,,,
7/13/20,-1.873,0.199,,,,,,,,,,,,,,,,
7/14/20,-1.956,0.199,,,,,,,,,,,,,,,,
7/15/20,-1.893,0.199,,,,,,,,,,,,,,,,
7/16/20,-1.892,0.199,,,,,,,,,,,,,,,,
7/17/20,-1.912,0.199,,,,,,,,,,,,,,,,
7/18/20,-1.921,0.199,,,,,,,,,,,,,,,,
7/19/20,-1.941,0.199,,,,,,,,,,,,,,,,
7/20/20,-1.946,0.199,,,,,,,,,,,,,,,,
7/21/20,-2.059,0.199,,,,,,,,,,,,,,,,
7/22/20,-1.987,0.199,,,,,,,,,,,,,,,,
7/23/20,-1.996,0.199,,,,,,,,,,,,,,,,
7/24/20,-2.009,0.199,,,,,,,,,,,,,,,,
7/25/20,-2.011,0.199,,,,,,,,,,,,,,,,
7/26/20,-2.028,0.198,,,,,,,,,,,,,,,,
7/27/20,-2.041,0.198,,,,,,,,,,,,,,,,
7/28/20,-2.052,0.198,,,,,,,,,,,,,,,,
7/29/20,-2.125,0.199,,,,,,,,,,,,,,,,
7/30/20,-2.066,0.198,,,,,,,,,,,,,,,,
7/31/20,-2.075,0.198,,,,,,,,,,,,,,,,
8/1/20,-2.079,0.198,,,,,,,,,,,,,,,,
8/2/20,-2.094,0.198,,,,,,,,,,,,,,,,
8/3/20,-2.112,0.198,,,,,,,,,,,,,,,,
8/4/20,-2.238,0.199,,,,,,,,,,,,,,,,
8/5/20,-2.137,0.198,,,,,,,,,,,,,,,,
8/6/20,-2.141,0.198,,,,,,,,,,,,,,,,
8/7/20,-2.148,0.198,,,,,,,,,,,,,,,,
8/8/20,-2.159,0.198,,,,,,,,,,,,,,,,
8/9/20,-2.172,0.198,,,,,,,,,,,,,,,,
8/10/20,-2.186,0.198,,,,,,,,,,,,,,,,
8/11/20,-2.196,0.198,,,,,,,,,,,,,,,,
8/12/20,-2.267,0.198,,,,,,,,,,,,,,,,
8/13/20,-2.213,0.198,,,,,,,,,,,,,,,,
8/14/20,-2.226,0.198,,,,,,,,,,,,,,,,
8/15/20,-2.240,0.198,,,,,,,,,,,,,,,,
8/16/20,-2.252,0.198,,,,,,,,,,,,,,,,
8/17/20,-2.264,0.198,,,,,,,,,,,,,,,,
8/18/20,-2.272,0.198,,,,,,,,,,,,,,,,
8/19/20,-2.369,0.198,,,,,,,,,,,,,,,,
8/20/20,-2.286,0.197,,,,,,,,,,,,,,,,
8/21/20,-2.298,0.197,,,,,,,,,,,,,,,,
8/22/20,-2.311,0.197,,,,,,,,,,,,,,,,
8/23/20,-2.318,0.197,,,,,,,,,,,,,,,,
8/24/20,-2.369,0.197,,,,,,,,,,,,,,,,
8/25/20,-2.325,0.197,,,,,,,,,,,,,,,,
8/26/20,-2.329,0.197,,,,,,,,,,,,,,,,
8/27/20,-2.392,0.198,,,,,,,,,,,,,,,,
8/28/20,-2.435,0.198,,,,,,,,,,,,,,,,
8/29/20,-2.328,0.197,,,,,,,,,,,,,,,,
8/30/20,-2.338,0.197,,,,,,,,,,,,,,,,
8/31/20,-2.349,0.197,,,,,,,,,,,,,,,,
9/1/20,-2.431,0.197,,,,,,,,,,,,,,,,
9/2/20,-2.380,0.197,,,,,,,,,,,,,,,,
9/3/20,-2.394,0.197,,,,,,,,,,,,,,,,
9/4/20,-2.410,0.197,,,,,,,,,,,,,,,,
9/5/20,-2.425,0.197,,,,,,,,,,,,,,,,
9/6/20,-2.427,0.197,,,,,,,,,,,,,,,,
9/7/20,-2.419,0.197,,,,,,,,,,,,,,,,
9/8/20,-2.387,0.197,,,,,,,,,,,,,,,,
9/9/20,-2.381,0.197,,,,,,,,,,,,,,,,
9/10/20,-2.447,0.198,,,,,,,,,,,,,,,,
9/11/20,-2.414,0.197,,,,,,,,,,,,,,,,
9/12/20,-2.433,0.197,,,,,,,,,,,,,,,,
9/13/20,-2.457,0.197,,,,,,,,,,,,,,,,
9/14/20,-2.530,0.197,,,,,,,,,,,,,,,,
9/15/20,-2.479,0.197,,,,,,,,,,,,,,,,
9/16/20,-2.480,0.197,,,,,,,,,,,,,,,,
9/17/20,-2.484,0.197,,,,,,,,,,,,,,,,
9/18/20,-2.490,0.197,,,,,,,,,,,,,,,,
9/19/20,-2.496,0.196,,,,,,,,,,,,,,,,
9/20/20,-2.514,0.196,,,,,,,,,,,,,,,,
9/21/20,-2.520,0.196,,,,,,,,,,,,,,,,
9/22/20,-2.523,0.196,,,,,,,,,,,,,,,,
9/23/20,-2.602,0.196,,,,,,,,,,,,,,,,
9/24/20,-2.550,0.196,,,,,,,,,,,,,,,,
9/25/20,-2.545,0.196,,,,,,,,,,,,,,,,
9/26/20,-2.550,0.196,,,,,,,,,,,,,,,,
9/27/20,-2.560,0.196,,,,,,,,,,,,,,,,
9/28/20,-2.549,0.196,,,,,,,,,,,,,,,,
9/29/20,-2.609,0.197,,,,,,,,,,,,,,,,
9/30/20,-2.573,0.196,,,,,,,,,,,,,,,,
10/1/20,-2.57,0.196,,,,,,,,,,,,,,,,
10/2/20,-2.57,0.196,,,,,,,,,,,,,,,,
10/3/20,-2.58,0.196,,,,,,,,,,,,,,,,
10/4/20,-2.59,0.196,,,,,,,,,,,,,,,,
10/5/20,-2.66,0.196,,,,,,,,,,,,,,,,
10/6/20,-2.61,0.196,,,,,,,,,,,,,,,,
10/7/20,-2.62,0.196,,,,,,,,,,,,,,,,
10/8/20,-2.62,0.195,,,,,,,,,,,,,,,,
10/9/20,-2.63,0.195,,,,,,,,,,,,,,,,
10/10/20,-2.63,0.195,,,,,,,,,,,,,,,,
10/11/20,-2.63,0.195,,,,,,,,,,,,,,,,
10/12/20,-2.62,0.196,,,,,,,,,,,,,,,,
10/13/20,-2.69,0.196,,,,,,,,,,,,,,,,
10/14/20,-2.67,0.195,,,,,,,,,,,,,,,,
10/15/20,-2.67,0.195,,,,,,,,,,,,,,,,
10/16/20,-2.65,0.195,,,,,,,,,,,,,,,,
10/17/20,-2.67,0.195,,,,,,,,,,,,,,,,
10/18/20,-2.68,0.195,,,,,,,,,,,,,,,,
10/19/20,-2.69,0.195,,,,,,,,,,,,,,,,
10/20/20,-2.71,0.195,,,,,,,,,,,,,,,,
10/21/20,-2.70,0.195,,,,,,,,,,,,,,,,
10/22/20,-2.72,0.194,,,,,,,,,,,,,,,,
10/23/20,-2.72,0.194,,,,,,,,,,,,,,,,
10/24/20,-2.71,0.194,,,,,,,,,,,,,,,,
10/25/20,-2.72,0.194,,,,,,,,,,,,,,,,
10/26/20,-2.69,0.194,,,,,,,,,,,,,,,,
10/27/20,-2.68,0.195,,,,,,,,,,,,,,,,
10/28/20,-2.82,0.196,,,,,,,,,,,,,,,,
10/29/20,-2.73,0.195,,,,,,,,,,,,,,,,
10/30/20,-2.73,0.195,,,,,,,,,,,,,,,,
10/31/20,-2.73,0.195,,,,,,,,,,,,,,,,
11/1/20,-2.74,0.195,,,,,,,,,,,,,,,,
11/2/20,-2.74,0.195,,,,,,,,,,,,,,,,
11/3/20,-2.82,0.195,,,,,,,,,,,,,,,,
11/4/20,-2.76,0.195,,,,,,,,,,,,,,,,
11/5/20,-2.77,0.195,,,,,,,,,,,,,,,,
11/6/20,-2.75,0.194,,,,,,,,,,,,,,,,
11/7/20,-2.76,0.194,,,,,,,,,,,,,,,,
11/8/20,-2.75,0.193,,,,,,,,,,,,,,,,
11/9/20,-2.75,0.194,,,,,,,,,,,,,,,,
11/10/20,-2.83,0.195,,,,,,,,,,,,,,,,
11/11/20,-2.75,0.194,,,,,,,,,,,,,,,,
11/12/20,-2.77,0.194,,,,,,,,,,,,,,,,
11/13/20,-2.76,0.195,,,,,,,,,,,,,,,,
11/14/20,-2.78,0.194,,,,,,,,,,,,,,,,
11/15/20,-2.79,0.194,,,,,,,,,,,,,,,,
11/16/20,-2.82,0.194,,,,,,,,,,,,,,,,
11/17/20,-2.81,0.194,,,,,,,,,,,,,,,,
11/18/20,-2.81,0.194,,,,,,,,,,,,,,,,
11/19/20,-2.89,0.193,,,,,,,,,,,,,,,,
11/20/20,-2.84,0.194,,,,,,,,,,,,,,,,
11/21/20,-2.85,0.194,,,,,,,,,,,,,,,,
11/22/20,-2.83,0.194,,,,,,,,,,,,,,,,
11/23/20,-2.84,0.193,,,,,,,,,,,,,,,,
11/24/20,-2.84,0.193,,,,,,,,,,,,,,,,
11/25/20,-2.83,0.194,,,,,,,,,,,,,,,,
11/26/20,-2.83,0.193,,,,,,,,,,,,,,,,
11/27/20,-2.85,0.194,,,,,,,,,,,,,,,,
11/28/20,-2.84,0.194,,,,,,,,,,,,,,,,
11/29/20,-2.85,0.194,,,,,,,,,,,,,,,,
11/30/20,-2.85,0.194,,,,,,,,,,,,,,,,
12/1/20,-2.84,0.194,,,,,,,,,,,,,,,,
12/2/20,-2.85,0.194,,,,,,,,,,,,,,,,
12/3/20,-2.91,0.194,,,,,,,,,,,,,,,,
12/4/20,-2.87,0.194,,,,,,,,,,,,,,,,
12/5/20,-2.88,0.193,,,,,,,,,,,,,,,,
12/6/20,-2.87,0.193,,,,,,,,,,,,,,,,
12/7/20,-2.88,0.193,,,,,,,,,,,,,,,,
12/8/20,-2.89,0.194,,,,,,,,,,,,,,,,
12/9/20,-2.88,0.193,,,,,,,,,,,,,,,,
12/10/20,-2.88,0.193,,,,,,,,,,,,,,,,
12/11/20,-2.90,0.192,,,,,,,,,,,,,,,,
12/12/20,-2.89,0.192,,,,,,,,,,,,,,,,
12/13/20,-2.90,0.193,,,,,,,,,,,,,,,,
12/14/20,-2.93,0.193,,,,,,,,,,,,,,,,
12/15/20,-2.97,0.193,,,,,,,,,,,,,,,,
12/16/20,-2.92,0.193,,,,,,,,,,,,,,,,
12/17/20,-2.92,0.193,,,,,,,,,,,,,,,,
12/18/20,-2.94,0.192,,,,,,,,,,,,,,,,
12/19/20,-2.93,0.193,,,,,,,,,,,,,,,,
12/20/20,-2.95,0.193,,,,,,,,,,,,,,,,
12/21/20,-2.95,0.193,,,,,,,,,,,,,,,,
12/22/20,-2.94,0.192,,,,,,,,,,,,,,,,
12/23/20,-2.95,0.192,,,,,,,,,,,,,,,,
12/24/20,-2.94,0.193,,,,,,,,,,,,,,,,
12/25/20,-2.94,0.193,,,,,,,,,,,,,,,,
12/26/20,-2.94,0.192,,,,,,,,,,,,,,,,
12/27/20,-2.97,0.192,,,,,,,,,,,,,,,,
12/28/20,-2.97,0.192,,,,,,,,,,,,,,,,
12/29/20,-2.99,0.191,,,,,,,,,,,,,,,,
12/30/20,-2.97,0.192,,,,,,,,,,,,,,,,
12/31/20,-2.97,0.192,,,,,,,,,,,,,,,,
1/1/21,-2.99,0.192,,,,,,,,,,,,,,,,
1/2/21,-2.99,0.192,,,,,,,,,,,,,,,,
1/3/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/4/21,-3.01,0.192,,,,,,,,,,,,,,,,
1/5/21,-3.01,0.192,,,,,,,,,,,,,,,,
1/6/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/7/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/8/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/9/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/10/21,-3.01,0.192,,,,,,,,,,,,,,,,
1/11/21,-3.00,0.192,,,,,,,,,,,,,,,,
1/12/21,-2.99,0.192,,,,,,,,,,,,,,,,
1/13/21,-3.01,0.192,,,,,,,,,,,,,,,,
1/14/21,-3.04,0.192,,,,,,,,,,,,,,,,
1/15/21,-3.04,0.192,,,,,,,,,,,,,,,,
1/16/21,-3.05,0.191,,,,,,,,,,,,,,,,
1/17/21,-3.06,0.191,,,,,,,,,,,,,,,,
1/18/21,-3.07,0.191,,,,,,,,,,,,,,,,
1/19/21,-3.06,0.191,,,,,,,,,,,,,,,,
1/20/21,-3.09,0.193,,,,,,,,,,,,,,,,
1/21/21,-3.05,0.191,,,,,,,,,,,,,,,,
1/22/21,-3.06,0.191,,,,,,,,,,,,,,,,
1/23/21,-3.07,0.190,,,,,,,,,,,,,,,,
1/24/21,-3.06,0.190,,,,,,,,,,,,,,,,
1/25/21,-3.07,0.190,,,,,,,,,,,,,,,,
1/26/21,-3.07,0.190,,,,,,,,,,,,,,,,
1/27/21,-3.08,0.191,,,,,,,,,,,,,,,,
1/28/21,-3.08,0.191,,,,,,,,,,,,,,,,
1/29/21,-3.08,0.191,,,,,,,,,,,,,,,,
1/30/21,-3.10,0.190,,,,,,,,,,,,,,,,
1/31/21,-3.08,0.192,,,,,,,,,,,,,,,,
2/1/21,-3.07,0.192,,,,,,,,,,,,,,,,
2/2/21,-3.09,0.191,,,,,,,,,,,,,,,,
2/3/21,-3.10,0.191,,,,,,,,,,,,,,,,
2/4/21,-3.10,0.190,,,,,,,,,,,,,,,,
2/5/21,-3.09,0.191,,,,,,,,,,,,,,,,
2/6/21,-3.12,0.190,,,,,,,,,,,,,,,,
2/7/21,-3.12,0.190,,,,,,,,,,,,,,,,
2/8/21,-3.14,0.190,,,,,,,,,,,,,,,,
2/9/21,-3.15,0.190,,,,,,,,,,,,,,,,
2/10/21,-3.14,0.190,,,,,,,,,,,,,,,,
2/11/21,-3.14,0.190,,,,,,,,,,,,,,,,
2/12/21,-3.14,0.190,,,,,,,,,,,,,,,,
2/13/21,-3.15,0.190,,,,,,,,,,,,,,,,
2/14/21,-3.16,0.189,,,,,,,,,,,,,,,,
2/15/21,-3.15,0.190,,,,,,,,,,,,,,,,
2/16/21,-3.16,0.190,,,,,,,,,,,,,,,,
2/17/21,-3.16,0.190,,,,,,,,,,,,,,,,
2/18/21,-3.15,0.191,,,,,,,,,,,,,,,,
2/19/21,-3.15,0.192,,,,,,,,,,,,,,,,
2/20/21,-3.15,0.191,,,,,,,,,,,,,,,,
2/21/21,-3.15,0.190,,,,,,,,,,,,,,,,
2/22/21,-3.13,0.191,,,,,,,,,,,,,,,,
2/23/21,-3.13,0.191,,,,,,,,,,,,,,,,
2/24/21,-3.15,0.191,,,,,,,,,,,,,,,,
2/25/21,-3.15,0.191,,,,,,,,,,,,,,,,
2/26/21,-3.15,0.190,,,,,,,,,,,,,,,,
2/27/21,-3.17,0.190,,,,,,,,,,,,,,,,
2/28/21,-3.16,0.191,,,,,,,,,,,,,,,,
3/1/21,-3.15,0.191,,,,,,,,,,,,,,,,
3/2/21,-3.14,0.191,,,,,,,,,,,,,,,,
3/3/21,-3.16,0.191,,,,,,,,,,,,,,,,
3/4/21,-3.17,0.191,,,,,,,,,,,,,,,,
3/5/21,-3.18,0.191,,,,,,,,,,,,,,,,
3/6/21,-3.16,0.191,,,,,,,,,,,,,,,,
3/7/21,-3.17,0.191,,,,,,,,,,,,,,,,
3/8/21,-3.18,0.191,,,,,,,,,,,,,,,,
3/9/21,-3.20,0.191,,,,,,,,,,,,,,,,
3/10/21,-3.19,0.190,,,,,,,,,,,,,,,,
3/11/21,-3.19,0.190,,,,,,,,,,,,,,,,
3/12/21,-3.19,0.190,,,,,,,,,,,,,,,,
3/13/21,-3.20,0.190,,,,,,,,,,,,,,,,
3/14/21,-3.22,0.190,,,,,,,,,,,,,,,,
3/15/21,-3.22,0.190,,,,,,,,,,,,,,,,
3/16/21,-3.22,0.190,,,,,,,,,,,,,,,,
3/17/21,-3.22,0.190,,,,,,,,,,,,,,,,
3/18/21,-3.20,0.191,,,,,,,,,,,,,,,,
3/19/21,-3.20,0.191,,,,,,,,,,,,,,,,
3/20/21,-3.23,0.191,,,,,,,,,,,,,,,,
3/21/21,-3.23,0.190,,,,,,,,,,,,,,,,
3/22/21,-3.23,0.190,,,,,,,,,,,,,,,,
3/23/21,-3.26,0.190,,,,,,,,,,,,,,,,
3/24/21,-3.25,0.190,,,,,,,,,,,,,,,,
3/25/21,-3.24,0.190,,,,,,,,,,,,,,,,
3/26/21,-3.24,0.190,,,,,,,,,,,,,,,,
3/27/21,-3.22,0.191,,,,,,,,,,,,,,,,
3/28/21,-3.20,0.191,,,,,,,,,,,,,,,,
3/29/21,-3.21,0.190,,,,,,,,,,,,,,,,
3/30/21,-3.22,0.190,,,,,,,,,,,,,,,,
3/31/21,-3.20,0.191,,,,,,,,,,,,,,,,
4/1/21,-3.20,0.191,,,,,,,,,,,,,,,,
4/2/21,-3.21,0.191,,,,,,,,,,,,,,,,
4/3/21,-3.22,0.191,,,,,,,,,,,,,,,,
4/4/21,-3.21,0.191,,,,,,,,,,,,,,,,
4/5/21,-3.22,0.190,,,,,,,,,,,,,,,,
4/6/21,-3.24,0.190,,,,,,,,,,,,,,,,
4/7/21,-3.19,0.190,,,,,,,,,,,,,,,,
4/8/21,-3.17,0.189,,,,,,,,,,,,,,,,
4/9/21,-3.16,0.189,,,,,,,,,,,,,,,,
4/10/21,-3.13,0.189,,,,,,,,,,,,,,,,
4/11/21,-3.13,0.188,,,,,,,,,,,,,,,,
4/12/21,-3.11,0.188,,,,,,,,,,,,,,,,
4/13/21,-3.09,0.188,,,,,,,,,,,,,,,,
4/14/21,-3.08,0.187,,,,,,,,,,,,,,,,
4/15/21,-3.05,0.187,,,,,,,,,,,,,,,,
4/16/21,-3.02,0.187,,,,,,,,,,,,,,,,
4/17/21,-2.99,0.187,,,,,,,,,,,,,,,,
4/18/21,-2.95,0.187,,,,,,,,,,,,,,,,
4/19/21,-2.91,0.187,,,,,,,,,,,,,,,,
4/20/21,-2.87,0.186,,,,,,,,,,,,,,,,
4/21/21,-2.83,0.186,,,,,,,,,,,,,,,,
4/22/21,-2.80,0.185,,,,,,,,,,,,,,,,
4/23/21,-2.76,0.185,,,,,,,,,,,,,,,,
4/24/21,-2.73,0.185,,,,,,,,,,,,,,,,
4/25/21,-2.69,0.185,,,,,,,,,,,,,,,,
4/26/21,-2.59,0.184,,,,,,,,,,,,,,,,
4/27/21,-2.51,0.184,,,,,,,,,,,,,,,,
4/28/21,-2.51,0.184,,,,,,,,,,,,,,,,
4/29/21,-2.39,0.184,,,,,,,,,,,,,,,,
4/30/21,-2.31,0.184,,,,,,,,,,,,,,,,
5/1/21,-2.25,0.183,,,,,,,,,,,,,,,,
5/2/21,-2.16,0.183,,,,,,,,,,,,,,,,
5/3/21,-2.04,0.184,,,,,,,,,,,,,,,,
5/4/21,-2.54,0.194,,,,,,,,,,,,,,,,
5/5/21,-1.89,0.187,,,,,,,,,,,,,,,,
5/6/21,-2.35,0.180,,,,,,,,,,,,,,,,
5/7/21,-1.69,0.190,,,,,,,,,,,,,,,,
5/8/21,-1.99,0.185,,,,,,,,,,,,,,,,
5/9/21,-1.50,0.192,,,,,,,,,,,,,,,,
5/10/21,-1.42,0.194,,,,,,,,,,,,,,,,
5/11/21,-1.37,0.195,,,,,,,,,,,,,,,,
5/12/21,-1.33,0.196,,,,,,,,,,,,,,,,
5/13/21,-1.36,0.196,,,,,,,,,,,,,,,,
