 (a.) Annual variations in water table depth and resulting calculated downslope flow along different zones of the hillslope. ,,,,,,,,
"(b.) Time-dependence of fractional contributions of flow along the soil, weathering zone, and fractured bedrock to overall subsurface flow.",,,,,,,,
,,,,,,,,
,5a,5a,5a,5a,5a,5b,5b,5b
date,water table depth,total soil flow,weathering zone flow,fractured bedrock flow,total outflow,soil,weathering shale,fractured shale
,m,m3/(m day),m3/(m day),m3/(m day),m3/(m day),fraction,fraction,fraction
2/15/18,-3.19,0.000,0.027,0.038,0.064,,0.411,0.589
2/16/18,-3.24,0.000,0.023,0.038,0.061,,0.381,0.619
2/17/18,-3.24,0.000,0.023,0.038,0.061,,0.380,0.620
2/18/18,-3.18,0.000,0.027,0.038,0.065,,0.419,0.581
2/19/18,-3.17,0.000,0.028,0.038,0.066,,0.422,0.578
2/20/18,-3.21,0.000,0.025,0.038,0.063,,0.401,0.599
2/21/18,-3.23,0.000,0.024,0.038,0.062,,0.388,0.612
2/22/18,-3.21,0.000,0.025,0.038,0.063,,0.396,0.604
2/23/18,-3.22,0.000,0.024,0.038,0.062,,0.390,0.610
2/24/18,-3.21,0.000,0.025,0.038,0.063,,0.396,0.604
2/25/18,-3.23,0.000,0.024,0.038,0.061,,0.383,0.617
2/26/18,-3.24,0.000,0.023,0.038,0.061,,0.381,0.619
2/27/18,-3.23,0.000,0.024,0.038,0.062,,0.386,0.614
2/28/18,-3.23,0.000,0.024,0.038,0.061,,0.383,0.617
3/1/18,-3.26,0.000,0.022,0.038,0.060,,0.366,0.634
3/2/18,-3.26,0.000,0.022,0.038,0.060,,0.368,0.632
3/3/18,-3.26,0.000,0.022,0.038,0.060,,0.370,0.630
3/4/18,-3.24,0.000,0.023,0.038,0.061,,0.382,0.618
3/5/18,-3.27,0.000,0.021,0.038,0.059,,0.361,0.639
3/6/18,-3.28,0.000,0.020,0.038,0.058,,0.350,0.650
3/7/18,-3.28,0.000,0.021,0.038,0.058,,0.352,0.648
3/8/18,-3.29,0.000,0.020,0.038,0.058,,0.345,0.655
3/9/18,-3.26,0.000,0.022,0.038,0.060,,0.366,0.634
3/10/18,-3.26,0.000,0.022,0.038,0.059,,0.364,0.636
3/11/18,-3.29,0.000,0.020,0.038,0.058,,0.349,0.651
3/12/18,-3.29,0.000,0.020,0.038,0.058,,0.347,0.653
3/13/18,-3.28,0.000,0.020,0.038,0.058,,0.350,0.650
3/14/18,-3.27,0.000,0.021,0.038,0.059,,0.360,0.640
3/15/18,-3.24,0.000,0.023,0.038,0.061,,0.380,0.620
3/16/18,-3.27,0.000,0.021,0.038,0.059,,0.362,0.638
3/17/18,-3.27,0.000,0.021,0.038,0.059,,0.359,0.641
3/18/18,-3.26,0.000,0.022,0.038,0.060,,0.366,0.634
3/19/18,-3.28,0.000,0.021,0.038,0.059,,0.355,0.645
3/20/18,-3.28,0.000,0.021,0.038,0.059,,0.355,0.645
3/21/18,-3.28,0.000,0.021,0.038,0.058,,0.353,0.647
3/22/18,-3.29,0.000,0.020,0.038,0.058,,0.346,0.654
3/23/18,-3.26,0.000,0.022,0.038,0.060,,0.365,0.635
3/24/18,-3.27,0.000,0.022,0.038,0.059,,0.363,0.637
3/25/18,-3.25,0.000,0.023,0.038,0.060,,0.373,0.627
3/26/18,-3.26,0.000,0.022,0.038,0.060,,0.365,0.635
3/27/18,-3.27,0.000,0.021,0.038,0.059,,0.356,0.644
3/28/18,-3.27,0.000,0.021,0.038,0.059,,0.359,0.641
3/29/18,-3.28,0.000,0.020,0.038,0.058,,0.349,0.651
3/30/18,-3.29,0.000,0.020,0.038,0.058,,0.344,0.656
3/31/18,-3.28,0.000,0.020,0.038,0.058,,0.350,0.650
4/1/18,-3.26,0.000,0.022,0.038,0.059,,0.363,0.637
4/2/18,-3.26,0.000,0.022,0.038,0.060,,0.368,0.632
4/3/18,-3.28,0.000,0.020,0.038,0.058,,0.351,0.649
4/4/18,-3.26,0.000,0.022,0.038,0.059,,0.367,0.633
4/5/18,-3.23,0.000,0.024,0.038,0.061,,0.386,0.614
4/6/18,-3.19,0.000,0.026,0.037,0.064,,0.413,0.587
4/7/18,-3.16,0.000,0.028,0.037,0.065,,0.427,0.573
4/8/18,-3.11,0.000,0.031,0.037,0.068,,0.456,0.544
4/9/18,-3.10,0.000,0.032,0.037,0.069,,0.461,0.539
4/10/18,-3.06,0.000,0.034,0.037,0.071,,0.478,0.522
4/11/18,-2.99,0.000,0.038,0.037,0.075,,0.509,0.491
4/12/18,-2.90,0.000,0.044,0.037,0.081,,0.544,0.456
4/13/18,-2.88,0.000,0.045,0.037,0.082,,0.550,0.450
4/14/18,-2.89,0.000,0.045,0.037,0.082,,0.549,0.451
4/15/18,-2.84,0.000,0.048,0.037,0.085,,0.564,0.436
4/16/18,-2.76,0.000,0.053,0.037,0.090,,0.588,0.412
4/17/18,-2.68,0.000,0.058,0.037,0.095,,0.610,0.390
4/18/18,-2.67,0.000,0.059,0.037,0.096,,0.613,0.387
4/19/18,-2.57,0.000,0.065,0.037,0.102,,0.637,0.363
4/20/18,-2.45,0.000,0.072,0.037,0.109,,0.662,0.338
4/21/18,-2.39,0.000,0.076,0.037,0.113,,0.673,0.327
4/22/18,-2.30,0.000,0.082,0.037,0.119,,0.689,0.311
4/23/18,-2.14,0.000,0.092,0.037,0.130,,0.713,0.287
4/24/18,-1.98,0.000,0.102,0.037,0.140,,0.733,0.267
4/25/18,-1.84,0.000,0.112,0.037,0.149,,0.750,0.250
4/26/18,-1.69,0.000,0.122,0.038,0.160,,0.765,0.235
4/27/18,-1.56,0.000,0.131,0.038,0.169,,0.776,0.224
4/28/18,-1.45,0.000,0.139,0.038,0.177,,0.785,0.215
4/29/18,-1.34,0.000,0.147,0.038,0.185,,0.793,0.207
4/30/18,-1.26,0.000,0.153,0.038,0.192,,0.799,0.201
5/1/18,-1.20,0.000,0.158,0.039,0.197,,0.803,0.197
5/2/18,-1.16,0.000,0.161,0.039,0.200,,0.806,0.194
5/3/18,-1.14,0.000,0.162,0.039,0.201,,0.807,0.193
5/4/18,-1.15,0.000,0.162,0.039,0.201,0.000,0.807,0.193
5/5/18,-1.10,0.000,0.166,0.039,0.205,0.000,0.809,0.191
5/6/18,-1.06,0.000,0.169,0.039,0.208,0.000,0.812,0.188
5/7/18,-1.02,0.010,0.172,0.039,0.221,0.045,0.777,0.177
5/8/18,-0.99,0.042,0.174,0.039,0.256,0.166,0.680,0.154
5/9/18,-0.96,0.191,0.174,0.039,0.405,0.472,0.430,0.097
5/10/18,-0.95,0.227,0.175,0.040,0.442,0.514,0.396,0.090
5/11/18,-0.90,0.491,0.175,0.040,0.705,0.696,0.248,0.056
5/12/18,-0.91,0.410,0.175,0.040,0.625,0.656,0.280,0.063
5/13/18,-0.91,0.444,0.175,0.040,0.659,0.673,0.266,0.060
5/14/18,-0.91,0.442,0.176,0.040,0.658,0.673,0.267,0.060
5/15/18,-0.91,0.415,0.176,0.040,0.630,0.658,0.279,0.063
5/16/18,-0.91,0.418,0.176,0.040,0.633,0.660,0.278,0.063
5/17/18,-0.89,0.504,0.176,0.040,0.720,0.700,0.244,0.055
5/18/18,-0.89,0.530,0.176,0.040,0.746,0.710,0.236,0.053
5/19/18,-0.91,0.435,0.176,0.040,0.651,0.668,0.271,0.061
5/20/18,-0.93,0.346,0.176,0.040,0.562,0.616,0.313,0.071
5/21/18,-0.93,0.354,0.176,0.040,0.570,0.621,0.309,0.070
5/22/18,-0.92,0.368,0.176,0.040,0.584,0.630,0.302,0.068
5/23/18,-0.94,0.302,0.176,0.040,0.518,0.583,0.340,0.077
5/24/18,-0.97,0.167,0.176,0.040,0.383,0.436,0.460,0.104
5/25/18,-0.97,0.156,0.176,0.040,0.372,0.419,0.474,0.107
5/26/18,-0.95,0.217,0.176,0.040,0.434,0.501,0.407,0.092
5/27/18,-0.95,0.229,0.177,0.040,0.446,0.514,0.396,0.090
5/28/18,-0.97,0.124,0.177,0.040,0.341,0.364,0.519,0.117
5/29/18,-0.99,0.062,0.177,0.040,0.278,0.221,0.635,0.144
5/30/18,-1.00,0.010,0.176,0.040,0.226,0.044,0.779,0.177
5/31/18,-1.02,0.000,0.175,0.040,0.215,0.000,0.815,0.185
6/1/18,-1.04,0.000,0.174,0.040,0.214,0.000,0.813,0.187
6/2/18,-1.09,0.000,0.171,0.040,0.210,0.000,0.810,0.190
6/3/18,-1.13,0.000,0.168,0.040,0.208,,0.808,0.192
6/4/18,-1.16,0.000,0.166,0.040,0.206,,0.806,0.194
6/5/18,-1.12,0.000,0.168,0.040,0.208,,0.808,0.192
6/6/18,-1.14,0.000,0.167,0.040,0.207,,0.807,0.193
6/7/18,-1.18,0.000,0.164,0.040,0.204,,0.804,0.196
6/8/18,-1.20,0.000,0.163,0.040,0.203,,0.803,0.197
6/9/18,-1.23,0.000,0.161,0.040,0.200,,0.801,0.199
6/10/18,-1.22,0.000,0.162,0.040,0.202,,0.802,0.198
6/11/18,-1.26,0.000,0.159,0.040,0.199,,0.799,0.201
6/12/18,-1.30,0.000,0.156,0.040,0.196,,0.797,0.203
6/13/18,-1.32,0.000,0.155,0.040,0.195,,0.795,0.205
6/14/18,-1.34,0.000,0.153,0.040,0.193,,0.793,0.207
6/15/18,-1.34,0.000,0.153,0.040,0.193,,0.793,0.207
6/16/18,-1.35,0.000,0.153,0.040,0.192,,0.793,0.207
6/17/18,-1.38,0.000,0.151,0.040,0.190,,0.791,0.209
6/18/18,-1.41,0.000,0.148,0.040,0.188,,0.788,0.212
6/19/18,-1.43,0.000,0.147,0.040,0.186,,0.787,0.213
6/20/18,-1.46,0.000,0.145,0.040,0.184,,0.784,0.216
6/21/18,-1.49,0.000,0.142,0.040,0.182,,0.782,0.218
6/22/18,-1.49,0.000,0.143,0.040,0.182,,0.782,0.218
6/23/18,-1.50,0.000,0.142,0.040,0.182,,0.781,0.219
6/24/18,-1.52,0.000,0.141,0.040,0.180,,0.780,0.220
6/25/18,-1.56,0.000,0.138,0.040,0.177,,0.776,0.224
6/26/18,-1.59,0.000,0.136,0.040,0.175,,0.774,0.226
6/27/18,-1.61,0.000,0.135,0.040,0.174,,0.772,0.228
6/28/18,-1.61,0.000,0.134,0.040,0.174,,0.772,0.228
6/29/18,-1.62,0.000,0.134,0.040,0.173,,0.771,0.229
6/30/18,-1.66,0.000,0.131,0.040,0.171,,0.768,0.232
7/1/18,-1.68,0.000,0.130,0.040,0.169,,0.766,0.234
7/2/18,-1.70,0.000,0.128,0.040,0.168,,0.764,0.236
7/3/18,-1.71,0.000,0.127,0.040,0.167,,0.763,0.237
7/4/18,-1.75,0.000,0.125,0.040,0.164,,0.759,0.241
7/5/18,-1.79,0.000,0.122,0.040,0.161,,0.754,0.246
7/6/18,-1.81,0.000,0.121,0.040,0.160,,0.753,0.247
7/7/18,-1.80,0.000,0.121,0.040,0.160,,0.753,0.247
7/8/18,-1.81,0.000,0.121,0.040,0.160,,0.753,0.247
7/9/18,-1.82,0.000,0.120,0.040,0.160,,0.752,0.248
7/10/18,-1.83,0.000,0.119,0.040,0.159,,0.751,0.249
7/11/18,-1.82,0.000,0.120,0.040,0.159,,0.752,0.248
7/12/18,-1.84,0.000,0.119,0.040,0.158,,0.750,0.250
7/13/18,-1.86,0.000,0.117,0.040,0.157,,0.747,0.253
7/14/18,-1.87,0.000,0.116,0.040,0.156,,0.746,0.254
7/15/18,-1.89,0.000,0.115,0.040,0.155,,0.745,0.255
7/16/18,-1.90,0.000,0.114,0.040,0.154,,0.743,0.257
7/17/18,-1.91,0.000,0.113,0.040,0.153,,0.742,0.258
7/18/18,-1.92,0.000,0.113,0.039,0.152,,0.740,0.260
7/19/18,-1.93,0.000,0.112,0.039,0.152,,0.740,0.260
7/20/18,-1.95,0.000,0.111,0.039,0.151,,0.738,0.262
7/21/18,-1.97,0.000,0.109,0.039,0.149,,0.735,0.265
7/22/18,-1.98,0.000,0.109,0.039,0.148,,0.734,0.266
7/23/18,-1.99,0.000,0.108,0.039,0.147,,0.732,0.268
7/24/18,-2.01,0.000,0.107,0.039,0.146,,0.730,0.270
7/25/18,-2.03,0.000,0.105,0.039,0.145,,0.728,0.272
7/26/18,-2.02,0.000,0.106,0.039,0.145,,0.728,0.272
7/27/18,-2.03,0.000,0.105,0.039,0.145,,0.727,0.273
7/28/18,-2.05,0.000,0.104,0.039,0.143,,0.725,0.275
7/29/18,-2.06,0.000,0.103,0.039,0.143,,0.724,0.276
7/30/18,-2.07,0.000,0.103,0.039,0.142,,0.723,0.277
7/31/18,-2.08,0.000,0.102,0.039,0.141,,0.721,0.279
8/1/18,-2.09,0.000,0.101,0.039,0.140,,0.719,0.281
8/2/18,-2.10,0.000,0.101,0.039,0.140,,0.719,0.281
8/3/18,-2.11,0.000,0.100,0.039,0.139,,0.717,0.283
8/4/18,-2.12,0.000,0.099,0.039,0.139,,0.716,0.284
8/5/18,-2.13,0.000,0.099,0.039,0.138,,0.714,0.286
8/6/18,-2.15,0.000,0.097,0.039,0.137,,0.712,0.288
8/7/18,-2.16,0.000,0.097,0.039,0.136,,0.710,0.290
8/8/18,-2.17,0.000,0.096,0.039,0.135,,0.708,0.292
8/9/18,-2.19,0.000,0.095,0.039,0.134,,0.706,0.294
8/10/18,-2.20,0.000,0.094,0.039,0.133,,0.704,0.296
8/11/18,-2.21,0.000,0.093,0.039,0.133,,0.703,0.297
8/12/18,-2.22,0.000,0.093,0.039,0.132,,0.702,0.298
8/13/18,-2.24,0.000,0.091,0.039,0.131,,0.699,0.301
8/14/18,-2.22,0.000,0.093,0.039,0.132,,0.702,0.298
8/15/18,-2.24,0.000,0.091,0.039,0.131,,0.699,0.301
8/16/18,-2.27,0.000,0.089,0.039,0.129,,0.694,0.306
8/17/18,-2.28,0.000,0.089,0.039,0.128,,0.692,0.308
8/18/18,-2.28,0.000,0.088,0.039,0.128,,0.692,0.308
8/19/18,-2.28,0.000,0.088,0.039,0.128,,0.692,0.308
8/20/18,-2.31,0.000,0.087,0.039,0.126,,0.687,0.313
8/21/18,-2.31,0.000,0.086,0.039,0.125,,0.686,0.314
8/22/18,-2.33,0.000,0.085,0.039,0.124,,0.684,0.316
8/23/18,-2.37,0.000,0.082,0.039,0.122,,0.676,0.324
8/24/18,-2.34,0.000,0.084,0.039,0.124,,0.682,0.318
8/25/18,-2.35,0.000,0.084,0.039,0.123,,0.681,0.319
8/26/18,-2.35,0.000,0.084,0.039,0.123,,0.680,0.320
8/27/18,-2.34,0.000,0.084,0.039,0.123,,0.681,0.319
8/28/18,-2.37,0.000,0.082,0.039,0.122,,0.677,0.323
8/29/18,-2.39,0.000,0.081,0.039,0.120,,0.672,0.328
8/30/18,-2.41,0.000,0.080,0.039,0.119,,0.669,0.331
8/31/18,-2.40,0.000,0.080,0.039,0.120,,0.671,0.329
9/1/18,-2.40,0.000,0.080,0.039,0.120,,0.671,0.329
9/2/18,-2.42,0.000,0.079,0.039,0.118,,0.667,0.333
9/3/18,-2.43,0.000,0.078,0.039,0.117,,0.665,0.335
9/4/18,-2.44,0.000,0.077,0.039,0.117,,0.663,0.337
9/5/18,-2.47,0.000,0.076,0.039,0.115,,0.658,0.342
9/6/18,-2.48,0.000,0.075,0.039,0.114,,0.656,0.344
9/7/18,-2.48,0.000,0.075,0.039,0.114,,0.655,0.345
9/8/18,-2.48,0.000,0.075,0.039,0.114,,0.656,0.344
9/9/18,-2.49,0.000,0.074,0.039,0.114,,0.654,0.346
9/10/18,-2.49,0.000,0.074,0.039,0.113,,0.653,0.347
9/11/18,-2.50,0.000,0.074,0.039,0.113,,0.653,0.347
9/12/18,-2.53,0.000,0.072,0.039,0.111,,0.646,0.354
9/13/18,-2.52,0.000,0.072,0.039,0.111,,0.647,0.353
9/14/18,-2.54,0.000,0.071,0.039,0.110,,0.643,0.357
9/15/18,-2.55,0.000,0.070,0.039,0.110,,0.642,0.358
9/16/18,-2.59,0.000,0.068,0.039,0.107,,0.633,0.367
9/17/18,-2.58,0.000,0.068,0.039,0.108,,0.635,0.365
9/18/18,-2.56,0.000,0.069,0.039,0.108,,0.638,0.362
9/19/18,-2.57,0.000,0.069,0.039,0.108,,0.636,0.364
9/20/18,-2.56,0.000,0.069,0.039,0.108,,0.638,0.362
9/21/18,-2.61,0.000,0.066,0.039,0.105,,0.628,0.372
9/22/18,-2.61,0.000,0.066,0.039,0.105,,0.627,0.373
9/23/18,-2.60,0.000,0.066,0.039,0.106,,0.629,0.371
9/24/18,-2.60,0.000,0.067,0.039,0.106,,0.631,0.369
9/25/18,-2.62,0.000,0.065,0.039,0.105,,0.625,0.375
9/26/18,-2.64,0.000,0.064,0.039,0.103,,0.621,0.379
9/27/18,-2.69,0.000,0.061,0.039,0.100,,0.608,0.392
9/28/18,-2.64,0.000,0.064,0.039,0.103,,0.620,0.380
9/29/18,-2.65,0.000,0.063,0.039,0.102,,0.618,0.382
9/30/18,-2.66,0.000,0.063,0.039,0.102,,0.615,0.385
10/1/18,-2.68,0.000,0.061,0.039,0.100,,0.610,0.390
10/2/18,-2.67,0.000,0.062,0.039,0.101,,0.612,0.388
10/3/18,-2.67,0.000,0.062,0.039,0.101,,0.613,0.387
10/4/18,-2.67,0.000,0.062,0.039,0.101,,0.612,0.388
10/5/18,-2.67,0.000,0.062,0.039,0.101,,0.613,0.387
10/6/18,-2.71,0.000,0.059,0.039,0.099,,0.602,0.398
10/7/18,-2.65,0.000,0.063,0.039,0.102,,0.619,0.381
10/8/18,-2.66,0.000,0.062,0.039,0.101,,0.615,0.385
10/9/18,-2.69,0.000,0.061,0.039,0.100,,0.609,0.391
10/10/18,-2.70,0.000,0.060,0.039,0.099,,0.606,0.394
10/11/18,-2.71,0.000,0.059,0.039,0.098,,0.601,0.399
10/12/18,-2.74,0.000,0.057,0.039,0.096,,0.594,0.406
10/13/18,-2.72,0.000,0.058,0.039,0.097,,0.599,0.401
10/14/18,-2.73,0.000,0.058,0.039,0.097,,0.597,0.403
10/15/18,-2.78,0.000,0.055,0.039,0.093,,0.583,0.417
10/16/18,-2.79,0.000,0.053,0.039,0.092,,0.579,0.421
10/17/18,-2.80,0.000,0.053,0.039,0.091,,0.575,0.425
10/18/18,-2.80,0.000,0.053,0.039,0.092,,0.578,0.422
10/19/18,-2.82,0.000,0.052,0.039,0.090,,0.571,0.429
10/20/18,-2.83,0.000,0.051,0.039,0.089,,0.566,0.434
10/21/18,-2.82,0.000,0.051,0.039,0.090,,0.570,0.430
10/22/18,-2.82,0.000,0.052,0.039,0.091,,0.571,0.429
10/23/18,-2.82,0.000,0.051,0.039,0.090,,0.570,0.430
10/24/18,-2.81,0.000,0.052,0.039,0.091,,0.574,0.426
10/25/18,-2.82,0.000,0.051,0.039,0.090,,0.569,0.431
10/26/18,-2.92,0.000,0.045,0.039,0.084,,0.535,0.465
10/27/18,-2.86,0.000,0.049,0.039,0.088,,0.558,0.442
10/28/18,-2.86,0.000,0.049,0.039,0.087,,0.558,0.442
10/29/18,-2.83,0.000,0.050,0.039,0.089,,0.566,0.434
10/30/18,-2.81,0.000,0.052,0.039,0.090,,0.572,0.428
10/31/18,-2.82,0.000,0.051,0.039,0.090,,0.570,0.430
11/1/18,-2.84,0.000,0.050,0.039,0.089,,0.565,0.435
11/2/18,-2.85,0.000,0.049,0.039,0.088,,0.561,0.439
11/3/18,-2.84,0.000,0.050,0.039,0.088,,0.564,0.436
11/4/18,-2.85,0.000,0.049,0.039,0.088,,0.561,0.439
11/5/18,-2.83,0.000,0.050,0.039,0.089,,0.566,0.434
11/6/18,-2.85,0.000,0.049,0.039,0.087,,0.559,0.441
11/7/18,-2.87,0.000,0.048,0.038,0.086,,0.553,0.447
11/8/18,-2.88,0.000,0.047,0.038,0.085,,0.549,0.451
11/9/18,-2.92,0.000,0.045,0.038,0.083,,0.538,0.462
11/10/18,-2.88,0.000,0.047,0.038,0.085,,0.549,0.451
11/11/18,-2.87,0.000,0.048,0.038,0.086,,0.553,0.447
11/12/18,-2.92,0.000,0.044,0.038,0.083,,0.536,0.464
11/13/18,-2.96,0.000,0.042,0.038,0.080,,0.522,0.478
11/14/18,-2.95,0.000,0.042,0.038,0.081,,0.524,0.476
11/15/18,-2.93,0.000,0.043,0.038,0.082,,0.531,0.469
11/16/18,-2.92,0.000,0.044,0.038,0.083,,0.536,0.464
11/17/18,-2.92,0.000,0.045,0.038,0.083,,0.538,0.462
11/18/18,-2.93,0.000,0.044,0.038,0.082,,0.531,0.469
11/19/18,-2.95,0.000,0.042,0.038,0.081,,0.524,0.476
11/20/18,-2.96,0.000,0.041,0.038,0.080,,0.520,0.480
11/21/18,-2.97,0.000,0.041,0.038,0.079,,0.516,0.484
11/22/18,-2.95,0.000,0.042,0.038,0.081,,0.526,0.474
11/23/18,-2.94,0.000,0.043,0.038,0.081,,0.529,0.471
11/24/18,-2.92,0.000,0.045,0.038,0.083,,0.538,0.462
11/25/18,-2.98,0.000,0.040,0.038,0.079,,0.514,0.486
11/26/18,-3.01,0.000,0.038,0.038,0.077,,0.502,0.498
11/27/18,-2.99,0.000,0.039,0.038,0.078,,0.507,0.493
11/28/18,-2.96,0.000,0.042,0.038,0.080,,0.521,0.479
11/29/18,-2.95,0.000,0.042,0.038,0.081,,0.526,0.474
11/30/18,-2.93,0.000,0.043,0.038,0.082,,0.531,0.469
12/1/18,-2.94,0.000,0.043,0.038,0.081,,0.527,0.473
12/2/18,-2.96,0.000,0.042,0.038,0.080,,0.521,0.479
12/3/18,-3.00,0.000,0.039,0.038,0.077,,0.504,0.496
12/4/18,-3.03,0.000,0.037,0.038,0.075,,0.491,0.509
12/5/18,-3.02,0.000,0.038,0.038,0.076,,0.496,0.504
12/6/18,-3.02,0.000,0.038,0.038,0.076,,0.498,0.502
12/7/18,-3.03,0.000,0.037,0.038,0.075,,0.491,0.509
12/8/18,-3.04,0.000,0.036,0.038,0.074,,0.487,0.513
12/9/18,-3.06,0.000,0.035,0.038,0.073,,0.481,0.519
12/10/18,-3.05,0.000,0.035,0.038,0.073,,0.481,0.519
12/11/18,-3.03,0.000,0.037,0.038,0.075,,0.490,0.510
12/12/18,-3.01,0.000,0.038,0.038,0.076,,0.503,0.497
12/13/18,-3.05,0.000,0.036,0.038,0.074,,0.483,0.517
12/14/18,-3.07,0.000,0.034,0.038,0.072,,0.474,0.526
12/15/18,-3.06,0.000,0.035,0.038,0.073,,0.479,0.521
12/16/18,-3.07,0.000,0.034,0.038,0.072,,0.472,0.528
12/17/18,-3.05,0.000,0.035,0.038,0.073,,0.481,0.519
12/18/18,-3.04,0.000,0.036,0.038,0.074,,0.488,0.512
12/19/18,-3.05,0.000,0.036,0.038,0.074,,0.485,0.515
12/20/18,-3.08,0.000,0.034,0.038,0.072,,0.470,0.530
12/21/18,-3.05,0.000,0.036,0.038,0.073,,0.484,0.516
12/22/18,-3.06,0.000,0.035,0.038,0.073,,0.480,0.520
12/23/18,-3.10,0.000,0.032,0.038,0.070,,0.460,0.540
12/24/18,-3.07,0.000,0.034,0.038,0.072,,0.476,0.524
12/25/18,-3.04,0.000,0.036,0.038,0.074,,0.486,0.514
12/26/18,-3.03,0.000,0.037,0.038,0.075,,0.493,0.507
12/27/18,-3.03,0.000,0.037,0.038,0.075,,0.494,0.506
12/28/18,-3.05,0.000,0.035,0.038,0.073,,0.481,0.519
12/29/18,-3.09,0.000,0.033,0.038,0.070,,0.463,0.537
12/30/18,-3.06,0.000,0.034,0.038,0.072,,0.476,0.524
12/31/18,-3.04,0.000,0.036,0.038,0.074,,0.488,0.512
1/1/19,-3.10,0.000,0.032,0.038,0.070,,0.460,0.540
1/2/19,-3.12,0.000,0.031,0.038,0.069,,0.451,0.549
1/3/19,-3.12,0.000,0.031,0.038,0.068,,0.449,0.551
1/4/19,-3.13,0.000,0.030,0.038,0.068,,0.445,0.555
1/5/19,-3.12,0.000,0.031,0.038,0.068,,0.449,0.551
1/6/19,-3.08,0.000,0.033,0.038,0.071,,0.467,0.533
1/7/19,-3.12,0.000,0.031,0.038,0.069,,0.451,0.549
1/8/19,-3.16,0.000,0.028,0.038,0.066,,0.426,0.574
1/9/19,-3.16,0.000,0.028,0.038,0.066,,0.430,0.570
1/10/19,-3.13,0.000,0.030,0.038,0.068,,0.442,0.558
1/11/19,-3.11,0.000,0.031,0.038,0.069,,0.452,0.548
1/12/19,-3.14,0.000,0.030,0.038,0.067,,0.441,0.559
1/13/19,-3.15,0.000,0.029,0.038,0.067,,0.435,0.565
1/14/19,-3.17,0.000,0.028,0.038,0.065,,0.423,0.577
1/15/19,-3.15,0.000,0.029,0.038,0.066,,0.432,0.568
1/16/19,-3.14,0.000,0.030,0.038,0.067,,0.440,0.560
1/17/19,-3.15,0.000,0.029,0.038,0.067,,0.435,0.565
1/18/19,-3.12,0.000,0.030,0.038,0.068,,0.447,0.553
1/19/19,-3.18,0.000,0.027,0.038,0.065,,0.418,0.582
1/20/19,-3.16,0.000,0.028,0.038,0.066,,0.430,0.570
1/21/19,-3.09,0.000,0.032,0.038,0.070,,0.462,0.538
1/22/19,-3.14,0.000,0.029,0.038,0.067,,0.438,0.562
1/23/19,-3.16,0.000,0.028,0.038,0.065,,0.426,0.574
1/24/19,-3.16,0.000,0.028,0.038,0.066,,0.427,0.573
1/25/19,-3.17,0.000,0.028,0.038,0.065,,0.423,0.577
1/26/19,-3.21,0.000,0.025,0.037,0.062,,0.399,0.601
1/27/19,-3.18,0.000,0.027,0.038,0.065,,0.419,0.581
1/28/19,-3.16,0.000,0.028,0.038,0.066,,0.429,0.571
1/29/19,-3.16,0.000,0.028,0.038,0.065,,0.426,0.574
1/30/19,-3.16,0.000,0.028,0.037,0.065,,0.426,0.574
1/31/19,-3.17,0.000,0.027,0.037,0.065,,0.420,0.580
2/1/19,-3.18,0.000,0.027,0.037,0.064,,0.417,0.583
2/2/19,-3.17,0.000,0.027,0.037,0.065,,0.422,0.578
2/3/19,-3.14,0.000,0.029,0.037,0.067,,0.439,0.561
2/4/19,-3.15,0.000,0.029,0.037,0.066,,0.434,0.566
2/5/19,-3.14,0.000,0.029,0.037,0.067,,0.440,0.560
2/6/19,-3.13,0.000,0.030,0.037,0.067,,0.444,0.556
2/7/19,-3.19,0.000,0.026,0.037,0.064,,0.412,0.588
2/8/19,-3.20,0.000,0.025,0.037,0.063,,0.404,0.596
2/9/19,-3.18,0.000,0.027,0.037,0.064,,0.418,0.582
2/10/19,-3.17,0.000,0.028,0.037,0.065,,0.424,0.576
2/11/19,-3.17,0.000,0.027,0.037,0.065,,0.423,0.577
2/12/19,-3.22,0.000,0.024,0.037,0.062,,0.393,0.607
2/13/19,-3.19,0.000,0.026,0.037,0.064,,0.413,0.587
2/14/19,-3.18,0.000,0.027,0.037,0.064,,0.418,0.582
2/15/19,-3.17,0.000,0.027,0.037,0.065,,0.421,0.579
2/16/19,-3.15,0.000,0.028,0.037,0.066,,0.432,0.568
2/17/19,-3.19,0.000,0.026,0.037,0.064,,0.414,0.586
2/18/19,-3.18,0.000,0.027,0.037,0.064,,0.416,0.584
2/19/19,-3.17,0.000,0.028,0.037,0.065,,0.425,0.575
2/20/19,-3.17,0.000,0.027,0.037,0.065,,0.423,0.577
2/21/19,-3.17,0.000,0.027,0.037,0.064,,0.421,0.579
2/22/19,-3.18,0.000,0.026,0.037,0.064,,0.415,0.585
2/23/19,-3.22,0.000,0.024,0.037,0.062,,0.395,0.605
2/24/19,-3.23,0.000,0.023,0.037,0.061,,0.384,0.616
2/25/19,-3.22,0.000,0.024,0.037,0.061,,0.392,0.608
2/26/19,-3.23,0.000,0.023,0.037,0.061,,0.386,0.614
2/27/19,-3.23,0.000,0.024,0.037,0.061,,0.387,0.613
2/28/19,-3.21,0.000,0.024,0.037,0.062,,0.396,0.604
