ï»¿Fig. 6a. Annual variations in pore water total dissolved nitrogen (TDN),,,,,,,,,,,,,
Fig. 6b. Annual variations in calculated TDN export rates along different zones of the hillslope,,,,,,,,,,,,,
"Fig. 6c. Subsurface C-Q relation for TDN, showing that discharge-dependence of annual cycles of flow-weighted TDN concentrations ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,6a,6a,6a,6a,,6b,6b,6b,6b,6b,,6c,6c
date,soil TDN,weathering zone TDN,fractured bedrock TDN,flow-weighted TDN,,soil TDN,weathering zone TDN,bedrock TDN,total TDN,total flow,,total flow,flow-weighted TDN
,ÂµM,ÂµM,ÂµM,ÂµM,,mmol/(m day),mmol/(m day),mmol/(m day),mmol/(m day),m3/(m day),,m3/(m day),ÂµM
11/10/17,,282.7,59.1,192.2,,,16.07,2.29,18.36,0.096,,0.096,192.2
11/11/17,,287.0,59.5,194.3,,,16.13,2.30,18.43,0.095,,0.095,194.3
11/12/17,,291.2,59.9,194.3,,,15.62,2.31,17.93,0.092,,0.092,194.3
11/13/17,,294.5,59.8,196.3,,,15.80,2.31,18.11,0.092,,0.092,196.3
11/14/17,,297.8,59.7,198.9,,,16.18,2.31,18.49,0.093,,0.093,198.9
11/15/17,,301.1,59.7,200.2,,,16.19,2.30,18.50,0.092,,0.092,200.2
11/16/17,,304.3,59.6,202.8,,,16.56,2.30,18.86,0.093,,0.093,202.8
11/17/17,,307.6,59.5,206.9,,,17.38,2.30,19.68,0.095,,0.095,206.9
11/18/17,,310.9,59.4,203.9,,,16.20,2.29,18.50,0.091,,0.091,203.9
11/19/17,,314.2,59.4,205.0,,,16.16,2.29,18.45,0.090,,0.090,205.0
11/20/17,,317.5,59.3,208.0,,,16.62,2.29,18.90,0.091,,0.091,208.0
11/21/17,,320.8,59.2,207.4,,,16.17,2.28,18.45,0.089,,0.089,207.4
11/22/17,,324.0,59.1,207.0,,,15.76,2.28,18.04,0.087,,0.087,207.0
11/23/17,,327.3,59.1,209.8,,,16.15,2.27,18.42,0.088,,0.088,209.8
11/24/17,,330.6,59.0,214.0,,,16.92,2.27,19.19,0.090,,0.090,214.0
11/25/17,,333.9,58.9,212.8,,,16.33,2.27,18.60,0.087,,0.087,212.8
11/26/17,,337.2,58.8,213.2,,,16.16,2.26,18.42,0.086,,0.086,213.2
11/27/17,,340.5,58.8,218.8,,,17.22,2.26,19.48,0.089,,0.089,218.8
11/28/17,,343.7,58.7,219.5,,,17.13,2.26,19.39,0.088,,0.088,219.5
11/29/17,,347.0,58.6,218.0,,,16.48,2.25,18.74,0.086,,0.086,218.0
11/30/17,,350.3,58.6,219.4,,,16.54,2.25,18.79,0.086,,0.086,219.4
12/1/17,,353.6,58.5,222.2,,,16.93,2.25,19.18,0.086,,0.086,222.2
12/2/17,,356.9,58.4,223.0,,,16.86,2.24,19.11,0.086,,0.086,223.0
12/3/17,,360.2,58.3,230.4,,,18.39,2.25,20.64,0.090,,0.090,230.4
12/4/17,,363.4,58.3,231.9,,,18.47,2.24,20.71,0.089,,0.089,231.9
12/5/17,,366.7,58.2,227.3,,,17.12,2.24,19.36,0.085,,0.085,227.3
12/6/17,,370.0,58.1,229.5,,,17.36,2.23,19.59,0.085,,0.085,229.5
12/7/17,,373.3,58.0,230.7,,,17.36,2.23,19.59,0.085,,0.085,230.7
12/8/17,,376.6,58.0,231.4,,,17.29,2.23,19.52,0.084,,0.084,231.4
12/9/17,,379.8,57.9,230.0,,,16.76,2.22,18.98,0.083,,0.083,230.0
12/10/17,,383.1,57.8,231.0,,,16.74,2.22,18.96,0.082,,0.082,231.0
12/11/17,,386.4,57.7,232.8,,,16.91,2.22,19.13,0.082,,0.082,232.8
12/12/17,,389.7,57.7,234.8,,,17.10,2.21,19.31,0.082,,0.082,234.8
12/13/17,,393.0,57.6,240.9,,,18.20,2.21,20.41,0.085,,0.085,240.9
12/14/17,,396.3,57.5,242.3,,,18.27,2.21,20.48,0.085,,0.085,242.3
12/15/17,,399.5,57.4,240.5,,,17.64,2.20,19.84,0.083,,0.083,240.5
12/16/17,,402.8,57.4,247.9,,,19.03,2.20,21.23,0.086,,0.086,247.9
12/17/17,,406.1,57.3,246.2,,,18.43,2.20,20.63,0.084,,0.084,246.2
12/18/17,,409.4,57.2,243.6,,,17.67,2.20,19.86,0.082,,0.082,243.6
12/19/17,,412.7,57.1,244.9,,,17.70,2.19,19.90,0.081,,0.081,244.9
12/20/17,,416.0,57.1,249.6,,,18.47,2.19,20.65,0.083,,0.083,249.6
12/21/17,,419.2,57.0,254.7,,,19.33,2.19,21.52,0.084,,0.084,254.7
12/22/17,,422.5,56.9,248.9,,,17.92,2.18,20.10,0.081,,0.081,248.9
12/23/17,,425.8,56.8,249.9,,,17.91,2.18,20.09,0.080,,0.080,249.9
12/24/17,,429.1,56.8,247.9,,,17.35,2.18,19.52,0.079,,0.079,247.9
12/25/17,,432.4,56.7,251.8,,,17.91,2.17,20.08,0.080,,0.080,251.8
12/26/17,,435.7,56.6,250.5,,,17.47,2.17,19.64,0.078,,0.078,250.5
12/27/17,,438.9,56.6,248.4,,,16.93,2.17,19.09,0.077,,0.077,248.4
12/28/17,,442.2,56.5,249.0,,,16.87,2.16,19.03,0.076,,0.076,249.0
12/29/17,,445.5,56.4,250.8,,,17.02,2.16,19.17,0.076,,0.076,250.8
12/30/17,,438.6,56.7,249.9,,,17.19,2.17,19.36,0.077,,0.077,249.9
12/31/17,,431.6,57.0,245.8,,,16.78,2.18,18.96,0.077,,0.077,245.8
1/1/18,,424.7,57.3,239.5,,,15.98,2.19,18.17,0.076,,0.076,239.5
1/2/18,,417.7,57.6,233.8,,,15.31,2.20,17.51,0.075,,0.075,233.8
1/3/18,,410.8,57.9,229.3,,,14.84,2.21,17.05,0.074,,0.074,229.3
1/4/18,,403.9,58.1,227.1,,,14.75,2.22,16.97,0.075,,0.075,227.1
1/5/18,,396.9,58.4,221.9,,,14.16,2.23,16.40,0.074,,0.074,221.9
1/6/18,,390.0,58.7,220.6,,,14.25,2.24,16.49,0.075,,0.075,220.6
1/7/18,,383.0,59.0,217.6,,,14.04,2.26,16.29,0.075,,0.075,217.6
1/8/18,,376.1,59.3,211.1,,,13.22,2.27,15.48,0.073,,0.073,211.1
1/9/18,,369.2,59.6,210.9,,,13.48,2.28,15.76,0.075,,0.075,210.9
1/10/18,,362.2,59.9,212.8,,,14.17,2.29,16.45,0.077,,0.077,212.8
1/11/18,,355.3,60.2,201.5,,,12.47,2.30,14.76,0.073,,0.073,201.5
1/12/18,,348.4,60.5,195.2,,,11.69,2.31,14.00,0.072,,0.072,195.2
1/13/18,,341.4,60.8,188.0,,,10.81,2.32,13.13,0.070,,0.070,188.0
1/14/18,,334.5,61.0,186.2,,,10.77,2.33,13.10,0.070,,0.070,186.2
1/15/18,,327.5,61.3,185.4,,,10.91,2.34,13.25,0.071,,0.071,185.4
1/16/18,,320.6,61.6,180.2,,,10.32,2.35,12.67,0.070,,0.070,180.2
1/17/18,,313.7,61.9,176.2,,,9.95,2.36,12.31,0.070,,0.070,176.2
1/18/18,,306.7,62.2,173.7,,,9.80,2.37,12.17,0.070,,0.070,173.7
1/19/18,,299.8,62.5,173.5,,,10.05,2.38,12.43,0.072,,0.072,173.5
1/20/18,,292.8,62.8,173.0,,,10.27,2.39,12.67,0.073,,0.073,173.0
1/21/18,,285.9,63.1,169.9,,,10.05,2.41,12.45,0.073,,0.073,169.9
1/22/18,,279.0,63.4,160.3,,,8.68,2.41,11.10,0.069,,0.069,160.3
1/23/18,,272.0,63.7,155.3,,,8.13,2.42,10.56,0.068,,0.068,155.3
1/24/18,,265.1,63.9,151.1,,,7.72,2.43,10.15,0.067,,0.067,151.1
1/25/18,,258.1,64.2,152.0,,,8.14,2.45,10.59,0.070,,0.070,152.0
1/26/18,,251.2,64.5,149.0,,,7.90,2.46,10.36,0.070,,0.070,149.0
1/27/18,,244.3,64.8,141.8,,,6.99,2.47,9.45,0.067,,0.067,141.8
1/28/18,,237.3,65.1,137.4,,,6.54,2.48,9.02,0.066,,0.066,137.4
1/29/18,,230.4,65.4,134.1,,,6.25,2.49,8.74,0.065,,0.065,134.1
1/30/18,,223.4,65.7,134.0,,,6.50,2.50,9.00,0.067,,0.067,134.0
1/31/18,,216.5,66.0,133.0,,,6.61,2.51,9.13,0.069,,0.069,133.0
2/1/18,,209.6,66.3,127.9,,,6.03,2.52,8.55,0.067,,0.067,127.9
2/2/18,,202.6,66.6,124.0,,,5.64,2.53,8.17,0.066,,0.066,124.0
2/3/18,,195.7,66.8,122.4,,,5.65,2.54,8.19,0.067,,0.067,122.4
2/4/18,,188.7,67.1,118.6,,,5.26,2.55,7.82,0.066,,0.066,118.6
2/5/18,,181.8,67.4,116.7,,,5.23,2.56,7.79,0.067,,0.067,116.7
2/6/18,,174.9,67.7,113.6,,,4.98,2.57,7.56,0.067,,0.067,113.6
2/7/18,,167.9,68.0,107.4,,,4.16,2.58,6.75,0.063,,0.063,107.4
2/8/18,,161.0,68.3,105.7,,,4.14,2.59,6.73,0.064,,0.064,105.7
2/9/18,,154.1,68.6,103.0,,,3.97,2.61,6.58,0.064,,0.064,103.0
2/10/18,,147.1,68.9,102.8,,,4.28,2.62,6.90,0.067,,0.067,102.8
2/11/18,,140.2,69.2,98.8,,,3.82,2.63,6.44,0.065,,0.065,98.8
2/12/18,,133.2,69.5,96.2,,,3.66,2.64,6.30,0.065,,0.065,96.2
2/13/18,,126.3,69.7,92.2,,,3.16,2.65,5.80,0.063,,0.063,92.2
2/14/18,,119.4,70.0,89.9,,,3.05,2.66,5.71,0.063,,0.063,89.9
2/15/18,,112.4,70.3,87.6,,,2.98,2.67,5.65,0.064,,0.064,87.6
2/16/18,,105.5,70.6,83.9,,,2.46,2.68,5.15,0.061,,0.061,83.9
2/17/18,,98.5,70.9,81.4,,,2.29,2.70,4.99,0.061,,0.061,81.4
2/18/18,,91.6,71.2,79.7,,,2.50,2.70,5.20,0.065,,0.065,79.7
2/19/18,,92.7,70.8,80.1,,,2.58,2.69,5.27,0.066,,0.066,80.1
2/20/18,,93.8,70.5,79.8,,,2.38,2.68,5.06,0.063,,0.063,79.8
2/21/18,,94.9,70.2,79.7,,,2.28,2.66,4.94,0.062,,0.062,79.7
2/22/18,,95.9,69.8,80.2,,,2.38,2.65,5.03,0.063,,0.063,80.2
2/23/18,,97.0,69.5,80.2,,,2.35,2.63,4.99,0.062,,0.062,80.2
2/24/18,,98.1,69.1,80.6,,,2.44,2.62,5.06,0.063,,0.063,80.6
2/25/18,,99.2,68.8,80.4,,,2.34,2.61,4.94,0.061,,0.061,80.4
2/26/18,,100.3,68.4,80.6,,,2.34,2.59,4.93,0.061,,0.061,80.6
2/27/18,,101.4,68.1,80.9,,,2.41,2.58,4.99,0.062,,0.062,80.9
2/28/18,,102.5,67.8,81.1,,,2.41,2.57,4.98,0.061,,0.061,81.1
3/1/18,,103.6,67.4,80.6,,,2.26,2.55,4.82,0.060,,0.060,80.6
3/2/18,,104.6,67.1,80.9,,,2.31,2.54,4.85,0.060,,0.060,80.9
3/3/18,,105.7,66.7,81.1,,,2.35,2.53,4.88,0.060,,0.060,81.1
3/4/18,,106.8,66.4,81.8,,,2.50,2.52,5.02,0.061,,0.061,81.8
3/5/18,,107.9,66.0,81.2,,,2.31,2.50,4.81,0.059,,0.059,81.2
3/6/18,,109.0,65.7,80.8,,,2.22,2.49,4.71,0.058,,0.058,80.8
3/7/18,,110.1,65.3,81.1,,,2.26,2.47,4.74,0.058,,0.058,81.1
3/8/18,,111.2,65.0,80.9,,,2.22,2.47,4.68,0.058,,0.058,80.9
3/9/18,,112.2,64.7,82.1,,,2.46,2.45,4.90,0.060,,0.060,82.1
3/10/18,,113.3,64.3,82.1,,,2.45,2.43,4.88,0.059,,0.059,82.1
3/11/18,,114.4,64.0,81.6,,,2.32,2.42,4.74,0.058,,0.058,81.6
3/12/18,,115.5,63.6,81.6,,,2.32,2.41,4.73,0.058,,0.058,81.6
3/13/18,,116.6,63.3,81.9,,,2.37,2.39,4.77,0.058,,0.058,81.9
3/14/18,,117.7,62.9,82.7,,,2.51,2.38,4.89,0.059,,0.059,82.7
3/15/18,,118.8,62.6,83.9,,,2.75,2.37,5.12,0.061,,0.061,83.9
3/16/18,,119.9,62.3,83.1,,,2.57,2.35,4.92,0.059,,0.059,83.1
3/17/18,,120.9,61.9,83.1,,,2.55,2.34,4.89,0.059,,0.059,83.1
3/18/18,,122.0,61.6,83.7,,,2.67,2.33,4.99,0.060,,0.060,83.7
3/19/18,,123.1,61.2,83.2,,,2.56,2.31,4.87,0.059,,0.059,83.2
3/20/18,,124.2,60.9,83.4,,,2.59,2.30,4.90,0.059,,0.059,83.4
3/21/18,,125.3,60.5,83.4,,,2.59,2.29,4.88,0.058,,0.058,83.4
3/22/18,,126.4,60.2,83.1,,,2.53,2.28,4.80,0.058,,0.058,83.1
3/23/18,,127.5,59.8,84.5,,,2.77,2.26,5.04,0.060,,0.060,84.5
3/24/18,,128.6,59.5,84.5,,,2.77,2.25,5.02,0.059,,0.059,84.5
3/25/18,,129.6,59.2,85.5,,,2.92,2.24,5.16,0.060,,0.060,85.5
3/26/18,,130.7,58.8,85.1,,,2.84,2.22,5.06,0.060,,0.060,85.1
3/27/18,,131.8,58.5,84.6,,,2.75,2.21,4.96,0.059,,0.059,84.6
3/28/18,,132.9,58.1,84.9,,,2.81,2.20,5.00,0.059,,0.059,84.9
3/29/18,,134.0,57.8,84.4,,,2.71,2.18,4.89,0.058,,0.058,84.4
3/30/18,,135.1,57.4,84.2,,,2.68,2.17,4.85,0.058,,0.058,84.2
3/31/18,,136.2,57.1,84.8,,,2.77,2.16,4.93,0.058,,0.058,84.8
4/1/18,,137.2,56.8,86.0,,,2.96,2.14,5.10,0.059,,0.059,86.0
4/2/18,,138.3,56.4,86.5,,,3.04,2.13,5.17,0.060,,0.060,86.5
4/3/18,,139.4,56.1,85.3,,,2.84,2.11,4.95,0.058,,0.058,85.3
4/4/18,,140.5,55.7,86.8,,,3.07,2.10,5.16,0.059,,0.059,86.8
4/5/18,,141.6,55.4,88.7,,,3.34,2.08,5.42,0.061,,0.061,88.7
4/6/18,,142.7,55.0,91.3,,,3.77,2.06,5.83,0.064,,0.064,91.3
4/7/18,,143.8,54.7,92.8,,,4.01,2.05,6.06,0.065,,0.065,92.8
4/8/18,,144.9,54.3,95.6,,,4.52,2.03,6.55,0.068,,0.068,95.6
4/9/18,,145.9,54.0,96.4,,,4.65,2.01,6.66,0.069,,0.069,96.4
4/10/18,,147.0,53.7,98.2,,,4.99,1.99,6.98,0.071,,0.071,98.2
4/11/18,,148.1,53.3,101.5,,,5.68,1.98,7.66,0.075,,0.075,101.5
4/12/18,,149.2,53.0,105.3,,,6.57,1.96,8.53,0.081,,0.081,105.3
4/13/18,,150.3,52.6,106.4,,,6.80,1.95,8.75,0.082,,0.082,106.4
4/14/18,,151.4,52.3,106.7,,,6.81,1.94,8.75,0.082,,0.082,106.7
4/15/18,,152.5,51.9,108.6,,,7.30,1.92,9.23,0.085,,0.085,108.6
4/16/18,,153.6,51.6,111.5,,,8.10,1.91,10.01,0.090,,0.090,111.5
4/17/18,,154.6,51.3,114.4,,,8.96,1.90,10.86,0.095,,0.095,114.4
4/18/18,,160.1,52.0,118.4,,,9.41,1.93,11.33,0.096,,0.096,118.4
4/19/18,,165.6,52.8,124.7,,,10.77,1.95,12.73,0.102,,0.102,124.7
4/20/18,,171.1,53.6,131.4,,,12.39,1.98,14.38,0.109,,0.109,131.4
4/21/18,,176.7,54.4,136.7,,,13.46,2.01,15.47,0.113,,0.113,136.7
4/22/18,,182.2,55.1,142.6,,,14.98,2.05,17.02,0.119,,0.119,142.6
4/23/18,,187.7,55.9,149.9,,,17.34,2.08,19.41,0.130,,0.130,149.9
4/24/18,,193.2,56.7,156.8,,,19.78,2.11,21.89,0.140,,0.140,156.8
4/25/18,,198.7,57.5,163.4,,,22.25,2.15,24.40,0.149,,0.149,163.4
4/26/18,,204.2,58.3,169.9,,,24.95,2.19,27.13,0.160,,0.160,169.9
4/27/18,,209.7,59.0,175.9,,,27.43,2.23,29.66,0.169,,0.169,175.9
4/28/18,,215.2,59.8,181.8,,,29.91,2.28,32.18,0.177,,0.177,181.8
4/29/18,,220.7,60.6,187.6,,,32.41,2.32,34.72,0.185,,0.185,187.6
4/30/18,255.8,226.2,61.4,193.1,,,34.70,2.36,37.06,0.192,,0.192,193.1
5/1/18,,225.4,60.9,193.1,,,35.65,2.36,38.00,0.197,,0.197,193.1
5/2/18,,224.6,60.5,192.7,,,36.17,2.35,38.51,0.200,,0.200,192.7
5/3/18,,223.8,60.0,192.2,,,36.36,2.33,38.70,0.201,,0.201,192.2
5/4/18,,223.1,59.6,191.4,,,36.23,2.32,38.55,0.201,,0.201,191.4
5/5/18,,222.3,59.1,191.2,,,36.90,2.31,39.21,0.205,,0.205,191.2
5/6/18,,221.5,58.7,190.9,,0.00,37.47,2.30,39.77,0.208,,0.208,190.9
5/7/18,200.0,220.7,58.3,190.9,,0.00,37.96,2.29,40.25,0.221,,0.221,190.9
5/8/18,200.0,219.9,57.8,191.7,,8.50,38.27,2.28,49.04,0.256,,0.256,191.7
5/9/18,200.0,219.1,57.4,194.4,,38.25,38.17,2.26,78.68,0.405,,0.405,194.4
5/10/18,200.0,218.3,56.9,194.5,,45.43,38.19,2.25,85.87,0.442,,0.442,194.5
5/11/18,200.0,217.6,56.5,196.3,,98.17,38.07,2.24,138.48,0.705,,0.705,196.3
5/12/18,200.0,216.8,56.0,195.6,,82.08,38.02,2.22,122.33,0.625,,0.625,195.6
5/13/18,200.0,216.0,55.6,195.6,,88.71,37.89,2.21,128.80,0.659,,0.659,195.6
5/14/18,200.0,215.2,55.2,195.3,,88.45,37.78,2.19,128.42,0.658,,0.658,195.3
5/15/18,200.0,214.4,54.7,194.9,,82.93,37.67,2.17,122.77,0.630,,0.630,194.9
5/16/18,200.0,213.6,54.3,194.6,,83.52,37.56,2.16,123.23,0.633,,0.633,194.6
5/17/18,200.0,212.9,53.8,195.1,,100.90,37.46,2.14,140.50,0.720,,0.720,195.1
5/18/18,200.0,212.1,53.4,195.0,,105.97,37.35,2.13,145.44,0.746,,0.746,195.0
5/19/18,200.0,211.3,52.9,194.1,,87.04,37.22,2.11,126.37,0.651,,0.651,194.1
5/20/18,200.0,210.5,52.5,192.8,,69.24,37.08,2.09,108.41,0.562,,0.562,192.8
5/21/18,200.0,209.7,52.1,192.7,,70.82,36.95,2.07,109.84,0.570,,0.570,192.7
5/22/18,200.0,208.9,51.6,192.6,,73.51,36.83,2.06,112.40,0.584,,0.584,192.6
5/23/18,200.0,208.2,51.2,191.3,,60.37,36.71,2.04,99.12,0.518,,0.518,191.3
5/24/18,200.0,207.4,50.7,187.9,,33.39,36.56,2.02,71.98,0.383,,0.383,187.9
5/25/18,200.0,206.6,50.3,187.1,,31.18,36.43,2.01,69.62,0.372,,0.372,187.1
5/26/18,200.0,205.8,49.8,188.5,,43.49,36.32,1.99,81.80,0.434,,0.434,188.5
5/27/18,200.0,205.0,49.4,188.5,,45.80,36.21,1.97,83.98,0.446,,0.446,188.5
5/28/18,200.0,204.2,49.0,184.5,,24.80,36.08,1.96,62.83,0.341,,0.341,184.5
5/29/18,200.0,203.5,48.5,180.4,,12.32,35.94,1.94,50.20,0.278,,0.278,180.4
5/30/18,200.0,199.8,49.2,173.3,,0.00,35.25,1.97,37.21,0.226,,0.226,173.3
5/31/18,,196.2,49.9,169.1,,0.00,34.43,1.99,36.42,0.215,,0.215,169.1
6/1/18,,192.6,50.6,166.0,,,33.45,2.02,35.47,0.214,,0.214,166.0
6/2/18,,189.0,51.3,162.9,,,32.22,2.05,34.27,0.210,,0.210,162.9
6/3/18,,185.4,52.0,159.7,,,31.13,2.08,33.21,0.208,,0.208,159.7
6/4/18,,181.7,52.7,156.7,,,30.19,2.11,32.30,0.206,,0.206,156.7
6/5/18,,178.1,53.4,154.2,,,29.92,2.13,32.05,0.208,,0.208,154.2
6/6/18,,174.5,54.1,151.3,,,29.13,2.16,31.29,0.207,,0.207,151.3
6/7/18,,170.9,54.8,148.2,,,28.06,2.19,30.25,0.204,,0.204,148.2
6/8/18,,167.3,55.5,145.3,,,27.20,2.21,29.42,0.203,,0.203,145.3
6/9/18,,163.6,56.2,142.3,,,26.28,2.24,28.52,0.200,,0.200,142.3
6/10/18,,160.0,56.9,139.6,,,25.87,2.27,28.14,0.202,,0.202,139.6
6/11/18,,156.4,57.6,136.6,,,24.85,2.30,27.15,0.199,,0.199,136.6
6/12/18,,152.8,58.3,133.6,,,23.86,2.32,26.18,0.196,,0.196,133.6
6/13/18,,149.2,59.0,130.7,,,23.08,2.35,25.43,0.195,,0.195,130.7
6/14/18,,145.5,59.7,127.8,,,22.26,2.38,24.64,0.193,,0.193,127.8
6/15/18,,141.9,60.4,125.1,,,21.70,2.40,24.11,0.193,,0.193,125.1
6/16/18,,138.3,61.1,122.3,,,21.11,2.43,23.54,0.192,,0.192,122.3
6/17/18,,134.7,61.8,119.4,,,20.28,2.46,22.74,0.190,,0.190,119.4
6/18/18,,131.1,62.5,116.5,,,19.39,2.49,21.88,0.188,,0.188,116.5
6/19/18,,127.4,63.2,113.7,,,18.68,2.51,21.19,0.186,,0.186,113.7
6/20/18,,123.8,63.9,110.9,,,17.90,2.54,20.44,0.184,,0.184,110.9
6/21/18,,120.2,64.6,108.1,,,17.12,2.56,19.69,0.182,,0.182,108.1
6/22/18,,116.6,65.3,105.4,,,16.64,2.59,19.24,0.182,,0.182,105.4
6/23/18,,113.0,66.0,102.7,,,16.04,2.62,18.66,0.182,,0.182,102.7
6/24/18,,109.3,66.7,99.9,,,15.36,2.65,18.01,0.180,,0.180,99.9
6/25/18,,105.7,67.4,97.1,,,14.56,2.68,17.24,0.177,,0.177,97.1
6/26/18,,102.1,68.1,94.4,,,13.86,2.70,16.56,0.175,,0.175,94.4
6/27/18,,98.5,68.8,91.7,,,13.26,2.73,15.99,0.174,,0.174,91.7
6/28/18,,94.9,69.5,89.1,,,12.75,2.76,15.50,0.174,,0.174,89.1
6/29/18,,91.2,70.2,86.4,,,12.20,2.79,14.99,0.173,,0.173,86.4
6/30/18,,87.6,70.9,83.7,,,11.50,2.82,14.32,0.171,,0.171,83.7
7/1/18,,85.7,72.0,82.4,,,11.10,2.85,13.95,0.169,,0.169,82.4
7/2/18,,83.7,73.1,81.2,,,10.74,2.90,13.64,0.168,,0.168,81.2
7/3/18,,81.7,74.2,79.9,,,10.42,2.94,13.36,0.167,,0.167,79.9
7/4/18,,79.8,75.3,78.7,,,9.94,2.98,12.93,0.164,,0.164,78.7
7/5/18,,77.8,76.4,77.4,,,9.47,3.02,12.49,0.161,,0.161,77.4
7/6/18,,75.8,77.4,76.2,,,9.15,3.07,12.21,0.160,,0.160,76.2
7/7/18,,73.9,78.5,75.0,,,8.93,3.11,12.04,0.160,,0.160,75.0
7/8/18,,71.9,79.6,73.8,,,8.68,3.15,11.84,0.160,,0.160,73.8
7/9/18,,69.9,80.7,72.6,,,8.39,3.20,11.58,0.160,,0.160,72.6
7/10/18,,68.0,81.8,71.4,,,8.11,3.24,11.35,0.159,,0.159,71.4
7/11/18,,66.0,82.9,70.2,,,7.90,3.28,11.18,0.159,,0.159,70.2
7/12/18,,64.0,84.0,69.0,,,7.59,3.33,10.92,0.158,,0.158,69.0
7/13/18,,62.1,85.1,67.9,,,7.26,3.37,10.63,0.157,,0.157,67.9
7/14/18,,60.1,86.2,66.7,,,6.98,3.41,10.38,0.156,,0.156,66.7
7/15/18,,58.1,87.3,65.6,,,6.70,3.45,10.15,0.155,,0.155,65.6
7/16/18,,56.1,88.4,64.4,,,6.42,3.49,9.92,0.154,,0.154,64.4
7/17/18,,54.2,89.5,63.3,,,6.14,3.54,9.68,0.153,,0.153,63.3
7/18/18,,52.2,90.6,62.2,,,5.88,3.58,9.46,0.152,,0.152,62.2
7/19/18,,50.2,91.7,61.1,,,5.64,3.62,9.26,0.152,,0.152,61.1
7/20/18,,48.3,92.8,60.0,,,5.36,3.67,9.03,0.151,,0.151,60.0
7/21/18,,46.3,93.9,58.9,,,5.06,3.71,8.76,0.149,,0.149,58.9
7/22/18,,44.3,95.0,57.8,,,4.83,3.75,8.58,0.148,,0.148,57.8
7/23/18,,42.4,96.1,56.8,,,4.57,3.79,8.36,0.147,,0.147,56.8
7/24/18,,40.4,97.2,55.8,,,4.31,3.84,8.14,0.146,,0.146,55.8
7/25/18,,38.4,98.3,54.8,,,4.05,3.88,7.93,0.145,,0.145,54.8
7/26/18,,41.2,97.9,56.6,,,4.36,3.86,8.22,0.145,,0.145,56.6
7/27/18,,44.0,97.5,58.6,,,4.63,3.84,8.48,0.145,,0.145,58.6
7/28/18,,46.8,97.1,60.7,,,4.87,3.83,8.69,0.143,,0.143,60.7
7/29/18,,49.7,96.6,62.6,,,5.13,3.81,8.94,0.143,,0.143,62.6
7/30/18,,52.5,96.2,64.6,,,5.38,3.79,9.18,0.142,,0.142,64.6
7/31/18,,55.3,95.8,66.6,,,5.62,3.78,9.39,0.141,,0.141,66.6
8/1/18,,58.1,95.4,68.5,,,5.86,3.76,9.62,0.140,,0.140,68.5
8/2/18,,60.9,94.9,70.4,,,6.13,3.74,9.87,0.140,,0.140,70.4
8/3/18,,63.7,94.5,72.4,,,6.37,3.72,10.09,0.139,,0.139,72.4
8/4/18,,66.5,94.1,74.3,,,6.59,3.71,10.30,0.139,,0.139,74.3
8/5/18,,69.3,93.7,76.2,,,6.83,3.69,10.52,0.138,,0.138,76.2
8/6/18,,72.1,93.2,78.2,,,7.02,3.67,10.69,0.137,,0.137,78.2
8/7/18,,74.9,92.8,80.1,,,7.24,3.66,10.89,0.136,,0.136,80.1
8/8/18,,77.7,92.4,82.0,,,7.43,3.64,11.07,0.135,,0.135,82.0
8/9/18,,80.5,92.0,83.9,,,7.62,3.62,11.24,0.134,,0.134,83.9
8/10/18,,83.3,91.5,85.7,,,7.79,3.60,11.40,0.133,,0.133,85.7
8/11/18,,86.1,91.1,87.6,,,8.02,3.59,11.61,0.133,,0.133,87.6
8/12/18,,88.9,90.7,89.4,,,8.22,3.57,11.79,0.132,,0.132,89.4
8/13/18,,91.7,90.3,91.3,,,8.37,3.56,11.93,0.131,,0.131,91.3
8/14/18,,91.7,88.8,90.9,,,8.49,3.50,11.99,0.132,,0.132,90.9
8/15/18,,91.7,87.4,90.4,,,8.37,3.44,11.82,0.131,,0.131,90.4
8/16/18,,91.7,86.0,90.0,,,8.20,3.39,11.58,0.129,,0.129,90.0
8/17/18,,91.8,84.6,89.6,,,8.12,3.33,11.45,0.128,,0.128,89.6
8/18/18,,91.8,83.2,89.1,,,8.12,3.27,11.39,0.128,,0.128,89.1
8/19/18,,91.8,81.8,88.7,,,8.11,3.22,11.33,0.128,,0.128,88.7
8/20/18,,91.8,80.4,88.2,,,7.95,3.16,11.11,0.126,,0.126,88.2
8/21/18,,91.8,78.9,87.8,,,7.91,3.11,11.01,0.125,,0.125,87.8
8/22/18,,91.8,77.5,87.3,,,7.82,3.05,10.86,0.124,,0.124,87.3
8/23/18,,91.9,76.1,86.8,,,7.57,3.00,10.58,0.122,,0.122,86.8
8/24/18,,91.9,74.7,86.4,,,7.75,2.94,10.69,0.124,,0.124,86.4
8/25/18,,91.9,73.3,85.9,,,7.71,2.88,10.59,0.123,,0.123,85.9
8/26/18,,91.9,71.9,85.5,,,7.69,2.83,10.51,0.123,,0.123,85.5
8/27/18,,91.9,70.4,85.1,,,7.73,2.77,10.50,0.123,,0.123,85.1
8/28/18,,91.9,69.0,84.5,,,7.58,2.72,10.30,0.122,,0.122,84.5
