enzyme,depth,temperature,n,Vmax_ds_mean,Vmax_ds_sd,Vmax_ds_se,Vmax_MBC_mean,Vmax_MBC_sd,Vmax_MBC_se,Km_mean,Km_sd,Km_se,CE_ds_mean,CE_ds_sd,CE_ds_se,CE_MBC_mean,CE_MBC_sd,CE_MBC_se
N/A,cm,degreeCelsius,N/A,nmol/g_dry_soil/h,nmol/g_dry_soil/h,nmol/g_dry_soil/h,nmol/microg_MBC/h,nmol/microg_MBC/h,nmol/microg_MBC/h,micromolar,micromolar,micromolar,N/A,N/A,N/A,N/A,N/A,N/A
BG,00-10,4,3,676.033440941944,255.792579518428,147.681914641673,2.07596224657732,0.257642339080419,0.148749873822725,32.0659863290746,3.22716081287967,1.86320216403429,20.9256397950876,7.05503938292061,4.07322888687263,0.0646494549073993,0.00174334635422253,0.00100652148690113
BG,00-10,10,3,1452.06329204955,673.749580493049,388.989501664059,4.63312470620513,1.6641231337967,0.960781939262207,35.1735623450407,14.5724539685158,8.41341022147601,44.2567721349009,17.1428225627211,9.89741322125701,0.135097770586383,0.0134329022660361,0.00775548973929387
BG,00-10,16,3,2086.07247033639,625.974950026747,361.406805903905,6.58419254683005,0.969830452397665,0.559931872760088,47.8181343582035,5.93683485476822,3.42763320153478,43.7997626719833,12.3263817329397,7.11663981164683,0.137480638786953,0.00719348330949125,0.00415315952514585
BG,00-10,25,3,2198.56459470769,1031.918413667,595.778373912373,6.81090701884438,1.98831702796063,1.14795537132739,61.9298737233433,11.6967254980515,6.75310761493722,34.3179087941982,9.63671306702714,5.5637588833513,0.109517898247719,0.0209508153938176,0.0120959589073627
BG,00-10,35,3,3240.39342222659,1212.99253211994,700.321564944455,10.1729040664658,2.21598962662689,1.27940220745446,66.6315349848341,14.8375525226992,8.56646494309559,52.844814462574,30.0121511050774,17.3275235194762,0.159065611522864,0.0588169399084845,0.0339579760890736
BG,00-10,50,3,4993.00277875473,2223.27078544882,1283.60598646031,15.6504783668768,4.59734569589606,2.65427877508335,69.8186886843969,8.31925736647322,4.80312547999109,70.1062072844501,24.5319582765361,14.1635327147068,0.225996609473691,0.0670579550617762,0.0387159284062223
BG,10-20,4,3,218.990342153533,103.049296800463,59.4955392475489,0.952496766933605,0.119333896631275,0.0688974573435134,14.6394953496936,3.02755199127107,1.74795795714594,14.8760595951307,6.94974661086579,4.01243807658305,0.0660360672130646,0.0095385561631898,0.00550708796849799
BG,10-20,10,3,469.806168958276,245.896240915992,141.968260885565,2.02474198560242,0.523898895160746,0.302473168149204,20.4214152802741,10.5902170077288,6.11426464018879,24.2572203574134,13.1794021406304,7.60913137365131,0.107643913167172,0.0277098972359087,0.0159983166283688
BG,10-20,16,3,611.498997678217,363.795447512481,210.037399551291,2.56503444999927,0.730809779419254,0.421933222874117,22.1602992097576,5.92715281911173,3.42204327564221,25.7548395467971,10.3730081108374,5.98885902509815,0.115770286161761,0.00802611704395498,0.00463388083587485
BG,10-20,25,3,633.913132181175,351.355946044574,202.85545003021,2.66672630006431,0.714026176026747,0.412243204937482,22.5051343008351,8.21517427892158,4.74303308137507,26.7688004136857,10.4543536680753,6.03582390446683,0.121729980886678,0.015069221577163,0.00870021913405318
BG,10-20,35,3,1043.96911689207,626.85278461772,361.913623941307,4.35504275799114,1.61124983304315,0.930255524839203,26.8655018448684,5.0649767599056,2.9242656957707,36.7299486150228,18.8508873975271,10.8835649134256,0.159427847866369,0.040173005573498,0.0231938955820154
BG,10-20,50,3,1482.22408041864,789.815472699402,456.000175773131,6.34021640058125,1.67541632395757,0.967302065641598,29.7006827360661,13.1285084514622,7.57974788850998,48.0870465025826,9.11949297036713,5.26514172131436,0.236931778314783,0.083394792333204,0.0481480058025883
BG,30-40,4,3,67.8405354397829,33.4469268612912,19.3105922269322,0.468608510154494,0.150699508270466,0.0870064016666977,5.85924239098818,3.14572315059312,1.81618410779098,11.8473572029091,2.94687025800389,1.70137633672545,0.088369696516355,0.0234558507296379,0.0135422417328281
BG,30-40,10,3,144.211026443263,73.9811973700892,42.7130642165919,0.993076431713478,0.354594961151062,0.204725496273851,7.69351771841757,3.83252368694375,2.21270858233259,18.5587141819715,3.60931225769027,2.08383740356689,0.137838490820632,0.0263790800695051,0.0152299689791035
