sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,700,3381.350729
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,700,3247.506683
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,350,3258.496666
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,350,3412.135791
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,350,2802.946841
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,350,3470.165095
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,200,3077.955502
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,200,2775.562182
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,200,3058.272779
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,200,2810.170374
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,130,2821.647354
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,130,2842.103801
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,130,2721.992718
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,130,3004.879509
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,80,2289.122154
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,80,2237.724406
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,80,2471.938081
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,80,2170.086113
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,40,1438.396861
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,40,1392.251754
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,40,1558.298553
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,40,1519.142499
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,10,663.1529168
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,10,678.8853058
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,10,715.7610451
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,10,718.6797467
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,1200,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,700,3682.631438
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,700,3727.889611
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,700,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,700,3748.029575
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,350,3163.972002
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,350,3216.919018
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,350,3394.264857
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,350,3585.37745
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,200,2612.65734
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,200,2726.636888
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,200,3061.777001
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,200,3451.887161
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,130,2540.258461
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,130,3086.924394
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,130,3379.02109
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,130,2790.581094
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,80,1754.787575
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,80,1960.86355
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,80,2435.824246
