sampleID,IGSN,core,depth,enzyme,temperature,Vmax_ds,Vmax_MBC,Km,CE_ds,CE_MBC
N/A,N/A,N/A,cm,N/A,degreeCelsius,nmol/g_dry_soil/h,nmol/microg_MBC/h,micromolar,N/A,N/A
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,4,1440.03658235064,3.8273536771252,49.2374333806578,29.2467840721432,0.077732599250974
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,10,3327.05809076222,8.84271147952502,49.7882412338626,66.8241739075406,0.177606423934308
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,16,3791.75822348831,10.0777993818383,51.3609248216565,73.825738859934,0.196215302135465
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,25,4078.60831786242,10.8401944327295,70.0707782736162,58.2069789768289,0.154703496947045
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,35,6103.35304298992,16.2215953387446,82.1183383663173,74.3238741115755,0.197539254464485
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,50,9333.13332850122,24.8057602159173,64.8158819768499,143.994543371865,0.382711142074362
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,892.877475593625,2.37310491366631,35.7291911066384,24.9901396571984,0.06641921745677
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,2230.02973621178,5.92701089374857,44.7995332239696,49.7779681110297,0.132300728762446
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,16,2696.76112268214,7.16749749674941,53.1398318331422,50.7483939947327,0.134879943151781
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,25,3344.7217749515,8.88965831925256,75.1837770110481,44.4872804735522,0.118239049335686
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,35,4554.85634455111,12.1059745236736,53.3674741054109,85.3489212465707,0.226841811920159
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,50,7507.54778210613,19.9536879564081,76.3159082666339,98.3746109117397,0.2614617110589
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,4,71.6742595653493,0.190497063939082,461.695303007901,0.155241474406168,0.000412603426324702
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,10,133.313799561495,0.354323679840366,351.599451442863,0.379163844011741,0.00100774810195614
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,16,180.618480321049,0.480050863489252,435.066575506721,0.415151359560738,0.00110339633176862
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,25,240.657359168349,0.639623215013538,376.146240477858,0.639797326865788,0.00170046419765078
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,35,361.963264038474,0.962032108476374,258.253928554929,1.40157892684868,0.00372514026740838
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,50,426.446211587225,1.13341598124558,169.324059817927,2.51852106573502,0.00669376804728363
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,4,1069.21862387623,4.15403806984785,53.0644796066703,20.1494225855335,0.0782828381742141
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,10,1965.21871055132,7.63510208007051,33.4060965724808,58.828145523899,0.228554152189099
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,16,2322.18762347782,9.02196761059509,34.4022563800723,67.5010266135613,0.262249298735566
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,25,2238.27153416446,8.69594389393302,36.3594400849417,61.5595710202216,0.239166056287386
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,35,3635.31420917483,14.1236163339774,53.3450764217378,68.1471365873507,0.26475951074319
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,50,4828.75276739752,18.7602632218783,36.2046983241492,133.373650131388,0.51817206302655
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,4,266.439105229864,1.03514675268991,18.115238914308,14.7080094549248,0.0571423185521623
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,10,669.909035739573,2.60267411701893,32.6443445062085,20.5214424082605,0.0797281782308093
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,16,655.271060054528,2.54580388776615,23.8470411978731,27.4780864685625,0.106755545337558
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,25,818.768890776541,3.18101187796611,30.4721849630942,26.8693856961086,0.104390672405629
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,35,1530.67891411697,5.94686469162299,29.0049985355777,52.7729354042003,0.205028960243819
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,50,2083.74522683227,8.09559131017066,35.8819818070476,58.0721889341966,0.225617173368629
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,4,38.1913122763778,0.148377667196233,256.522870873112,0.148880729996465,0.000578418862580201
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,10,73.3018362307868,0.284786115292816,201.247828244916,0.364236657210428,0.00141510155799661
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,16,127.894635361745,0.496885456686079,335.012080708843,0.381761263925577,0.00148318668280479
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,25,156.794476880587,0.609164684900996,291.184449674031,0.538471326528983,0.00209202340847161
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,35,227.910462375898,0.885458517168238,204.900386032989,1.11229884329844,0.00432140970698649
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,50,232.191355238604,0.902090281269157,122.734393021051,1.89181980309936,0.00734993883185159
BE201907091COP3040,IEBWE00A0,Core1,30-40,AP,4,232.773597337718,1.61248426199607,17.9990066244045,12.9325802359617,0.0895874031075544
