enzyme,depth,Vmax_Q10_4to50C_mean,Vmax_Q10_4to50C_se,Vmax_Q10_4to50C_sd,Km_Q10_4to50C_mean,Km_Q10_4to50C_se,Km_Q10_4to50C_sd,CE_Q10_4to50C_mean,CE_Q10_4to50C_se,CE_Q10_4to50C_sd,Ea_4to50C_mean,Ea_4to50C_se,Ea_4to50C_sd,Vmax_Q10_4to35C_mean,Vmax_Q10_4to35C_se,Vmax_Q10_4to35C_sd,Km_Q10_4to35C_mean,Km_Q10_4to35C_se,Km_Q10_4to35C_sd,CE_Q10_4to35C_mean,CE_Q10_4to35C_se,CE_Q10_4to35C_sd,Ea_4to35C_mean,Ea_4to35C_se,Ea_4to35C_sd,Topt_mean,Topt_se,Topt_sd,TSmax_mean,TSmax_se,TSmax_sd,dCp_mean,dCp_se,dCp_sd
N/A,cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kJ/mol/K,kJ/mol/K,kJ/mol/K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kJ/mol/K,kJ/mol/K,kJ/mol/K,degreeCelsius,degreeCelsius,degreeCelsius,degreeCelsius,degreeCelsius,degreeCelsius,kJ/mol/K,kJ/mol/K,kJ/mol/K
BG,00-10,1.459322668116,0.0182660385904542,0.0316377068916805,1.20525503582621,0.0464074593455628,0.0803800774367019,1.21539071953151,0.059733088504475,0.103460744182759,28.4114866359997,0.949003156693965,1.6437216839372,1.55604083591395,0.0160355536462418,0.0277743936427871,1.30394175462072,0.071552453841134,0.123932485459071,1.20197095660968,0.0787121391019759,0.136333424097051,31.7418033074105,0.782834813873717,1.355909671563,59.2333374375221,1.82823290789451,3.16659228454269,29.3122737409458,0.863197407698585,1.49510176709569,-0.856842365455918,0.0633302165701192,0.109691152753787
BG,10-20,1.43045792614002,0.0315325460229622,0.0546159718037745,1.13656119723034,0.0624110503251166,0.10809911011684,1.26588938743326,0.0714091397890173,0.123684258239366,26.8126471626604,1.65740663229897,2.87071249594344,1.50034840785186,0.0655471768797173,0.113531040648374,1.18707942609658,0.0613774386053929,0.10630884210298,1.27043758517634,0.0867059180402804,0.150179055362669,28.9255975739942,3.1326475584096,5.42590473337203,63.0171192078156,-9999,-9999,31.4045920469014,-9999,-9999,-0.802566261725638,-9999,-9999
BG,30-40,1.50821962100934,0.0178171445706213,0.0308601996421161,1.20761102531882,0.0475315096682561,0.0823269897058708,1.25216128718762,0.0425592997755529,0.0737148695458123,30.8234923785235,0.925888283369188,1.60368554892816,1.61901943353907,0.0341650252369203,0.0591755595522189,1.20899122708017,0.115060924140537,0.199291366577238,1.35837053979163,0.101008623728941,0.174952068301132,34.412181671209,1.59556418115857,2.76359822850368,82.7539074320121,21.1083380911157,36.5607140371539,44.1711115559386,12.011258132749,20.8041093487461,-0.704812303773971,0.220502731407167,0.381921934004926
BG,50-60,1.52769197842994,0.0736525013632813,0.127569874465739,1.13949336121815,0.0824517670804371,0.142810649757152,1.36450819659201,0.164774548744456,0.285397890219632,31.7656205219874,3.58766921633393,6.21402536344119,1.66825004638036,0.171081324842186,0.296321546852861,1.24982600611937,0.0715609035288795,0.123947120747554,1.35783889209576,0.204695318668509,0.35454269200536,35.8526798299812,7.46932054996771,12.9372426905624,53.0117926750818,-9999,-9999,28.5407354140496,-9999,-9999,-1.31084547606668,-9999,-9999
BG,60-70,1.4507278333559,0.0232010122960888,0.040185332083856,1.00138934536314,0.104993644973312,0.181854327565625,1.4832082217462,0.164855196006658,0.285537575375257,27.8155224674179,1.18865363041309,2.05880848047668,1.52996378340252,0.0289896564827647,0.0502115579221169,0.980296081371381,0.179026436636069,0.310082884151681,1.67173255770496,0.3052246922579,0.528664674715258,30.2994189457297,1.38950044179618,2.40668536233038,75.2826059587715,-9999,-9999,38.4156012458573,-9999,-9999,-0.63430277521073,-9999,-9999
BG,80-90,1.39809977747353,0.0494691998405984,0.0856831675336946,0.956028456433352,0.0912311381463446,0.158016966501804,1.49373608444311,0.166641445886618,0.288631450922362,25.2601079938734,2.55480399634025,4.42505032504132,1.46996075834595,0.0711910169841991,0.123306458459132,0.932087714810559,0.145648707153046,0.252270960845796,1.66685740453832,0.287968544616238,0.49877615025699,27.767073342134,3.32722858950714,5.7629289654221,63.0730644724577,10.7537650023926,18.6260673568001,30.3162073366349,4.95480242180014,8.58196953602316,-0.884821149664104,0.335236356656307,0.580646402273004
LAP,00-10,1.37439178437435,0.0509799967294558,0.0882999445051127,0.812748992801078,0.0540656918005723,0.0936445251449512,1.69953878381235,0.0739158491703625,0.128026006247666,23.9656555073341,2.85836943747378,4.95084109250666,1.52763604551273,0.0812086953494272,0.14065758636159,0.825672338645481,0.0657715987680177,0.113919750761241,1.8594028166011,0.0653195726718222,0.113136818596284,30.2443126737199,3.92456837509945,6.79755182345029,46.2908891156524,3.06873159347136,5.31519903468419,21.2115467915019,1.85698569531777,3.216393573219,-1.230137603519,0.273587072662795,0.473866710146
LAP,10-20,1.27157422748557,0.10886310408318,0.188556427341727,0.78073989095807,0.0444609348540565,0.0770085981192358,1.62441450546147,0.0672921586441023,0.11655343772257,17.6631914283544,6.64023576387702,11.5012257172709,1.41281447352934,0.185540796044009,0.321366085624998,0.834859203531476,0.0724758038153919,0.125531774527653,1.68106058115201,0.105428235479747,0.182607060403257,23.4827668347173,9.72406609454262,16.8425765319057,80.2248622106843,37.0323879718206,64.1419774927958,23.6134521689031,3.77396788755992,6.53670412738717,-0.942352251770313,0.49255182556205,0.853124787234273
LAP,30-40,1.53492640102693,0.0256001577458782,0.044340773897639,0.949480854048006,0.0484028986468631,0.0838362796899738,1.62242065199082,0.0571344466975557,0.0989597645425023,32.1267962484904,1.23906816018971,2.14612900748946,1.62756274360268,0.0377444282477127,0.0653752674276763,0.885978739813678,0.0244832955173488,0.0424063117727715,1.84009293399809,0.07040321658222,0.121941948136681,34.8666046740045,1.6170946887584,2.80089016157933,73.495299034299,9.92871922455793,17.1970461510202,39.1688150614265,6.23513601383747,10.799572368069,-0.725011803382682,0.121012763346731,0.209600254480846
