sampleID,IGSN,core,depth,enzyme,Vmax_Q10_4to50C,Km_Q10_4to50C,CE_Q10_4to50C,Vmax_Q10_4to35C,Km_Q10_4to35C,CE_Q10_4to35C,Ea_4to50C,Ea_4to35C,Topt,TSmax,dCp
N/A,N/A,N/A,cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kJ/mol/K,kJ/mol/K,degreeCelsius,degreeCelsius,kJ/mol/K
BE201907091COP0010,IEBWE009X,Core1,00-10,AP,1.41147325887218,1.09666023687903,1.28706522896196,1.47024466624721,1.20032659257917,1.2248705271855,25.8591871578169,27.6631922535882,69.3642695034854,33.2285714702247,-0.59765959630176
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,1.48637591982301,1.14914093897656,1.29346703211774,1.57675062337452,1.16948235507042,1.34824661230531,29.7917504556842,32.7231605103746,60.5864176862986,30.6671045193784,-0.857296838051997
BE201907091COP0010,IEBWE009X,Core1,00-10,LAP,1.44344812241071,0.814835559537186,1.77145941351721,1.62413675631225,0.860954948014743,1.8864364042013,27.6894811259064,34.6700247858852,50.5894117393398,24.8262747671383,-1.11218211776054
BE201907091COP1020,IEBWE009Y,Core1,10-20,AP,1.33372044631911,0.990322136019196,1.34675414979642,1.38379869978298,1.03399024058717,1.33830924651394,21.576977860402,23.2290466684304,80.7720344455283,36.1039116969035,-0.398515320125574
BE201907091COP1020,IEBWE009Y,Core1,10-20,BG,1.49192347293356,1.10640989775826,1.3484364844859,1.60292770061927,1.11182587765372,1.44170749470404,30.0021274487078,33.675386073233,73.5806272147517,37.9061285105172,-0.632079618354081
BE201907091COP1020,IEBWE009Y,Core1,10-20,LAP,1.44697126767697,0.866877058302482,1.66917702322222,1.71923489960309,0.97498473795744,1.76334544805781,28.0672146235062,38.8435257958878,41.6226274793903,21.3294177560654,-1.75072697890701
BE201907091COP3040,IEBWE00A0,Core1,30-40,AP,1.35538670515632,0.973038808185965,1.39294208386525,1.44390331250077,1.03180387027309,1.39939706963748,22.8711860950683,26.3144652202485,58.3754302139256,25.8783333154379,-0.703956089150169
BE201907091COP3040,IEBWE00A0,Core1,30-40,BG,1.47627241908622,1.12791504481225,1.30885072051855,1.55184009541278,1.01951422345909,1.52213677818792,29.1156488324902,31.2701127956327,124.164115475888,67.7194184007332,-0.303207406818342
BE201907091COP3040,IEBWE00A0,Core1,30-40,LAP,1.57164747952808,1.02520243597639,1.53301184661278,1.61504425829022,0.934937367835003,1.72743577682654,33.8433894956402,34.3909567340448,93.1520045689148,51.6165687504477,-0.508294148909378
BE201907091COP5060,IEBWE00A2,Core1,50-60,AP,1.49033564160237,1.14378425226935,1.3029866765917,1.67426679643728,1.44078606041646,1.1620509404105,30.1213070463468,36.9586884305305,49.1541356705252,25.133969493207,-1.28208799254418
BE201907091COP5060,IEBWE00A2,Core1,50-60,BG,1.65043506729435,0.993990612834484,1.66041313266323,1.93212568617472,1.16267909602487,1.66178758419287,37.6749120104563,46.9767641140682,48.8343253838651,27.1404812474748,-1.59301593810414
BE201907091COP5060,IEBWE00A2,Core1,50-60,LAP,1.80133468685395,0.911371043503279,1.9765107742832,2.18183095551802,1.05456525981062,2.06893877379369,44.3700125151525,55.6931300049729,51.9846541031775,30.6384335013163,-1.68387753284421
BE201907091COP6070,IEBWE00A3,Core1,60-70,AP,1.36308033701555,0.779212200198173,1.74930569191407,1.42109387321484,0.833177503407627,1.7056315939913,23.2996673298809,25.3195403964621,57.6470450973036,25.8089511318817,-0.733059155434416
BE201907091COP6070,IEBWE00A3,Core1,60-70,BG,1.43333320415098,0.797048304066006,1.79830155442157,1.48337398604576,0.663548814448004,2.23551599181103,26.7727834175698,27.9570173418256,-9999,-9999,-9999
BE201907091COP6070,IEBWE00A3,Core1,60-70,LAP,1.86795078092146,1.05112113521022,1.77710324561962,2.61546960029249,1.45905145915651,1.79258214909329,47.5792490129247,68.889103807671,39.9130770077822,24.9786062860328,-3.31312367750163
BE201907091COP8090,IEBWE00A5,Core1,80-90,AP,1.53136211694176,1.04670380747511,1.46303290960196,1.60350633256633,1.01757973863113,1.57580410821013,31.8276829707912,33.5907978873451,158.999014177822,91.9525410775812,-0.246540264111864
BE201907091COP8090,IEBWE00A5,Core1,80-90,BG,1.39453436019669,0.816559972905073,1.70781621248879,1.4740153012615,0.705118282728279,2.09045111631224,25.2423452829462,28.3833058296456,41.9831668902497,20.4199885409438,-1.54101824995576
BE201907091COP8090,IEBWE00A5,Core1,80-90,LAP,1.38263834801874,0.726260989026545,1.90377614784457,1.61550868966006,0.708657822857904,2.27967382501327,24.4142817363024,33.91853436147,53.635668961401,24.6278055465229,-0.876119177219671
BE201907092COP0010,IEBWE00A6,Core2,00-10,AP,1.23553921909736,0.979477438999046,1.26142693022107,1.39089328523602,1.07032810510926,1.29950178697218,16.0690086369583,23.5331972523224,41.5818966072576,15.3830548299115,-1.00840962850191
BE201907092COP0010,IEBWE00A6,Core2,00-10,BG,1.42453491161472,1.29733835190573,1.09804424537526,1.52447873893269,1.41359507230491,1.07844089782159,26.5930928703377,30.1946236091088,61.4985972853963,29.5614944536225,-0.746924682520767
BE201907092COP0010,IEBWE00A6,Core2,00-10,LAP,1.40482742706978,0.905332798296585,1.55172487919692,1.59252395160067,0.917776479062573,1.73519804432915,25.8601598201341,33.6454137797172,40.3477685261676,20.1427583681716,-1.75184046622555
