Year,Block,Treatment,Litter Addn,Horiozn,Lysimeter,depth,increment,gwc_2mm,m_soil,m_co_rt,m_fi_rt,m_rt,C13_soil,C13_co_rt,C13_fi_rt,F_soil,F_co_rt,F_fi_rt,C_soil,C_co_rt,C_fi_rt,Fc_soil,Fc_rt,x_soil,x_coroot,x_firoot,g_C_soil,g_C_co_rt,g_C_fi_rt,g_C_added to A or B
2015,3,Unplanted,B horizon,B,48,35-45cm,8,0.108,384.79,0,0.003,0.003,-13.08907188,,-27.12,0.010913541,,0.01076,0.005,,0.48,0.010765,0.01064875,0.003283763,0,0.002453075,2.04,0,0.00144,0.056949
2014,3,Unplanted,B horizon,B,48,35-40cm,5,0.0169,271.1,NaN,0.000915105,,-9.078112607,,137.269539,0.011012561,,0.012618465,0.005717912,,0.31401478,0.010817306,NaN,0.004321455,,,1.550125943,,0.000287356,0.056949
2014,3,Unplanted,B horizon,B,48,40-45cm,5,0.014,188.42,NaN,0,,-9.530893818,,305.7866907,0.011007584,,0.014461192,0.006332225,,0.24673741,0.010816486,NaN,0.004229374,,,1.193117835,,0,0.056949
2015,4,Heated,B horizon,B,51,35-45cm,10,0.037,472.7,0.069,0.079,0.148,,3.27,45.48,,0.01109,0.01155,,0.31,0.38,0.010765,0.01064875,,0.009729611,0.019872661,,0.02139,0.03002,0.056949
2014,4,Heated,B horizon,B,51,35-40cm,5,0.0136,219.08,0.0332,0.014629716,0.0478,-25.32306104,-15.34210822,-28.00939633,0.010833979,0.010943708,0.010804442,0.007368458,0.297165965,0.432891814,0.010813115,0.010804466,0.000461727,0.00308088,0.228843742,1.614281779,0.00986591,0.006333084,0.056949
2014,4,Heated,B horizon,B,51,40-45cm,5,0.0134,168.74,0.0768,0.0174,0.0942,14.612297,-25.95199389,270.794968,0.011272875,0.010827064,0.014079125,0.007266847,0.39266512,0.403210119,0.01081362,0.010804466,0.010163571,0.000500005,0.086635852,1.226207763,0.030156681,0.007015856,0.056949
2015,4,Heated,A horizon,A,52,07-14cm,7,0.096,260.74,0.06,0.065,0.125,-25.72993716,-28.92,-25.81,0.010775261,0.01074,0.01077,0.026,0.38,0.42,0.01075,0.010653333,0.000558254,0.001911203,0.002572773,6.68,0.0228,0.0273,0.056949
2015,4,Heated,A horizon,A,52,14-20cm,6,0.05,290.6,0.086,0.072,0.158,-27.41810579,-28.82,-28.36,0.010756791,0.01074,0.01075,0.012,0.41,0.3,0.010755,0.010653333,3.96E-05,0.001911203,0.002131726,3.35,0.03526,0.0216,0.056949
2014,4,Heated,A horizon,A,52,05-10cm,5,0.0161,189.4,0.0409,0.058165882,0.0991,-27.34045518,-26.7620537,-10.78941923,0.010811797,0.010818157,0.010993751,0.025748306,0.381376086,0.417433153,0.010799864,0.010804466,0.000264004,0.000302928,0.237407248,4.876729156,0.015598282,0.024280368,0.056949
2014,4,Heated,A horizon,A,52,10-15cm,5,0.0157,215.11,0.0356,0.021526376,0.0571,-18.17471042,52.78416304,223.8172694,0.010912569,0.011692025,0.01356572,0.022672343,0.379867865,0.445009344,0.010801534,0.010804466,0.00245661,0.019638201,0.245801058,4.877047703,0.013523296,0.009579438,0.056949
2014,4,Heated,A horizon,A,52,15-20cm,5,0.0139,209.06,0.272,0.015419068,,-24.7755452,-27.83443155,-26.44520086,0.010839999,0.010806366,0.010821641,0.0114065,0.379358459,0.437935696,0.010803447,0.010804466,0.000808734,4.20E-05,0.221546376,2.38464289,0.103185501,0.00675256,0.056949
2015,4,Unplanted,A horizon,A,53,07-14cm,7,0.156,271.33,0,0.012,0.012,-26.49801247,,41.46,0.010766857,,0.01151,0.031,,0.31,0.01075,0.010653333,0.00037253,0,0.018891502,8.4,0,0.00372,0.056949
2015,4,Unplanted,A horizon,A,53,14-20cm,6,0.133,309.88,0,0,0,-27.46505842,,-29.26,0.010756277,,0.01074,0.009,,0.21,0.010755,0.010653333,2.82E-05,0,0.001911203,2.8,0,0,0.056949
2014,4,Unplanted,A horizon,A,53,05-10cm,5,0.0195,195.81,NaN,0.006003608,,-24.27428443,,,0.01084551,,,0.022408226,,,0.010806114,NaN,0.000871711,,,4.387754733,,,0.056949
2014,4,Unplanted,A horizon,A,53,10-15cm,5,0.0297,212.29,NaN,0.009403765,,-25.53607649,,,0.010831637,,,0.020488651,,,0.010801783,NaN,0.000660513,,,4.349535721,,,0.056949
2014,4,Unplanted,A horizon,A,53,15-20cm,5,0.0252,218.55,NaN,0.001429989,,-25.29744036,,,0.010834261,,,0.011089723,,,0.010804494,NaN,0.000658627,,,2.423658962,,,0.056949
2015,4,Control,A horizon,A,59,07-14cm,7,0.091,298.59,0.083,0.041,0.123,-24.90524508,19.98,-19.3,0.010784283,0.01128,0.01085,0.02,0.36,0.49,0.01075,0.010653333,0.000757635,0.013819465,0.00433696,6.11,0.02988,0.02009,0.056949
2015,4,Control,A horizon,A,59,14-20cm,6,0.057,279.64,0.023,0.051,0.075,-23.80491454,-28.11,-23.55,0.010796321,0.01075,0.0108,0.012,0.41,0.4,0.0107575,0.010653333,0.000858065,0.002131726,0.003234343,3.22,0.00943,0.0204,0.056949
2014,4,Control,A horizon,A,59,05-10cm,5,0.0145,228.06,0.0543,0.021667536,0.076,-28.05705,-27.61718355,-27.26254929,0.010803918,0.010808754,0.010812654,0.021078612,0.341946946,0.437836096,0.010803234,0.01080029,1.51E-05,0.000187258,0.238884722,4.807188253,0.018567719,0.009486829,0.056949
2014,4,Control,A horizon,A,59,10-15cm,5,0.0171,172.18,0.0338,0.022197859,0.056,-22.54224555,-27.31137017,-27.35174153,0.010864553,0.010812117,0.010811673,0.023684332,0.361690883,0.384065682,0.010803581,0.01080029,0.001349045,0.000261661,0.209351522,4.077968284,0.012225152,0.008525436,0.056949
2014,4,Control,A horizon,A,59,15-20cm,5,0.0157,177,0.0322,0.025847169,,-24.48672184,-2.619354657,14.52355308,0.010843175,0.011083544,0.0112719,0.018567745,0.375794816,0.42212072,0.010806864,0.01080029,0.000803463,0.006266722,0.231604081,3.286490865,0.012100593,0.010910626,0.056949
2015,4,Control,B horizon,B,60,35-45cm,7.5,0.03,211.3,0.034,0.055,0.088,-21.40404111,42.6,-11.88,0.010822587,0.01152,0.01093,0.007,0.36,0.42,0.010765,0.01064875,0.001273063,0.019211157,0.006201593,1.48,0.01224,0.0231,0.056949
2014,4,Control,B horizon,B,60,35-40cm,5,0.0141,250.66,0.0428,0.025589243,0.0684,-23.40577653,121.5713542,-26.87449461,0.010855059,0.012446455,0.010816921,0.007199254,0.311341765,0.353956789,0.01081539,0.01080029,0.000877932,0.036419813,0.219890555,1.804565008,0.013325428,0.009057486,0.056949
2014,4,Control,B horizon,B,60,40-45cm,5,0.0125,216.75,0.069,0.0178,0.0868,-12.64184193,-26.63225175,-14.95993235,0.01097339,0.010819584,0.010947909,0.006611164,0.398480697,0.384283096,0.010815835,0.01080029,0.003486952,0.000426861,0.165066487,1.432969797,0.027495168,0.006840239,0.056949
2015,4,Unplanted,B horizon,B,62,35-45cm,8,0.108,388.03,0,0.001,0.001,-5.407835284,,-27.6,0.010997548,,0.01075,0.005,,0.28,0.010765,0.01064875,0.005140886,0,0.002232574,2.04,0,0.00028,0.056949
2014,4,Unplanted,B horizon,B,62,35-40cm,5,0.0137,268.11,NaN,0.00721236,,-23.64747605,,,0.010852402,,,0.004653133,,,0.010817306,NaN,0.000776758,,,1.247551489,,,0.056949
2014,4,Unplanted,B horizon,B,62,40-45cm,5,0.0204,252.64,NaN,0.0055,,-7.767352862,,,0.011026967,,,0.005102101,,,0.010816486,NaN,0.004658358,,,1.288994797,,,0.056949
