Site,Parameter,Lysimeter,U_ID,Date,Sample_name,Block,Treatment,Litter Addition,Leachate (ml),IC (mg/L),DOC (mg/L),d13C of DOC,F of DOC,Proportion of leachate C that is from litter,leachate DOC (mg),applied litter (g),applied litter (g C),recovered in leachate as fraction of applied
HP,Leachate,48,243,20150218,HP48 20150218,3,unplanted,B,13612,0.50978228,3.47932172,,,,47.36052725,,,
HP,Leachate,51,244,20150218,HP51 20150218,4,heated,B,12588,1.0559285,31.9702615,,,,402.4416518,,,
HP,Leachate,52,245,20150218,HP52 20150218,4,heated,A,12394,2.1001485,35.46294483,,,,439.5277382,,,
HP,Leachate,53,246,20150218,HP53 20150218,4,unplanted,A,13283,0.11462165,12.03955135,,,,159.9213606,,,
HP,Leachate,54,247,20150218,HP54 20150218,4,heated,none,12123,1.376619,32.273791,,,,391.2551683,,,
HP,Leachate,56,248,20150218,HP56 20150218,4,unplanted,none,13350,0.189178,3.02915,,,,40.4391525,,,
HP,Leachate,57,249,20150218,HP57 20150218,4,control,none,12975,1.649649,8.148319667,,,,105.7244477,,,
HP,Leachate,59,250,20150218,HP59 20150218,4,control,A,12929,0.50744955,29.97210378,,,,387.5093298,,,
HP,Leachate,60,251,20150218,HP60 20150218,4,control,B,12915,1.376619,29.5496135,,,,381.6332584,,,
HP,Leachate,62,252,20150218,HP62 20150218,4,unplanted,B,13515,0.2400478,2.703261533,,,,36.53457962,,,
HP,Leachate,1,253,20141223,HP1 20141223,1,heated,A,12698,2.22508305,30.38795095,,,,385.8662012,,,
HP,Leachate,2,254,20141223,HP2 20141223,1,heated,B,13054,1.9535745,29.0371155,,,,379.0505057,,,
HP,Leachate,3,255,20141223,HP3 20141223,1,unplanted,A,13849,0.650018374,21.03869043,,,,291.3648238,,,
HP,Leachate,4,256,20141223,HP4 20141223,1,heated,none,12613,2.383973963,28.01382484,,,,353.3383727,,,
HP,Leachate,6,257,20141223,HP6 20141223,1,unplanted,none,13585,0.924443,3.326109667,,,,45.18519983,,,
HP,Leachate,7,258,20141223,HP7 20141223,1,control,none,13489,1.913459788,5.441873353,,,,73.40542966,,,
HP,Leachate,9,259,20141223,HP9 20141223,1,control,A,13331,2.0532065,24.6900735,,,,329.1433698,,,
HP,Leachate,10,260,20141223,HP10 20141223,1,control,B,13469,3.0774281,26.0519699,,,,350.8939826,,,
HP,Leachate,21,261,20141223,HP21 20141223,1,unplanted,B,12795,0.58504755,4.378834783,,,,56.02719105,,,
HP,Leachate,24,262,20141223,HP24 20141223,2,control,A,9240,2.0158445,6.126131833,,,,56.60545814,,,
HP,Leachate,25,263,20141223,HP25 20141223,2,control,none,13176,3.300762,23.72296467,,,,312.5737825,,,
HP,Leachate,26,264,20141223,HP26 20141223,2,control,B,13067,2.484067,26.33994633,,,,344.1840787,,,
HP,Leachate,27,265,20141223,HP27 20141223,2,unplanted,none,13198,0.712244489,3.812969366,,,,50.32356969,,,
HP,Leachate,29,266,20141223,HP29 20141223,2,heated,none,12787,3.54843496,29.56034724,,,,377.9881602,,,
HP,Leachate,30,267,20141223,HP30 20141223,2,heated,A,12434,1.6584953,32.0889535,,,,398.9940478,,,
HP,Leachate,31,268,20141223,HP31 20141223,2,unplanted,B,13373,0.899267715,20.75817769,,,,277.5991102,,,
HP,Leachate,32,269,20141223,HP32 20141223,2,heated,B,12719,2.35613726,26.25071534,,,,333.8828484,,,
HP,Leachate,34,270,20141223,HP34 20141223,2,unplanted,A,13724,0.809004,4.375164667,,,,60.04475989,,,
HP,Leachate,37,271,20141223,HP37 20141223,3,heated,A,13718,2.662255,28.342005,,,,388.7956246,,,
HP,Leachate,38,272,20141223,HP38 20141223,3,heated,B,12240,2.56799181,31.96550819,,,,391.2578202,,,
HP,Leachate,40,273,20141223,HP40 20141223,3,heated,none,1132,2.5710055,8.597080833,,,,9.731895503,,,
HP,Leachate,41,274,20141223,HP41 20141223,3,unplanted,A,13629,0.462206852,18.26987755,,,,249.0001611,,,
HP,Leachate,42,275,20141223,HP42 20141223,3,unplanted,none,13325,0.9716245,19.88679883,,,,264.9915944,,,
HP,Leachate,43,276,20141223,HP43 20141223,3,control,none,12175,2.4225155,27.2518845,,,,331.7916938,,,
HP,Leachate,44,277,20141223,HP44 20141223,3,control,A,13165,2.729264033,25.59621797,,,,336.9742096,,,
HP,Leachate,46,278,20141223,HP46 20141223,3,control,B,13463,1.99155036,6.60226004,,,,88.88622692,,,
HP,Leachate,48,279,20141223,HP48 20141223,3,unplanted,B,13612,0.66107094,5.29455512,,,,72.06948429,,,
HP,Leachate,51,280,20141223,HP51 20141223,4,heated,B,12588,2.848165347,29.88545605,,,,376.1981208,,,
HP,Leachate,52,281,20141223,HP52 20141223,4,heated,A,12394,1.733154667,27.00943867,,,,334.7549829,,,
HP,Leachate,53,282,20141223,HP53 20141223,4,unplanted,A,13283,0.31369884,17.37386783,,,,230.7770864,,,
HP,Leachate,54,283,20141223,HP54 20141223,4,heated,none,12123,2.7985305,28.36404617,,,,343.8573317,,,
HP,Leachate,56,284,20141223,HP56 20141223,4,unplanted,none,13350,0.3489724,4.1802176,,,,55.80590496,,,
HP,Leachate,57,285,20141223,HP57 20141223,4,control,none,12975,1.418930667,5.546979,,,,71.97205253,,,
HP,Leachate,59,286,20141223,HP59 20141223,4,control,A,12929,1.389552,26.100078,,,,337.4479085,,,
HP,Leachate,60,287,20141223,HP60 20141223,4,control,B,12915,2.178944,25.500666,,,,329.3411014,,,
HP,Leachate,62,288,20141223,HP62 20141223,4,unplanted,B,13515,0.747692,4.231569667,,,,57.18966405,,,
