Decimal.Year, year, day, B1.H.L4.10cm, B1.H.L4.40cm, B2.H.L29.10cm, B2.H.L29.40cm, B4.H.L54.10cm, B4.H.L54.40cm, B3.H.L40.10cm, B3.H.L40.40cm, B1.C.L7.10cm, B1.C.L7.40cm, B2.C.L25.10cm, B2.C.L25.40cm, B4.C.L57.10cm, B4.C.L57.40cm, B3.C.L43.10cm, B3.C.L43.40cm, B1.U.L6.10cm, B1.U.L6.40cm, B2.U.L27.10cm, B2.U.L27.40cm, B4.U.L56.10cm, B4.U.L56.40cm, B3.U.L42.10cm, B3.U.L42.40cm
2014.09315068493, 2014, 34, 6.245, 7.82052631578947, 6.9021052631579, 8.74421052631579, 7.13763157894737, 8.57289473684211, 7.11421052631579, 8.36578947368421, 6.43526315789474, 8.10868421052632, 6.98289473684211, 8.67473684210526, 7.27, 8.93815789473684, 7.35157894736842, 8.84815789473684, 6.14894736842105, NA, 6.655, 8.53368421052632, 6.87236842105263, 8.55131578947368, 6.69236842105263, 8.28973684210526
2014.09589041096, 2014, 35, 4.92035398230088, 7.43761061946903, 5.76522123893805, 8.5946017699115, 5.95141592920354, 8.25575221238938, NA, 7.80194690265487, 4.84902654867257, 7.5341592920354, 5.69663716814159, 8.32796460176991, 5.86433628318584, 8.50017699115044, 6.17247787610619, 8.54796460176991, 4.44371681415929, NA, 5.15769911504425, 8.00008849557522, 5.39840707964602, 7.95026548672566, 5.46646017699115, 7.83
2014.09863013699, 2014, 36, 5.18777777777778, 6.75090277777778, 6.06152777777778, 8.02909722222222, 5.99979166666667, 7.66583333333333, 5.66472222222222, 7.25152777777778, 5.39479166666667, 6.93395833333333, 5.99645833333333, 7.82534722222222, 6.19784722222222, 8.00423611111111, 6.29743055555556, 8.063125, 5.02513888888889, NA, 5.72645833333333, 7.52576388888889, 5.78118055555556, 7.39090277777778, 5.74076388888889, 7.29
2014.10136986301, 2014, 37, 7.01784722222222, 7.06263888888889, 7.71576388888889, 8.15125, 7.45034722222222, 7.77090277777778, 7.49986111111111, 7.57708333333333, 7.44027777777778, 7.43694444444444, 7.66631944444444, 8.03597222222222, 7.97145833333333, 8.29298611111111, 7.808125, 8.21215277777778, 7.21680555555556, NA, 7.69458333333333, 7.93506944444444, 7.60388888888889, 7.70229166666667, 7.47756944444444, 7.53625
2014.10410958904, 2014, 38, 8.21215277777778, 7.96729166666667, 8.70236111111111, 8.87041666666667, 8.42618055555556, 8.4975, 8.41652777777778, 8.39784722222222, 8.481875, 8.36090277777778, 8.62159722222222, 8.77020833333333, 8.86416666666667, 9.05444444444444, 8.74291666666667, 8.87673611111111, 8.28798611111111, NA, 8.615, 8.78541666666667, 8.51534722222222, 8.48208333333333, 8.479375, 8.30548611111111
2014.10684931507, 2014, 39, 10.1970833333333, 9.02604166666667, 10.5971527777778, 9.66125, 10.1603472222222, 9.315625, 10.3333333333333, 9.32611111111111, 10.5204166666667, 9.36715277777778, 10.3895833333333, 9.53159722222222, 10.7051388888889, 9.82, 10.3902777777778, 9.549375, 10.43625, NA, 10.581875, 9.68340277777778, 10.4452083333333, 9.39854166666667, 10.3718055555556, 9.18465277777778
2014.1095890411, 2014, 40, 11.7190972222222, 10.5009722222222, 11.9534722222222, 10.8625, 11.5772222222222, 10.6281944444444, 11.8352083333333, 10.7126388888889, 11.9806944444444, 10.73, 11.7705555555556, 10.7245833333333, 12.049375, 10.9761805555556, 11.6980555555556, 10.6468055555556, 11.9753472222222, NA, 12.04625, 10.9916666666667, 11.8974305555556, 10.7557638888889, 11.7720138888889, 10.5302083333333
2014.11232876712, 2014, 41, 12.2243055555556, 11.4329166666667, 12.6459027777778, 11.6815972222222, 12.4345138888889, 11.5740972222222, NA, 11.7065972222222, 12.5310416666667, 11.5840277777778, 12.3895833333333, 11.534375, 13.0039583333333, 11.8230555555556, 12.4695138888889, 11.4755555555556, 12.50875, NA, 12.8814583333333, 11.8427777777778, 12.7676388888889, 11.7061805555556, 12.4896527777778, 11.4827777777778
2014.11506849315, 2014, 42, 11.341875, 11.5809027777778, 11.7865277777778, 11.9594444444444, 11.7949305555556, 11.9934027777778, 11.9178472222222, 12.0525, 11.4754861111111, 11.635, 11.6113888888889, 11.8253472222222, 12.0776388888889, 12.1320138888889, 11.8421527777778, 11.8752777777778, 11.4255555555556, NA, 11.8363194444444, 11.995625, 11.9104166666667, 12.0465972222222, 11.7279166666667, 11.8872916666667
2014.11780821918, 2014, 43, 11.8201424501425, 11.3853561253561, 12.4735897435897, 11.8469230769231, 12.1094301994302, 11.8471794871795, 12.1967521367521, 11.6983475783476, 12.2739601139601, 11.2179487179487, 12.0316239316239, 11.571339031339, 12.5587179487179, 11.7539031339031, 12.0653561253561, 11.6477492877493, NA, NA, 12.5536752136752, 11.5522792022792, 12.5025641025641, 11.7297720797721, 12.1981481481481, 11.6270655270655
2014.12054794521, 2014, 44, 12.7999305555556, 11.8944444444444, 13.1742361111111, 12.3175694444444, 12.9572916666667, 12.2709722222222, 13.1480555555556, 12.3029861111111, 13.0776388888889, 12.0054166666667, 12.9645138888889, 12.1366666666667, 13.3351388888889, 12.3822222222222, 12.9511111111111, 12.1192361111111, 12.9850694444444, 11.9764583333333, 13.2969444444444, 12.3460416666667, 13.2084027777778, 12.3150694444444, 13.0642361111111, 12.1411111111111
