"Solid phase total organic and inorganic carbon concentrations by using a Shimadzu TOC-VCSH carbon analyzer, , supporting Fig 2a-b",,,,,,,,,,,,,,,,,
,,"TOC, g/kg",,,,,,,,"TIC, g/kg soil",,,,,,,
,,TT01,TT02,TT03,TT04,TT05,,,,TT01,TT02,TT03,TT04,TT05,,,
,Depth (m),,,,,,ave,std,,,,,,,ave,std,
,TT03-Solid-7,-1.98,0.4045,0.6650,0.5348,5.3,,,,,,,,,,,
,TT03-Solid-8,-2.29,0.6070,,0.6070,6.1,,,,,,,,,,,
,TT03-Solid-9,-2.59,0.4130,,0.4130,4.1,,,,,,,,,,,
,TT03-Solid-10,-2.90,0.8064,0.7626,0.7845,7.8,,,,,,,,,,,
,TT03-Solid-11,-3.20,0.4632,0.4848,0.4740,4.7,,,,,,,,,,,
,TT03-Solid-12,-3.35,0.4679,,0.4679,4.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TT04,TT04-Solid-1,-0.15,0.8067,0.7578,0.7823,7.8,,,,,,,,,,,
,TT04-Solid-2,-0.46,0.9259,0.9598,0.9429,9.4,,,,,,,,,,,
,TT04-Solid-3,-0.76,1.3880,1.3670,1.3775,13.8,,,,,,,,,,,
,TT04-Solid-4,-1.07,1.5600,,1.5600,15.6,,,,,,,,,,,
,TT04-Solid-5,-1.37,0.8278,,0.8278,8.3,,,,,,,,,,,
,TT04-Solid-6,-1.68,0.8050,,0.8050,8.1,,,,,,,,,,,
,TT04-Solid-7,-1.98,1.3440,,1.3440,13.4,,,,,,,,,,,
,TT04-Solid-8,-2.29,0.8653,0.8578,0.8616,8.6,,,,,,,,,,,
,TT04-Solid-9,-2.59,0.6032,,0.6032,6.0,,,,,,,,,,,
,TT04-Solid-10,-2.90,0.8161,,0.8161,8.2,,,,,,,,,,,
,TT04-Solid-11,-3.20,0.4954,,0.4954,5.0,,,,,,,,,,,
,TT04-Solid-12,-3.51,0.4972,0.5266,0.5119,5.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TT05,TT05-Solid-1,-0.30,0.7704,0.7524,0.7614,7.6,,,,,,,,,,,
,TT05-Solid-2,-0.91,0.8411,0.8785,0.8598,8.6,,,,,,,,,,,
,TT05-Solid-3,-1.52,0.3136,0.3396,0.3266,3.3,,,,,,,,,,,
,TT05-Solid-4,-2.13,0.4734,0.4466,0.4600,4.6,,,,,,,,,,,
,TT05-Solid-5,-2.74,0.4843,0.4215,0.4529,4.5,,,,,,,,,,,
,TT05-Solid-6,-3.35,0.3354,0.3486,0.3420,3.4,,,,,,,,,,,
,TT05-Solid-7,-3.96,0.4084,0.4690,0.4387,4.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
