,"SNOTEL website for the Butte station --  the Station ID 06L11S, SNTL Network, Elevation 10,160 ft, Lat = 38.89, Long = -106.95. ",,,,
Date,Snow Water Equivalent (mm) Start of Day Values,Median Snow Water Equivalent (1981-2010) (mm) Start of Day Values,Precipitation Accumulation (mm) Start of Day Values,Average Precipitation Accumulation (1981-2010) (mm) Start of Day Values,
2/9/2018,135,229,150,275,
2/10/2018,135,232,150,278,
2/11/2018,142,236,155,280,
2/12/2018,145,240,160,283,
2/13/2018,155,243,163,286,
2/14/2018,157,246,168,290,
2/15/2018,160,248,170,294,
2/16/2018,170,251,180,296,
2/17/2018,170,253,180,298,
2/18/2018,170,256,180,302,
2/19/2018,173,259,180,305,
2/20/2018,173,262,183,309,
2/21/2018,173,265,185,313,
2/22/2018,173,267,185,316,
2/23/2018,175,270,188,317,
2/24/2018,175,272,188,320,
2/25/2018,180,274,193,322,
2/26/2018,180,275,193,325,
2/27/2018,183,276,193,326,
2/28/2018,183,276,193,328,
3/1/2018,183,279,196,330,
3/2/2018,183,280,196,332,
3/3/2018,185,280,196,335,
3/4/2018,185,282,196,337,
3/5/2018,185,284,198,339,
3/6/2018,185,286,198,342,
3/7/2018,188,288,198,344,
3/8/2018,188,290,198,345,
3/9/2018,188,292,198,348,
3/10/2018,188,295,198,350,
3/11/2018,188,297,198,353,
3/12/2018,188,298,198,357,
3/13/2018,188,300,198,359,
3/14/2018,188,301,198,360,
3/15/2018,190,303,198,362,
3/16/2018,196,304,203,363,
3/17/2018,198,306,203,364,
3/18/2018,201,308,203,366,
3/19/2018,203,310,206,367,
3/20/2018,203,313,208,370,
3/21/2018,206,317,208,372,
3/22/2018,206,320,211,374,
3/23/2018,208,323,211,375,
3/24/2018,226,326,226,377,
3/25/2018,226,327,226,379,
3/26/2018,226,328,226,381,
3/27/2018,226,329,229,384,
3/28/2018,226,329,229,387,
3/29/2018,226,330,229,390,
3/30/2018,226,333,229,392,
3/31/2018,226,335,229,396,
4/1/2018,224,339,229,399,
4/2/2018,221,343,229,402,
4/3/2018,224,347,231,405,
4/4/2018,226,349,231,408,
4/5/2018,226,351,231,409,
4/6/2018,226,352,231,411,
4/7/2018,234,352,236,413,
4/8/2018,254,350,259,415,
4/9/2018,257,348,267,417,
4/10/2018,257,347,269,419,
4/11/2018,251,346,269,421,
4/12/2018,241,346,269,424,
4/13/2018,239,346,272,425,
4/14/2018,239,347,272,426,
4/15/2018,234,346,272,427,
4/16/2018,226,344,272,428,
4/17/2018,221,340,272,430,
4/18/2018,218,335,272,432,
4/19/2018,208,329,272,435,
4/20/2018,198,322,272,436,
4/21/2018,211,315,282,437,
4/22/2018,213,309,284,440,
4/23/2018,206,303,284,442,
4/24/2018,190,298,284,444,
4/25/2018,183,292,284,447,
4/26/2018,165,287,284,449,
4/27/2018,145,283,287,451,
4/28/2018,119,277,287,453,
4/29/2018,107,271,287,454,
4/30/2018,94,266,287,457,
5/1/2018,79,260,287,460,
5/2/2018,71,255,287,463,
5/3/2018,69,250,290,465,
5/4/2018,71,243,290,468,
5/5/2018,48,237,290,470,
5/6/2018,18,230,290,471,
5/7/2018,0,222,290,473,
5/8/2018,0,212,290,475,
5/9/2018,0,198,290,478,
5/10/2018,0,182,292,479,
5/11/2018,0,165,300,480,
5/12/2018,0,148,300,481,
5/13/2018,0,132,300,483,
5/14/2018,0,115,300,485,
5/15/2018,0,98,302,486,
5/16/2018,0,80,302,488,
5/17/2018,0,64,302,490,
5/18/2018,0,49,302,491,
5/19/2018,0,32,302,492,
5/20/2018,0,11,302,492,
5/21/2018,0,3,302,493,
5/22/2018,0,0,302,494,
5/23/2018,0,0,302,495,
5/24/2018,0,0,305,496,
5/25/2018,0,0,310,496,
5/26/2018,0,0,310,497,
5/27/2018,0,0,310,498,
5/28/2018,0,0,310,499,
5/29/2018,0,0,310,500,
5/30/2018,0,0,310,502,
5/31/2018,0,0,310,503,
6/1/2018,0,0,312,504,
6/2/2018,0,0,312,505,
6/3/2018,0,0,312,506,
6/4/2018,0,0,312,506,
6/5/2018,0,0,312,506,
6/6/2018,0,0,312,507,
6/7/2018,0,0,312,508,
6/8/2018,0,0,312,509,
6/9/2018,0,0,312,511,
6/10/2018,0,0,312,512,
6/11/2018,0,0,312,513,
6/12/2018,0,0,312,514,
6/13/2018,0,0,312,515,
6/14/2018,0,0,312,516,
6/15/2018,0,0,312,517,
6/16/2018,0,0,312,517,
6/17/2018,0,0,312,518,
6/18/2018,0,0,312,518,
6/19/2018,0,0,312,519,
6/20/2018,0,0,312,519,
6/21/2018,0,0,312,520,
6/22/2018,0,0,312,520,
6/23/2018,0,0,312,521,
6/24/2018,0,0,312,521,
6/25/2018,0,0,312,522,
6/26/2018,0,0,312,522,
6/27/2018,0,0,312,523,
6/28/2018,0,0,312,524,
6/29/2018,0,0,312,526,
6/30/2018,0,0,312,527,
7/1/2018,0,0,312,528,
7/2/2018,0,0,312,529,
