date,,PH_discharge_ISPOC,,
2/22/15 12:00,2/22,0.152730579,,
2/23/15 12:00,2/23,0.134389775,,
2/24/15 12:00,2/24,0.134389775,,
2/25/15 12:00,2/25,0.122162572,,
2/26/15 12:00,2/26,0.128276173,,
2/27/15 12:00,2/27,0.140503376,,
2/28/15 12:00,2/28,0.079367362,,
3/1/15 12:00,3/1,0.134389775,,
3/2/15 12:00,3/2,0.171071383,,
3/3/15 12:00,3/3,0.109935369,,
3/4/15 12:00,3/4,0.097708166,,
3/5/15 12:00,3/5,0.042685753,,
3/6/15 12:00,3/6,0.109935369,,
3/7/15 12:00,3/7,0.11604897,,
3/8/15 12:00,3/8,0.109935369,,
3/9/15 12:00,3/9,0.109935369,,
3/10/15 12:00,3/10,0.109935369,,
3/11/15 12:00,3/11,0.122162572,,
3/12/15 12:00,3/12,0.164957782,,
3/13/15 12:00,3/13,0.183298586,,
3/14/15 12:00,3/14,0.146616978,,
3/15/15 12:00,3/15,0.189412187,,
3/16/15 12:00,3/16,0.268889006,,
3/17/15 12:00,3/17,0.378933831,,
3/18/15 12:00,3/18,0.54400107,,
3/19/15 12:00,3/19,0.660159497,,
3/20/15 12:00,3/20,0.727409112,,
3/21/15 12:00,3/21,0.825226735,,
3/22/15 12:00,3/22,0.886362749,,
3/23/15 12:00,3/23,0.947498763,,
3/24/15 12:00,3/24,0.971953169,,
3/25/15 12:00,3/25,0.892476351,,
3/26/15 12:00,3/26,0.733522714,,
3/27/15 12:00,3/27,0.806885931,,
3/28/15 12:00,3/28,0.990293973,,
3/29/15 12:00,3/29,1.308201247,,
3/30/15 12:00,3/30,1.540518101,,
3/31/15 12:00,3/31,1.742266948,,
4/1/15 12:00,4/1,1.505912205,,
4/2/15 12:00,4/2,1.334771699,,
4/3/15 12:00,4/3,1.342816526,,
4/4/15 12:00,4/4,1.218728005,,
4/5/15 12:00,4/5,1.129422142,,
4/6/15 12:00,4/6,1.217587163,,
4/7/15 12:00,4/7,1.359147501,,
4/8/15 12:00,4/8,1.46674972,,
4/9/15 12:00,4/9,1.516236096,,
4/10/15 12:00,4/10,1.510574216,,
4/11/15 12:00,4/11,1.576496484,,
4/12/15 12:00,4/12,1.646049215,,
4/13/15 12:00,4/13,1.798353216,,
4/14/15 12:00,4/14,2.087938601,,
4/15/15 12:00,4/15,2.308051021,,
4/16/15 12:00,4/16,2.103751124,,
4/17/15 12:00,4/17,2.071573843,,
4/18/15 12:00,4/18,1.916824161,,
4/19/15 12:00,4/19,1.524115915,,
4/20/15 12:00,4/20,1.466310168,,
4/21/15 12:00,4/21,1.440085737,,
4/22/15 12:00,4/22,1.393779304,,
4/23/15 12:00,4/23,1.442857656,,
4/24/15 12:00,4/24,1.424399703,,
4/25/15 12:00,4/25,1.406175772,,
4/26/15 12:00,4/26,1.299181634,,
4/27/15 12:00,4/27,1.289536993,,
4/28/15 12:00,4/28,1.514060674,,
4/29/15 12:00,4/29,1.849039423,,
4/30/15 12:00,4/30,2.291881688,,
5/1/15 12:00,5/1,2.851090208,,
5/2/15 12:00,5/2,3.275118693,,
5/3/15 12:00,5/3,3.719323993,,
5/4/15 12:00,5/4,3.706298426,,
5/5/15 12:00,5/5,3.633538052,,
5/6/15 12:00,5/6,3.955080209,,
5/7/15 12:00,5/7,3.723583397,,
5/8/15 12:00,5/8,3.446749912,,
5/9/15 12:00,5/9,3.384336218,,
5/10/15 12:00,5/10,3.014318575,,
5/11/15 12:00,5/11,2.799245272,,
5/12/15 12:00,5/12,2.618345851,,
5/13/15 12:00,5/13,2.847212259,,
5/14/15 12:00,5/14,2.992832021,,
5/15/15 12:00,5/15,3.060613071,,
5/16/15 12:00,5/16,2.740785601,,
5/17/15 12:00,5/17,2.715355791,,
5/18/15 12:00,5/18,2.578684816,,
5/19/15 12:00,5/19,3.000110421,,
5/20/15 12:00,5/20,2.700533156,,
5/21/15 12:00,5/21,2.594166224,,
5/22/15 12:00,5/22,2.852774529,,
5/23/15 12:00,5/23,3.029675829,,
5/24/15 12:00,5/24,2.802832081,,
5/25/15 12:00,5/25,2.851686203,,
5/26/15 12:00,5/26,2.863244483,,
5/27/15 12:00,5/27,3.003507347,,
5/28/15 12:00,5/28,3.614470503,,
5/29/15 12:00,5/29,3.888722613,,
5/30/15 12:00,5/30,3.889092205,,
5/31/15 12:00,5/31,4.775043608,,
6/1/15 12:00,6/1,6.225542094,,
6/2/15 12:00,6/2,7.4346256,,
6/3/15 12:00,6/3,8.28118191,,
6/4/15 12:00,6/4,8.543428633,,
6/5/15 12:00,6/5,8.759904008,,
6/6/15 12:00,6/6,8.159985552,,
6/7/15 12:00,6/7,8.098527196,,
6/8/15 12:00,6/8,9.405690908,,
6/9/15 12:00,6/9,9.791169553,,
6/10/15 12:00,6/10,10.42752017,,
6/11/15 12:00,6/11,14.42257429,,
6/12/15 12:00,6/12,14.17627627,,
6/13/15 12:00,6/13,12.34023568,,
6/14/15 12:00,6/14,11.19562748,,
6/15/15 12:00,6/15,10.31018244,,
6/16/15 12:00,6/16,11.42711811,,
6/17/15 12:00,6/17,13.52831454,,
6/18/15 12:00,6/18,12.13842949,,
6/19/15 12:00,6/19,11.0582213,,
6/20/15 12:00,6/20,10.44760337,,
6/21/15 12:00,6/21,9.675590114,,
6/22/15 12:00,6/22,9.113990752,,
6/23/15 12:00,6/23,8.306540271,,
6/24/15 12:00,6/24,7.959186397,,
6/25/15 12:00,6/25,7.063021836,,
6/26/15 12:00,6/26,6.390517091,,
6/27/15 12:00,6/27,6.250025192,,
6/28/15 12:00,6/28,5.541993721,,
6/29/15 12:00,6/29,5.487087928,,
6/30/15 12:00,6/30,5.097151093,,
7/1/15 12:00,7/1,4.793727501,,
7/2/15 12:00,7/2,4.109418987,,
7/3/15 12:00,7/3,3.99357346,,
7/4/15 12:00,7/4,3.864118968,,
7/5/15 12:00,7/5,3.45622268,,
7/6/15 12:00,7/6,3.448705069,,
7/7/15 12:00,7/7,3.079545845,,
7/8/15 12:00,7/8,3.1193338,,
7/9/15 12:00,7/9,3.360471033,,
7/10/15 12:00,7/10,3.025110728,,
7/11/15 12:00,7/11,2.769906154,,
7/12/15 12:00,7/12,2.650159702,,
7/13/15 12:00,7/13,2.529791303,,
7/14/15 12:00,7/14,2.532783339,,
7/15/15 12:00,7/15,2.667910747,,
7/16/15 12:00,7/16,2.196554116,,
7/17/15 12:00,7/17,2.331222937,,
7/18/15 12:00,7/18,2.716845146,,
7/19/15 12:00,7/19,2.787547465,,
7/20/15 12:00,7/20,2.71256231,,
7/21/15 12:00,7/21,2.892446579,,
7/22/15 12:00,7/22,2.493823183,,
7/23/15 12:00,7/23,2.302537674,,
7/24/15 12:00,7/24,2.450616019,,
7/25/15 12:00,7/25,2.537759504,,
7/26/15 12:00,7/26,2.159245884,,
7/27/15 12:00,7/27,1.965589937,,
7/28/15 12:00,7/28,1.917065931,,
7/29/15 12:00,7/29,1.805630408,,
7/30/15 12:00,7/30,1.745949382,,
7/31/15 12:00,7/31,1.711483048,,
8/1/15 12:00,8/1,1.69915928,,
8/2/15 12:00,8/2,1.721432864,,
8/3/15 12:00,8/3,2.075806085,,
8/4/15 12:00,8/4,1.865969267,,
8/5/15 12:00,8/5,1.635525732,,
8/6/15 12:00,8/6,1.516498202,,
8/7/15 12:00,8/7,1.483091982,,
8/8/15 12:00,8/8,1.584784599,,
8/9/15 12:00,8/9,1.417506358,,
8/10/15 12:00,8/10,1.333618506,,
8/11/15 12:00,8/11,1.408484028,,
8/12/15 12:00,8/12,1.58410119,,
8/13/15 12:00,8/13,1.392994338,,
8/14/15 12:00,8/14,1.296127837,,
8/15/15 12:00,8/15,1.224923413,,
