SampleSiteCode,FieldPointName,Northing,Easting,Elevation,Code,EPSG,,,
022-ER18,L22,4313880.259,327795.445,2891.221,CP-PLOTS,26913,,,
023-ER18,L23,4313892.163,327844.681,2901.586,CP-PLOTS,26913,,,
024-ER18,L24,4313885.415,327854.765,2902.521,CP-PLOTS,26913,,,
025-ER18,L25,4313850.341,327892.208,2909.372,CP-PLOTS,26913,,,
026-ER18,L26,4313827.209,327875.609,2910.431,CP-PLOTS,26913,,,
027-ER18,L27,4313861.228,327900.464,2907.809,CP-PLOTS,26913,,,
028-ER18,L28,4313854.528,327907.285,2909.699,CP-PLOTS,26913,,,
029-ER18,L29,4313846.559,327937.861,2911.603,CP-PLOTS,26913,,,
030-ER18,L30,4313847.341,327923.011,2912.648,CP-PLOTS,26913,,,
031-ER18,TR-31,4313890.174,327908.062,2908.918,CP-TREE,26913,,,
032-ER18,TR-32,4313959.713,327951.177,2910.699,CP-TREE,26913,,,
033-ER18,TR-033-ASPEN,4309902.765,330645.474,2799.866,CP-PLOT,26913,,,
034-ER18,TR-034-ASPEN,4309921.009,330627.826,2796.931,CP-PLOT,26913,,,
035-ER18,TR-035,4309781.59,330827.022,2782.825,CP-PLOT,26913,,,
036-ER18,TR-036,4309775.924,330824.011,2785.775,CP-PLOT,26913,,,
037-ER18,TR-037-ASPEN,4309758.793,330835.172,2788.212,CP-PLOT,26913,,,
037-ER18,TR-037,4309759.356,330834.587,2787.181,CP-PLOT,26913,,,
038-ER18,TR-038,4309752.406,330834.558,2790.415,CP-PLOT,26913,,,
038-ER18,TR-038,4309751.328,330833.212,2790.431,CP-PLOT,26913,,,
040-ER18,TR-040,4309777.767,330819.115,2785.289,CP-PLOT,26913,,,
042-ER18,TR-042,4309704.734,330823.07,2810.847,CP-PLOT,26913,,,
042-ER18,TR-042-ASPEN,4309696.747,330816.112,2812.065,CP-PLOT,26913,,,
043-ER18,TR-043,4310569.681,328328.315,3171.505,CP-PLOT,26913,,,
044-ER18,044-A,4309817.959,330871.251,2772.843,CP-PLOT,26913,,,
044-ER18,044-B,4309818.52,330870.258,2772.783,CP-PLOT,26913,,,
044-ER18,044-C,4309819.176,330870.647,2772.71,CP-PLOT,26913,,,
044-ER18,044-D,4309818.696,330871.527,2772.745,CP-PLOT,26913,,,
045-ER18,045-A,4309809.326,330882.041,2773.986,CP-PLOT,26913,,,
045-ER18,045-B,4309809.769,330881.216,2773.942,CP-PLOT,26913,,,
045-ER18,045-C,4309810.601,330881.611,2773.793,CP-PLOT,26913,,,
045-ER18,045-D,4309810.154,330882.508,2773.924,CP-PLOT,26913,,,
046-ER18,046-A,4309804.115,330867.815,2775.189,CP-PLOT,26913,,,
046-ER18,046-B,4309804.216,330866.72,2775.203,CP-PLOT,26913,,,
046-ER18,046-C,4309805.352,330866.829,2774.923,CP-PLOT,26913,,,
046-ER18,046-D,4309805.151,330867.731,2774.954,CP-PLOT,26913,,,
047-ER18,047-A,4309812.051,330882.2,2773.585,CP-PLOT,26913,,,
047-ER18,047-B,4309812.461,330881.306,2773.541,CP-PLOT,26913,,,
047-ER18,047-C,4309813.28,330881.616,2773.386,CP-PLOT,26913,,,
047-ER18,047-D,4309812.985,330882.533,2773.369,CP-PLOT,26913,,,
048-ER18,048-A,4309792.82,330872.306,2777.432,CP-PLOT,26913,,,
048-ER18,048-B,4309792.935,330871.312,2777.459,CP-PLOT,26913,,,
048-ER18,048-C,4309793.836,330871.467,2777.292,CP-PLOT,26913,,,
048-ER18,048-D,4309793.731,330872.354,2777.301,CP-PLOT,26913,,,
050-ER18,050-A,4309774.075,330876.097,2781.25,CP-PLOT,26913,,,
050-ER18,050-B,4309774.096,330875.249,2781.339,CP-PLOT,26913,,,
050-ER18,050-C,4309775.065,330875.158,2781.042,CP-PLOT,26913,,,
050-ER18,050-D,4309775.099,330875.997,2781.108,CP-PLOT,26913,,,
051-ER18,051-A,4309786.217,330849.859,2779.282,CP-PLOT,26913,,,
051-ER18,051-B,4309786.302,330848.92,2779.323,CP-PLOT,26913,,,
051-ER18,051-C,4309787.179,330848.95,2779.106,CP-PLOT,26913,,,
051-ER18,051-D,4309787.118,330849.909,2779.092,CP-PLOT,26913,,,
052-ER18,052-A,4309804.226,330877.329,2775.082,CP-PLOT,26913,,,
052-ER18,052-B,4309804.288,330876.298,2775.108,CP-PLOT,26913,,,
052-ER18,052-C,4309805.22,330876.403,2774.906,CP-PLOT,26913,,,
052-ER18,052-D,4309805.04,330877.309,2774.894,CP-PLOT,26913,,,
053-ER18,053-A,4309802.819,330835.091,2777.481,CP-PLOT,26913,,,
053-ER18,053-B,4309803.196,330834.235,2777.435,CP-PLOT,26913,,,
053-ER18,053-C,4309803.895,330834.307,2777.281,CP-PLOT,26913,,,
053-ER18,053-D,4309803.773,330835.288,2777.213,CP-PLOT,26913,,,
054-ER18,054-A,4309800.129,330849.256,2776.63,CP-PLOT,26913,,,
054-ER18,054-B,4309800.594,330848.069,2776.59,CP-PLOT,26913,,,
054-ER18,054-C,4309801.478,330848.265,2776.442,CP-PLOT,26913,,,
054-ER18,054-D,4309801.247,330849.32,2776.395,CP-PLOT,26913,,,
055-ER18,L055,4310039.98,330956.945,2759.258,CP-PLOT,26913,,,
056-ER18,L056,4310048.056,330986.782,2758.667,CP-PLOT,26913,,,
057-ER18,L057,4309981.573,330947.359,2759.475,CP-PLOT,26913,,,
058-ER18,L058,4309929.815,330938.513,2760.121,CP-PLOT,26913,,,
059-ER18,L059,4309931.499,330923.982,2761.018,CP-PLOT,26913,,,
060-ER18,L060,4309903.721,330908.057,2762.767,CP-PLOT,26913,,,
061-ER18,L061,4309880.03,330802.232,2769.964,CP-PLOT,26913,,,
062-ER18,L062,4309848.488,330825.854,2768.303,CP-PLOT,26913,,,
063-ER18,L063,4309840.656,330809.155,2770.798,CP-PLOT,26913,,,
064-ER18,L064,4309768.104,330851.704,2783.781,CP-PLOT,26913,,,
065-ER18,065-A,4310566.649,328437.635,3154.79,CP-PLOT,26913,,,
065-ER18,065-B,4310567.01,328436.667,3154.9,CP-PLOT,26913,,,
065-ER18,065-C,4310567.914,328436.967,3154.954,CP-PLOT,26913,,,
065-ER18,065-D,4310567.639,328437.833,3154.835,CP-PLOT,26913,,,
066-ER18,066-A,4310565.1,328423.922,3157.098,CP-PLOT,26913,,,
066-ER18,066-B,4310564.315,328423.555,3157.136,CP-PLOT,26913,,,
066-ER18,066-C,4310564.718,328422.783,3157.356,CP-PLOT,26913,,,
066-ER18,066-D,4310565.582,328423.121,3157.329,CP-PLOT,26913,,,
067-ER18,067-A,4310542.334,328431.436,3154.231,CP-PLOT,26913,,,
067-ER18,067-B,4310542.494,328430.425,3154.39,CP-PLOT,26913,,,
067-ER18,067-C,4310543.542,328430.748,3154.373,CP-PLOT,26913,,,
067-ER18,067-D,4310543.231,328431.593,3154.313,CP-PLOT,26913,,,
068-ER18,068-A,4310551.608,328421.086,3156.681,CP-PLOT,26913,,,
068-ER18,068-B,4310550.571,328421.085,3156.54,CP-PLOT,26913,,,
068-ER18,068-C,4310550.699,328420.096,3156.832,CP-PLOT,26913,,,
068-ER18,068-D,4310551.692,328420.159,3156.898,CP-PLOT,26913,,,
069-ER18,069-A,4310564.205,328416.874,3158.91,CP-PLOT,26913,,,
069-ER18,069-B,4310564.47,328415.965,3159.137,CP-PLOT,26913,,,
069-ER18,069-C,4310565.493,328416.118,3159.182,CP-PLOT,26913,,,
069-ER18,069-D,4310565.126,328417.164,3158.921,CP-PLOT,26913,,,
070-ER18,070-A,4310556.285,328408.634,3159.935,CP-PLOT,26913,,,
070-ER18,070-B,4310556.334,328407.776,3160.172,CP-PLOT,26913,,,
070-ER18,070-C,4310557.306,328407.802,3160.257,CP-PLOT,26913,,,
070-ER18,070-D,4310557.28,328408.722,3160.125,CP-PLOT,26913,,,
071-ER18,071-A,4310516.251,328927.226,3061.793,CP-PLOT,26913,,,
071-ER18,071-B,4310516.391,328926.292,3062.056,CP-PLOT,26913,,,
071-ER18,071-C,4310517.311,328926.41,3061.919,CP-PLOT,26913,,,
071-ER18,071-D,4310517.126,328927.464,3061.538,CP-PLOT,26913,,,
072-ER18,072-A,4310525.83,328927.994,3060.22,CP-PLOT,26913,,,
072-ER18,072-B,4310526.076,328926.982,3060.629,CP-PLOT,26913,,,
072-ER18,072-C,4310527.053,328927.145,3060.387,CP-PLOT,26913,,,
072-ER18,072-D,4310526.782,328927.952,3060.13,CP-PLOT,26913,,,
073-ER18,073-A,4310515.673,328914.489,3066.001,CP-PLOT,26913,,,
073-ER18,073-B,4310515.961,328913.776,3066.214,CP-PLOT,26913,,,
073-ER18,073-C,4310516.924,328914.006,3065.955,CP-PLOT,26913,,,
073-ER18,073-D,4310516.531,328914.799,3065.736,CP-PLOT,26913,,,
074-ER18,074-A,4310535.542,328955.849,3049.434,CP-PLOT,26913,,,
074-ER18,074-B,4310535.727,328954.922,3049.721,CP-PLOT,26913,,,
074-ER18,074-C,4310536.75,328955.138,3049.515,CP-PLOT,26913,,,
074-ER18,074-D,4310536.497,328955.924,3049.268,CP-PLOT,26913,,,
075-ER18,075-A,4310531.562,328969.456,3045.436,CP-PLOT,26913,,,
075-ER18,075-B,4310531.692,328968.541,3045.701,CP-PLOT,26913,,,
075-ER18,075-C,4310532.714,328968.49,3045.613,CP-PLOT,26913,,,
075-ER18,075-D,4310532.579,328969.556,3045.339,CP-PLOT,26913,,,
076-ER18,076-A,4310536.044,328967.458,3045.539,CP-PLOT,26913,,,
076-ER18,076-B,4310536.204,328966.517,3045.801,CP-PLOT,26913,,,
076-ER18,076-C,4310537.153,328966.651,3045.639,CP-PLOT,26913,,,
076-ER18,076-D,4310537.049,328967.583,3045.402,CP-PLOT,26913,,,
077-ER18,077-A,4310528.499,328982.996,3041.938,CP-PLOT,26913,,,
077-ER18,077-B,4310528.637,328982.014,3042.111,CP-PLOT,26913,,,
077-ER18,077-C,4310529.658,328982.113,3041.994,CP-PLOT,26913,,,
077-ER18,077-D,4310529.502,328983.002,3041.841,CP-PLOT,26913,,,
078-ER18,078-A,4310526.787,328992.658,3039.659,CP-PLOT,26913,,,
078-ER18,078-B,4310526.707,328991.666,3039.88,CP-PLOT,26913,,,
