Lab_ID_LBNL,IGSN,Latitude,Longitude,Location,Field_Site,Elevation,Block,Plot,Replicate,Topographic_Position,Depth_Increment,Date_Collected,Extractable Ammonium (µg N-NH4+),Extractable Nitrate (µg N-NO3-),Total Dissolved N (µg g soil-1),Dissolved Organic N (µg N g soil-1)
343,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,0-5 cm,8/1/2017,2.320,0.000,,
344,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,15-May,8/1/2017,2.511,0.131,,
345,,,,Washington_Gulch,Lower_Subalpine,3150,Veratrum,Veratrum,2,Downslope,15 cm +,8/1/2017,2.571,0.099,,
349,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,9/15/2017,3.700,2.025,,
350,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15-May,9/15/2017,7.928,1.137,,
351,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,9/15/2017,10.408,1.131,,
352,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,0-5 cm,9/15/2017,2.905,0.821,,
353,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15-May,9/15/2017,1.814,0.655,,
354,,38.92025461,-106.9487841,East_River,Pumphouse_Hillslope,2765,A,A1,2,Downslope,15 cm +,9/15/2017,2.302,0.517,,
355,IEWFS0019,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,0-5 cm,9/15/2017,2.603,2.122,,
356,IEWFS001A,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,15-May,9/15/2017,2.986,0.214,,
357,IEWFS001B,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,1,Upslope,15 cm +,9/15/2017,2.718,0.620,,
358,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,0-5 cm,9/15/2017,2.945,5.145,,
359,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15-May,9/15/2017,1.908,1.100,,
360,,38.92022187,-106.9487122,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15 cm +,9/15/2017,2.018,0.691,,
361,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,9/15/2017,2.077,0.862,,
362,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15-May,9/15/2017,2.506,0.482,,
363,,38.92026851,-106.9483737,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,9/15/2017,1.808,0.134,,
364,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,0-5 cm,9/15/2017,2.549,1.033,,
365,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15-May,9/15/2017,2.981,0.453,,
366,,38.92031195,-106.9484883,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15 cm +,9/15/2017,2.013,0.471,,
367,IEWFS001C,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,0-5 cm,9/15/2017,3.007,2.773,,
368,IEWFS001D,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15-May,9/15/2017,2.600,0.395,,
369,IEWFS001E,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15 cm +,9/15/2017,2.743,0.530,,
370,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,0-5 cm,9/15/2017,5.046,2.299,,
371,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15-May,9/15/2017,2.983,0.635,,
372,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15 cm +,9/15/2017,2.380,0.214,,
373,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,0-5 cm,9/15/2017,6.734,0.815,,
374,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15-May,9/15/2017,3.526,1.182,,
375,,38.92037722,-106.9486393,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15 cm +,9/15/2017,1.997,0.500,,
376,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,0-5 cm,9/15/2017,4.973,4.073,,
377,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15-May,9/15/2017,5.429,1.268,,
378,,38.92038771,-106.9486663,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15 cm +,9/15/2017,4.218,0.780,,
379,IEWFS001F,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,0-5 cm,9/15/2017,2.060,0.890,,
380,IEWFS001G,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15-May,9/15/2017,2.551,0.781,,
381,IEWFS001H,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15 cm +,9/15/2017,2.638,0.401,,
382,,38.92043812,-106.9488231,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,0-5 cm,9/15/2017,3.764,3.433,,
383,,38.92043812,-106.9488231,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15-May,9/15/2017,3.505,0.214,,
384,,38.92043812,-106.9488231,East_River,Pumphouse_Floodplain,2765,C,C2,2,Downslope,15 cm +,9/15/2017,2.237,0.522,,
385,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,9/15/2017,7.210,1.262,,
386,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15-May,9/15/2017,7.764,0.839,,
387,,38.92100711, -106.94807801,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15 cm +,9/15/2017,3.668,0.398,,
388,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,0-5 cm,9/15/2017,3.603,0.102,,
389,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15-May,9/15/2017,2.300,0.654,,
390,,38.92119667,-106.9479755,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15 cm +,9/15/2017,2.079,0.143,,
391,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,0-5 cm,9/15/2017,2.701,0.000,,
392,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15-May,9/15/2017,1.896,1.191,,
393,,38.92134673,-106.947799,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15 cm +,9/15/2017,2.007,0.000,,
397,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,0-5 cm,10/27/2017,3.753,0.290,,
398,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15-May,10/27/2017,2.577,0.938,,
399,,38.92022382,-106.9486684,East_River,Pumphouse_Hillslope,2765,A,A1,1,Upslope,15 cm +,10/27/2017,4.008,1.682,,
400,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,0-5 cm,10/27/2017,3.208,0.752,,
401,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,15-May,10/27/2017,4.049,1.058,,
402,,38.92025713,-106.9488282,East_River,Pumphouse_Hillslope,2765,A,A1,1,Downslope,15 cm +,10/27/2017,3.078,2.127,,
403,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,0-5 cm,10/27/2017,2.792,1.378,,
404,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,15-May,10/27/2017,1.861,1.175,,
405,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Upslope,15 cm +,10/27/2017,3.733,1.606,,
406,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,0-5 cm,10/27/2017,14.467,5.392,,
407,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15-May,10/27/2017,5.092,1.026,,
408,,38.92029456,-106.9487578,East_River,Pumphouse_Hillslope,2765,A,A2,2,Downslope,15 cm +,10/27/2017,3.528,1.044,,
409,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,0-5 cm,10/27/2017,2.961,0.000,,
410,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15-May,10/27/2017,3.019,1.617,,
411,,38.92030867,-106.9483985,East_River,Pumphouse_Hillslope,2765,B,B1,1,Upslope,15 cm +,10/27/2017,2.059,0.912,,
412,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,0-5 cm,10/27/2017,3.036,2.120,,
413,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15-May,10/27/2017,2.603,0.835,,
414,,38.92035345,-106.9483429,East_River,Pumphouse_Hillslope,2765,B,B1,2,Downslope,15 cm +,10/27/2017,3.718,1.567,,
415,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,0-5 cm,10/27/2017,3.376,2.142,,
416,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15-May,10/27/2017,1.998,0.488,,
417,,38.92034899,-106.948502,East_River,Pumphouse_Hillslope,2765,B,B2,1,Upslope,15 cm +,10/27/2017,2.124,0.462,,
418,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,0-5 cm,10/27/2017,1.613,0.261,,
419,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15-May,10/27/2017,2.562,1.272,,
420,,38.92040645,-106.9484762,East_River,Pumphouse_Hillslope,2765,B,B2,2,Downslope,15 cm +,10/27/2017,2.428,1.224,,
421,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,0-5 cm,10/27/2017,2.411,0.000,,
422,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15-May,10/27/2017,3.245,0.000,,
423,,38.92039992,-106.9486791,East_River,Pumphouse_Hillslope,2765,C,C1,1,Upslope,15 cm +,10/27/2017,2.453,0.372,,
424,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,0-5 cm,10/27/2017,2.682,0.338,,
425,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15-May,10/27/2017,2.826,0.528,,
426,,38.92045283,-106.9486804,East_River,Pumphouse_Hillslope,2765,C,C1,2,Downslope,15 cm +,10/27/2017,2.391,1.070,,
427,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,0-5 cm,10/27/2017,3.864,0.000,,
428,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15-May,10/27/2017,2.567,0.000,,
429,,38.92043957,-106.9488032,East_River,Pumphouse_Hillslope,2765,C,C2,1,Upslope,15 cm +,10/27/2017,2.597,1.400,,
430,,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,0-5 cm,10/27/2017,2.605,0.459,,
431,,38.92048757,-106.9487855,East_River,Pumphouse_Hillslope,2765,C,C2,2,Downslope,15-May,10/27/2017,2.483,0.561,,
432,,38.92048757,-106.9487855,East_River,Pumphouse_Floodplain,2765,C,C2,2,Downslope,15 cm +,10/27/2017,2.304,2.013,,
433,,38.92102414,-106.9480933,East_River,Pumphouse_Floodplain,2750,F,F1,1,,0-5 cm,10/27/2017,6.132,0.000,,
434,,38.92102414,-106.9480933,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15-May,10/27/2017,5.608,0.000,,
435,,38.92102414,-106.9480933,East_River,Pumphouse_Floodplain,2750,F,F1,1,,15 cm +,10/27/2017,4.527,0.810,,
436,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,0-5 cm,10/27/2017,5.235,0.000,,
437,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15-May,10/27/2017,5.220,0.303,,
438,,38.92120107,-106.9479522,East_River,Pumphouse_Floodplain,2750,F,F2,2,,15 cm +,10/27/2017,3.957,0.903,,
439,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,0-5 cm,10/27/2017,3.862,0.000,,
440,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15-May,10/27/2017,4.029,0.000,,
441,,38.92135999,-106.9478277,East_River,Pumphouse_Floodplain,2750,F,F3,3,,15 cm +,10/27/2017,7.071,3.403,,
442,,38.92068916,-106.9484571,East_River,Pumphouse_Toeslope,2750,TS,TS,1,,0-5 cm,10/27/2017,2.630,1.152,,
443,,38.92068916,-106.9484571,East_River,Pumphouse_Toeslope,2750,TS,TS,1,,15-May,10/27/2017,,,,
444,,38.92068916,-106.9484571,East_River,Pumphouse_Toeslope,2750,TS,TS,1,,15 cm +,10/27/2017,3.573,5.241,,
