date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month,mm/month
12/1/67,26.43447509,25.05589115,25.05781013,25.11778446,27.80583653,28.09225196,24.9148272,28.41520074,23.20052122,19.73265598,21.74144241,26.85794494,18.88760766,28.21987586,26.13763371,21.42032972,28.48960364
1/1/68,15.29683651,27.36625432,27.36810448,27.40961366,23.92454681,24.0697324,25.02999756,24.31711604,26.96238447,27.91129381,28.86883671,18.00643773,24.86186847,24.22812719,15.67246271,28.26926746,25.73903092
2/1/68,28.87805857,34.39166705,34.39175486,34.51861878,33.3782971,33.93328372,33.58323786,34.75162857,33.15611488,31.75500765,33.99687768,31.62852537,29.55628938,34.36778309,27.76531149,33.01738731,35.43970444
3/1/68,15.05463653,31.11254509,31.11213534,31.14573333,19.74168259,19.78819497,22.28055089,20.77008873,34.63234016,42.41390847,39.54314472,20.49627859,39.56409004,20.7356043,15.34534669,38.87620896,22.72163666
4/1/68,37.58665123,62.96525685,62.96205152,63.11427626,41.80500313,42.06117325,49.61779676,43.60240831,64.83699561,70.256395,71.38105721,37.10966861,60.27316565,43.40441809,35.22637078,69.80221609,50.47901971
5/1/68,27.77553477,58.17069647,58.1694553,58.21800962,31.181198,31.20992843,37.0277728,32.61293596,60.82430372,58.50311252,54.74525404,28.67072658,57.20414074,32.58720394,24.29521511,56.938233,39.19279407
6/1/68,3.38980277,14.42202734,14.42202529,14.42209641,2.639902041,2.639903929,4.00964617,3.479771414,16.11420729,14.07163666,13.16598042,4.389513354,13.39358829,3.479768072,2.919863501,12.52743932,5.688992194
7/1/68,64.42861806,68.03907849,68.03798237,68.07850306,77.07229473,77.35026315,84.65490272,69.2957275,67.86966785,65.54604179,65.22140201,57.01079897,64.49163998,69.14170859,52.97355705,69.0143847,69.83633302
8/1/68,62.83225626,72.27864096,72.27731333,72.34013269,54.56866272,54.69602005,57.91202122,58.59123896,71.07626627,74.70529678,74.46162481,66.7417277,71.51714734,58.46751698,72.61964833,73.88989434,60.92600769
9/1/68,18.31793947,30.48469272,30.48465092,30.49018695,22.62415031,22.63082203,21.60048283,23.10981786,33.32873147,35.4684703,32.8547076,26.54734178,40.35625292,23.10402563,23.69058952,32.58358736,23.6879144
10/1/68,18.34536692,44.55669667,44.55710202,44.57108488,27.11459824,27.12300949,29.42370195,27.85303128,47.52991054,58.35764647,54.90229175,23.34570782,44.1377641,27.84530748,19.70620746,54.71965268,32.00557005
11/1/68,24.31379056,35.29266739,35.29376158,35.3853779,31.61596854,31.96596451,32.75154341,32.7440023,34.36980583,34.9090034,36.19614366,29.5872586,31.77631816,32.4962131,28.09027974,34.99366801,34.11963944
12/1/68,25.25232985,29.86749255,29.86959991,29.89437684,28.13811491,28.20608964,28.05206659,29.54635241,27.95312809,24.69703371,27.07717868,25.06137859,23.067527,29.51215411,22.70519311,26.4417938,31.17524045
1/1/69,32.98255133,30.53967963,30.54207418,30.60609503,30.55101667,30.86221434,30.3278931,33.1099812,29.02960114,27.61552612,29.92205299,32.36066588,26.16557592,32.90640334,30.37800805,28.15527991,32.85870257
2/1/69,23.20141617,29.76698733,29.76667056,29.87521422,26.42369851,26.81487042,28.19450297,26.2976423,29.34111311,29.39575113,30.96082122,21.77191769,27.0612189,26.05698817,20.65784336,30.00250161,28.85956163
3/1/69,16.95216289,31.34286747,31.34161283,31.43078452,20.23592896,20.37580113,23.29170696,21.57255214,33.09909012,38.21413551,37.54689466,22.14965176,35.41903202,21.45860231,20.81996929,37.19697427,23.86528839
4/1/69,19.84540461,45.95889529,45.95764057,46.02055599,25.95884968,26.01682433,31.82199915,27.1383998,51.11322337,61.52657357,57.14047943,24.84767666,53.61826353,27.09018238,18.07557443,58.75799035,31.49750507
5/1/69,30.31122419,70.3286639,70.32632523,70.41810584,35.72959842,35.78330519,37.84309072,39.10870858,86.70766848,75.07356129,66.4074476,50.25169549,92.87284416,39.05274023,38.6885169,66.68198947,41.68358331
6/1/69,73.79707397,100.8772341,100.8713709,101.0785597,78.36525371,78.88046131,82.95506952,78.35117833,100.2472177,90.04563574,90.41489165,73.71094059,84.87595215,77.97512699,74.38577028,92.70513403,86.0133242
7/1/69,52.05629874,51.09961761,51.0991138,51.11769614,49.39687099,49.47956453,55.75325305,48.65771111,50.4911444,50.78456404,49.79498576,47.20730181,50.97825921,48.5991127,45.36868763,53.44439022,49.62642509
8/1/69,42.64944086,73.0372027,73.03563756,73.11038744,51.38412457,51.51548707,58.45695329,48.03600966,74.93312621,58.330274,55.77841245,43.39264869,60.72235398,47.95657519,40.9743567,61.37466464,55.83078631
9/1/69,40.30280252,67.28354569,67.28242956,67.37853567,54.49605267,54.74596994,54.93470336,50.69820892,69.26923097,61.48660147,59.95498292,37.96523789,54.96905331,50.54486171,35.13294794,63.64987106,57.13875524
10/1/69,50.57663054,51.79795855,51.79636952,52.03363226,51.82078669,53.08010228,51.94559493,51.99455567,51.62468776,50.3558113,52.20490324,49.78811556,48.73145157,51.11910254,50.10278608,51.23692596,52.66344913
11/1/69,16.83472955,29.84184463,29.84315299,29.9270388,24.4700992,24.72321554,26.46225961,24.95420263,30.1669932,31.81451775,32.18643967,20.83217247,29.34997131,24.76952781,16.30144191,31.76812936,26.8458091
12/1/69,21.79312267,22.49386858,22.49651812,22.57791809,22.48566191,22.86669936,22.24997132,23.37440036,21.69657713,21.52815648,22.6597769,21.15316327,19.36278718,23.10793009,20.26987975,21.98162571,23.63557277
1/1/70,18.35717269,23.82668445,23.82837868,23.90046112,23.58658722,23.88948054,23.23471065,25.18397862,22.95523643,22.19048083,23.97124135,22.23469773,20.25994733,24.98079642,18.36141596,22.66953447,25.60657925
2/1/70,12.27942099,32.38180296,32.38191917,32.50950991,24.00068161,24.28313518,26.40117688,25.90838237,32.11481997,32.2283184,33.93559051,20.86017075,29.71899471,25.69545609,13.24563816,32.76604829,28.70764627
3/1/70,36.38300041,47.90955369,47.90597101,48.15239046,45.51441705,46.59699997,47.54434875,46.37064049,47.17005416,45.98643866,48.34819193,38.13429386,42.80551502,45.63438108,33.5453845,47.49083598,48.01284364
4/1/70,37.91360002,69.83741047,69.83194305,70.09304049,54.95289375,55.6551429,61.86674066,55.807625,70.15730904,70.66064357,72.94620491,40.92995747,63.85101438,55.30599459,35.88674566,71.50417776,62.01520364
