date.m,Almont,Billy_Barr,Castnet,Judd_Falls,KCOCREST10,KCOCREST4,KCOCREST6,KCOMTCRE2,Kettle_Ponds,Mexican_Cut,MRMEX,MTAPC2,NRCS_1141,NRCS_380,NRCS_680,NRCS_737,Snodgrass
mm-YY,unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1),unitless (1)
Dec-67,0.47076289,0.136231362,0.136242155,0.136579501,0.266094926,0.269037415,0.201698347,0.265110617,0.112940042,0.075946965,0.097778931,0.388601385,0.105683943,0.263157819,0.449035069,0.088860561,0.228717086
Jan-68,1.838077891,0.463325739,0.463363233,0.464204833,0.780664568,0.788211002,0.669604106,0.843119092,0.397984931,0.251789395,0.322166368,1.456925446,0.424477831,0.83795484,1.73875504,0.289887842,0.717639647
Feb-68,0.902781915,0.225974512,0.225975123,0.226858016,0.490438955,0.500462907,0.41609031,0.491205576,0.193091644,0.127345816,0.162715469,0.720810544,0.212166161,0.484596281,1.004224133,0.148408633,0.401036835
Mar-68,4.519030327,1.807497853,1.807408534,1.814763118,3.169183208,3.24570502,2.800161676,3.151793297,1.468622599,0.997117609,1.267543072,3.089595879,0.986988618,3.101954866,4.235677025,1.237431735,2.850407744
Apr-68,2.250067527,0.822675473,0.822606456,0.825891656,1.801245905,1.843482063,1.375627857,1.735188113,0.713602465,0.438385862,0.550384302,1.965746506,0.663460827,1.707643517,2.156967072,0.505528214,1.39448325
May-68,4.966526014,1.89041274,1.890251742,1.896572092,4.179160189,4.257189691,3.377203767,3.97004808,1.72891552,1.736573047,2.030215211,4.316901003,1.673863252,3.917957266,5.298485799,1.854241165,3.231334996
Jun-68,53.51964215,11.57993334,11.57928342,11.60190749,67.01764546,67.67307974,43.45733764,50.36890133,10.25363264,11.32084489,12.51556839,38.77077055,11.67647883,50.00463815,59.70795705,12.89512192,30.67036252
Jul-68,2.495374582,2.187496706,2.187321952,2.193804247,1.985594219,2.016799735,1.729065564,2.2604939,2.163695647,2.185196706,2.283848338,2.73625745,2.142492955,2.234599816,3.021006683,2.098250949,2.226959469
Aug-68,2.232378259,1.684609672,1.684503892,1.689523693,2.601113189,2.642368754,2.383607377,2.360968156,1.69320733,1.517510564,1.602415459,1.89428509,1.56555832,2.333383015,1.735246756,1.578896911,2.223318174
Sep-68,6.609127474,3.530539787,3.530478533,3.538621201,5.165123251,5.222600759,5.323594654,5.012448481,3.15924446,2.789877906,3.19401774,4.197712556,2.346175203,4.971022735,4.858122929,3.137503872,4.841543011
