Depth,GR_RAW,TH232_RAW,K40_RAW,U238_RAW,MAGNETIC_SUSCEPTIBILITY,EM_IND_RESISTIVITY,FLUID_CONDUCTIVITY,TEMP,AMBIENT_HEAT_PULSE_GW_FLOW#1,AMBIENT_SFM_GW_FLOW_(TOTAL)
M,APR,PPM,%,PPM,‘10e-3,OHM-M,US/CM,C,GPM (NEG=DOWN),GPM (NEG=DOWN)
1.92460000000005,168.364,6.77055,3.30495,85.6628,312.989,1.985,1.44876,7.2636,,0.734456
1.93960000000005,146.297,15.188,4.3346,66.271,313.006,1.95114,1.52613,7.2636,,0.765952
1.95460000000005,141.641,17.0376,3.55785,76.0627,313.026,1.9174,1.58852,7.2636,,0.76831
1.96960000000005,149.371,14.2151,1.49608,106.615,313.006,2.02222,1.49569,7.2636,,0.769873
1.98460000000005,147.756,14.9963,0.768695,95.1597,312.978,2.12695,1.58578,7.2636,,0.771436
1.99960000000005,139.496,18.3401,0.990245,53.8315,312.951,2.14865,1.51154,7.2636,,0.773088
2.01460000000005,142.701,18.6748,1.93608,30.9119,312.923,2.17031,1.72728,7.2636,,0.774791
2.02960000000005,154.056,16.8703,3.39679,21.0796,312.938,2.14533,1.82594,7.2636,,0.776494
2.04460000000005,162.906,15.1332,3.40961,39.1662,312.962,2.12043,1.49492,7.2636,,0.780557
2.05960000000005,169.975,13.4441,2.39238,77.1144,312.946,2.19223,1.80937,7.2636,,0.789958
2.07460000000005,163.514,13.8679,1.59551,75.1703,312.922,2.26393,1.77364,7.2636,,0.799359
2.08960000000005,147.43,15.7943,0.955379,44.8556,312.919,2.24936,1.81846,7.25802,,0.80876
2.10460000000005,140.61,13.0033,1.57577,24.8096,312.92,2.23479,6.11412,7.25564,,0.818708
2.11960000000005,140.375,6.85853,3.09232,12.0643,312.92,2.23265,48.6002,7.24726,,0.828671
2.13460000000005,136.513,8.41355,3.1505,54.4164,312.92,2.23069,115.839,7.24927,,0.838633
2.14960000000005,130.072,15.4408,2.17222,135.927,312.901,2.43165,134.284,7.27676,,0.846736
2.16460000000006,123.631,21.1549,1.28788,126.468,312.878,2.63238,134.388,7.3098,,0.853792
2.17960000000006,117.189,25.9352,0.470321,52.3106,312.832,2.62006,134.22,7.35559,,0.860849
2.19460000000006,122.317,20.6921,1.08493,21.5456,312.781,2.60766,133.945,7.39897,,0.864411
