Depth,Water Content,geom. Mean T2,Permeability,Hydr. Conductivity
m,%,s,m2,m/s
60.82,0.240498,3.01198,2.99E-14,2.25E-07
61.32,0.868377,0.00157664,1.39E-18,1.05E-11
61.82,9.28047,0.00168794,2.08E-14,1.56E-07
62.32,6.13512,0.0027825,1.08E-14,8.12E-08
62.82,0.335946,0.020019,5.03E-18,3.78E-11
63.32,0.74063,0.0167318,8.30E-17,6.23E-10
63.82,0.0743131,3.08834,2.87E-16,2.15E-09
64.32,0,nan,nan,nan
64.82,0,nan,nan,nan
65.32,1.23833,0.00314608,2.29E-17,1.72E-10
65.82,7.20822,0.00219626,1.28E-14,9.64E-08
66.32,0.541103,3.03655,7.79E-13,5.85E-06
66.82,0.369768,3.04163,1.70E-13,1.28E-06
67.32,16.1648,0.00219339,3.24E-13,2.43E-06
67.82,18.531,0.00202382,4.76E-13,3.57E-06
68.32,6.41116,0.0184036,5.64E-13,4.23E-06
