data for Figure 3a.,,,,,,,,,,data for Figure 3b.,,,,,,,,,,,,
"Time, min",Time,103 <center 180 cm> (C),104 <center 140 cm> (C),106 <center 60 cm> (C),201 <Shallow 180 cm> (C),202 <Shallow 140 cm> (C),204 <Shallow 60 cm> (C),,,laboratory column results,,,,,,,field results,"interpolated from TT04 and TT05 probes (file = ""TT04,TT05 T(z,t) seasonal"")",,,,
49.17,5/13/2015 12:03:07:194,19.221,15.986,13.553,19.156,16.771,14.307,,,,,,,,,,,,,,,
49.33,5/13/2015 12:03:17:194,19.217,15.969,13.547,19.151,16.763,14.311,,,,,,,,,,,,,,,
49.50,5/13/2015 12:03:27:194,19.208,15.952,13.553,19.119,16.773,14.293,,,,,,,,,,,,,,,
49.67,5/13/2015 12:03:37:194,19.191,15.951,13.566,19.126,16.77,14.277,,,,,,,,,,,,,,,
49.83,5/13/2015 12:03:47:194,19.197,15.961,13.563,19.116,16.77,14.286,,,,,,,,,,,,,,,
50.00,5/13/2015 12:03:57:194,19.213,15.954,13.53,19.145,16.757,14.29,,,,,,,,,,,,,,,
50.17,5/13/2015 12:04:07:194,19.204,15.967,13.54,19.126,16.751,14.293,,,,,,,,,,,,,,,
50.33,5/13/2015 12:04:17:194,19.197,15.941,13.569,19.126,16.78,14.293,,,,,,,,,,,,,,,
50.50,5/13/2015 12:04:27:194,19.194,15.948,13.537,19.142,16.76,14.277,,,,,,,,,,,,,,,
50.67,5/13/2015 12:04:37:194,19.2,15.964,13.547,19.123,16.764,14.29,,,,,,,,,,,,,,,
50.83,5/13/2015 12:04:47:194,19.197,15.954,13.553,19.139,16.77,14.293,,,,,,,,,,,,,,,
51.00,5/13/2015 12:04:57:194,19.217,15.951,13.547,19.142,16.77,14.273,,,,,,,,,,,,,,,
51.17,5/13/2015 12:05:07:194,19.204,15.983,13.534,19.136,16.773,14.283,,,,,,,,,,,,,,,
51.33,5/13/2015 12:05:17:194,19.197,15.983,13.54,19.158,16.78,14.277,,,,,,,,,,,,,,,
51.50,5/13/2015 12:05:27:194,19.2,15.961,13.54,19.203,16.839,14.314,,,,,,,,,,,,,,,
51.67,5/13/2015 12:05:37:194,19.213,15.951,13.534,19.232,16.829,14.311,,,,,,,,,,,,,,,
51.83,5/13/2015 12:05:47:194,19.207,15.967,13.53,19.225,16.836,14.323,,,,,,,,,,,,,,,
52.00,5/13/2015 12:05:57:194,19.223,15.957,13.524,19.283,16.898,14.361,,,,,,,,,,,,,,,
52.17,5/13/2015 12:06:07:194,19.234,15.987,13.543,19.286,16.892,14.368,,,,,,,,,,,,,,,
52.33,5/13/2015 12:06:17:194,19.234,16.012,13.558,19.293,16.895,14.345,,,,,,,,,,,,,,,
52.50,5/13/2015 12:06:27:194,19.293,16.044,13.585,19.273,16.895,14.329,,,,,,,,,,,,,,,
52.67,5/13/2015 12:06:37:194,19.313,16.083,13.581,19.28,16.875,14.342,,,,,,,,,,,,,,,
52.83,5/13/2015 12:06:47:194,19.326,16.041,13.575,19.283,16.898,14.345,,,,,,,,,,,,,,,
53.00,5/13/2015 12:06:57:194,19.317,16.044,13.581,19.312,16.882,14.345,,,,,,,,,,,,,,,
53.17,5/13/2015 12:07:07:194,19.307,16.057,13.581,19.319,16.882,14.335,,,,,,,,,,,,,,,
53.33,5/13/2015 12:07:17:194,19.317,16.054,13.588,19.312,16.898,14.335,,,,,,,,,,,,,,,
53.50,5/13/2015 12:07:27:194,19.32,16.061,13.575,19.293,16.902,14.332,,,,,,,,,,,,,,,
53.67,5/13/2015 12:07:37:194,19.33,16.054,13.591,19.291,16.904,14.338,,,,,,,,,,,,,,,
53.83,5/13/2015 12:07:47:194,19.333,16.048,13.588,19.246,16.867,14.329,,,,,,,,,,,,,,,
54.00,5/13/2015 12:07:57:194,19.326,16.035,13.575,19.261,16.847,14.321,,,,,,,,,,,,,,,
54.17,5/13/2015 12:08:07:194,19.318,16.018,13.575,19.253,16.865,14.296,,,,,,,,,,,,,,,
54.33,5/13/2015 12:08:17:194,19.326,16.045,13.568,19.245,16.85,14.288,,,,,,,,,,,,,,,
54.50,5/13/2015 12:08:27:194,19.311,16.035,13.578,19.248,16.87,14.305,,,,,,,,,,,,,,,
54.67,5/13/2015 12:08:37:194,19.294,16.051,13.568,19.248,16.85,14.305,,,,,,,,,,,,,,,
54.83,5/13/2015 12:08:47:194,19.284,16.008,13.572,19.268,16.834,14.292,,,,,,,,,,,,,,,
55.00,5/13/2015 12:08:57:194,19.3,16.028,13.552,19.268,16.85,14.298,,,,,,,,,,,,,,,
55.17,5/13/2015 12:09:07:194,19.3,16.06,13.581,19.255,16.841,14.279,,,,,,,,,,,,,,,
55.33,5/13/2015 12:09:17:194,19.29,16.047,13.565,19.229,16.857,14.269,,,,,,,,,,,,,,,
55.50,5/13/2015 12:09:27:194,19.303,16.047,13.568,19.271,16.86,14.282,,,,,,,,,,,,,,,
55.67,5/13/2015 12:09:37:194,19.3,16.051,13.565,19.261,16.86,14.295,,,,,,,,,,,,,,,
55.83,5/13/2015 12:09:47:194,19.303,16.028,13.572,19.293,16.888,14.309,,,,,,,,,,,,,,,
56.00,5/13/2015 12:09:57:194,19.29,16.034,13.552,19.319,16.92,14.311,,,,,,,,,,,,,,,
56.17,5/13/2015 12:10:07:194,19.281,16.034,13.565,19.389,16.95,14.338,,,,,,,,,,,,,,,
56.33,5/13/2015 12:10:17:194,19.32,16.044,13.568,19.376,16.953,14.358,,,,,,,,,,,,,,,
56.50,5/13/2015 12:10:27:194,19.31,16.047,13.559,19.418,16.972,14.36,,,,,,,,,,,,,,,
56.67,5/13/2015 12:10:37:194,19.3,16.037,13.539,19.409,16.965,14.35,,,,,,,,,,,,,,,
56.83,5/13/2015 12:10:47:194,19.371,16.093,13.599,19.392,16.985,14.341,,,,,,,,,,,,,,,
57.00,5/13/2015 12:10:57:194,19.379,16.105,13.597,19.412,16.975,14.344,,,,,,,,,,,,,,,
57.17,5/13/2015 12:11:07:194,19.356,16.101,13.616,19.405,16.975,14.35,,,,,,,,,,,,,,,
57.33,5/13/2015 12:11:17:194,19.429,16.131,13.623,19.396,16.962,14.363,,,,,,,,,,,,,,,
57.50,5/13/2015 12:11:27:194,19.41,16.131,13.603,19.412,17.001,14.347,,,,,,,,,,,,,,,
57.67,5/13/2015 12:11:37:194,19.429,16.144,13.629,19.409,16.969,14.344,,,,,,,,,,,,,,,
57.83,5/13/2015 12:11:47:194,19.403,16.128,13.619,19.409,16.972,14.36,,,,,,,,,,,,,,,
58.00,5/13/2015 12:11:57:194,19.403,16.121,13.597,19.392,16.978,14.334,,,,,,,,,,,,,,,
58.17,5/13/2015 12:12:07:194,19.416,16.125,13.603,19.428,16.978,14.324,,,,,,,,,,,,,,,
58.33,5/13/2015 12:12:17:194,19.406,16.118,13.597,19.418,16.991,14.357,,,,,,,,,,,,,,,
58.50,5/13/2015 12:12:27:194,19.433,16.138,13.61,19.412,16.978,14.35,,,,,,,,,,,,,,,
58.67,5/13/2015 12:12:37:194,19.41,16.115,13.613,19.422,16.986,14.32,,,,,,,,,,,,,,,
58.83,5/13/2015 12:12:47:194,19.436,16.151,13.6,19.393,16.945,14.329,,,,,,,,,,,,,,,
59.00,5/13/2015 12:12:57:194,19.423,16.121,13.613,19.369,16.925,14.317,,,,,,,,,,,,,,,
59.17,5/13/2015 12:13:07:194,19.393,16.118,13.606,19.371,16.94,14.313,,,,,,,,,,,,,,,
59.33,5/13/2015 12:13:17:194,19.394,16.113,13.593,19.358,16.931,14.304,,,,,,,,,,,,,,,
59.50,5/13/2015 12:13:27:194,19.397,16.123,13.623,19.361,16.924,14.31,,,,,,,,,,,,,,,
59.67,5/13/2015 12:13:37:194,19.398,16.112,13.6,19.364,16.924,14.291,,,,,,,,,,,,,,,
59.83,5/13/2015 12:13:47:194,19.384,16.111,13.597,19.367,16.94,14.287,,,,,,,,,,,,,,,
60.00,5/13/2015 12:13:57:194,19.387,16.085,13.58,19.393,16.917,14.291,,,,,,,,,,,,,,,
60.17,5/13/2015 12:14:07:194,19.377,16.124,13.57,19.371,16.931,14.304,,,,,,,,,,,,,,,
60.33,5/13/2015 12:14:17:194,19.38,16.114,13.584,19.422,16.986,14.344,,,,,,,,,,,,,,,
60.50,5/13/2015 12:14:27:194,19.377,16.131,13.593,19.46,17.018,14.355,,,,,,,,,,,,,,,
60.67,5/13/2015 12:14:37:194,19.384,16.101,13.587,19.463,17.027,14.367,,,,,,,,,,,,,,,
60.83,5/13/2015 12:14:47:194,19.387,16.114,13.59,19.489,17.029,14.385,,,,,,,,,,,,,,,
61.00,5/13/2015 12:14:57:194,19.404,16.144,13.596,19.495,17.036,14.382,,,,,,,,,,,,,,,
61.17,5/13/2015 12:15:07:194,19.435,16.158,13.616,19.518,17.046,14.362,,,,,,,,,,,,,,,
61.33,5/13/2015 12:15:17:194,19.439,16.155,13.599,19.508,17.046,14.356,,,,,,,,,,,,,,,
61.50,5/13/2015 12:15:27:194,19.447,16.15,13.624,19.489,17.039,14.375,,,,,,,,,,,,,,,
61.67,5/13/2015 12:15:37:194,19.462,16.187,13.643,19.512,17.046,14.375,,,,,,,,,,,,,,,
61.83,5/13/2015 12:15:47:194,19.496,16.189,13.641,19.515,17.042,14.375,,,,,,,,,,,,,,,
62.00,5/13/2015 12:15:57:194,19.477,16.205,13.644,19.492,17.049,14.356,,,,,,,,,,,,,,,
62.17,5/13/2015 12:16:07:194,19.506,16.189,13.641,19.515,17.049,14.349,,,,,,,,,,,,,,,
62.33,5/13/2015 12:16:17:194,19.49,16.185,13.644,19.518,17.055,14.353,,,,,,,,,,,,,,,
62.50,5/13/2015 12:16:27:194,19.487,16.192,13.644,19.512,17.042,14.359,,,,,,,,,,,,,,,
62.67,5/13/2015 12:16:37:194,19.483,16.182,13.628,19.495,17.036,14.359,,,,,,,,,,,,,,,
62.83,5/13/2015 12:16:47:194,19.477,16.198,13.638,19.528,17.036,14.353,,,,,,,,,,,,,,,
63.00,5/13/2015 12:16:57:194,19.47,16.202,13.621,19.515,17.062,14.34,,,,,,,,,,,,,,,
63.17,5/13/2015 12:17:07:194,19.487,16.169,13.641,19.502,17.052,14.336,,,,,,,,,,,,,,,
63.33,5/13/2015 12:17:17:194,19.461,16.198,13.648,19.5,17.048,14.336,,,,,,,,,,,,,,,
63.50,5/13/2015 12:17:27:194,19.48,16.185,13.631,19.436,17.022,14.339,,,,,,,,,,,,,,,
63.67,5/13/2015 12:17:37:194,19.49,16.185,13.635,19.452,17.015,14.323,,,,,,,,,,,,,,,
63.83,5/13/2015 12:17:47:194,19.467,16.195,13.631,19.47,17.001,14.332,,,,,,,,,,,,,,,
64.00,5/13/2015 12:17:57:194,19.461,16.187,13.644,19.457,17.007,14.312,,,,,,,,,,,,,,,
64.17,5/13/2015 12:18:07:194,19.467,16.183,13.615,19.435,16.998,14.299,,,,,,,,,,,,,,,
64.33,5/13/2015 12:18:17:194,19.428,16.156,13.592,19.454,17.014,14.306,,,,,,,,,,,,,,,
64.50,5/13/2015 12:18:27:194,19.444,16.182,13.635,19.467,16.994,14.329,,,,,,,,,,,,,,,
64.67,5/13/2015 12:18:37:194,19.46,16.182,13.615,19.502,17.042,14.348,,,,,,,,,,,,,,,
64.83,5/13/2015 12:18:47:194,19.464,16.165,13.605,19.521,17.06,14.353,,,,,,,,,,,,,,,
65.00,5/13/2015 12:18:57:194,19.438,16.175,13.615,19.579,17.101,14.379,,,,,,,,,,,,,,,
65.17,5/13/2015 12:19:07:194,19.447,16.172,13.605,19.588,17.123,14.407,,,,,,,,,,,,,,,
65.33,5/13/2015 12:19:17:194,19.456,16.184,13.6,19.572,17.136,14.394,,,,,,,,,,,,,,,
65.50,5/13/2015 12:19:27:194,19.518,16.24,13.642,19.582,17.113,14.404,,,,,,,,,,,,,,,
65.67,5/13/2015 12:19:37:194,19.527,16.242,13.673,19.585,17.126,14.371,,,,,,,,,,,,,,,
65.83,5/13/2015 12:19:47:194,19.51,16.252,13.66,19.601,17.113,14.365,,,,,,,,,,,,,,,
66.00,5/13/2015 12:19:57:194,19.554,16.243,13.666,19.572,17.11,14.404,,,,,,,,,,,,,,,
66.17,5/13/2015 12:20:07:194,19.551,16.259,13.656,19.588,17.103,14.371,,,,,,,,,,,,,,,
66.33,5/13/2015 12:20:17:194,19.544,16.256,13.659,19.592,17.113,14.368,,,,,,,,,,,,,,,
66.50,5/13/2015 12:20:27:194,19.544,16.256,13.653,19.598,17.116,14.394,,,,,,,,,,,,,,,
66.67,5/13/2015 12:20:37:194,19.557,16.249,13.65,19.585,17.126,14.381,,,,,,,,,,,,,,,
66.83,5/13/2015 12:20:47:194,19.538,16.256,13.669,19.592,17.119,14.358,,,,,,,,,,,,,,,
67.00,5/13/2015 12:20:57:194,19.538,16.269,13.659,19.611,17.11,14.387,,,,,,,,,,,,,,,
67.17,5/13/2015 12:21:07:194,19.541,16.263,13.659,19.605,17.136,14.391,,,,,,,,,,,,,,,
67.33,5/13/2015 12:21:17:194,19.541,16.253,13.669,19.608,17.119,14.348,,,,,,,,,,,,,,,
67.50,5/13/2015 12:21:27:194,19.521,16.243,13.646,19.587,17.112,14.348,,,,,,,,,,,,,,,
67.67,5/13/2015 12:21:37:194,19.541,16.24,13.65,19.6,17.102,14.377,,,,,,,,,,,,,,,
67.83,5/13/2015 12:21:47:194,19.538,16.279,13.637,19.597,17.112,14.348,,,,,,,,,,,,,,,
68.00,5/13/2015 12:21:57:194,19.534,16.246,13.64,19.562,17.096,14.348,,,,,,,,,,,,,,,
68.17,5/13/2015 12:22:07:194,19.538,16.243,13.656,19.575,17.07,14.351,,,,,,,,,,,,,,,
68.33,5/13/2015 12:22:17:194,19.519,16.241,13.63,19.531,17.081,14.321,,,,,,,,,,,,,,,
68.50,5/13/2015 12:22:27:194,19.506,16.24,13.633,19.541,17.078,14.318,,,,,,,,,,,,,,,
68.67,5/13/2015 12:22:37:194,19.5,16.24,13.643,19.541,17.078,14.341,,,,,,,,,,,,,,,
68.83,5/13/2015 12:22:47:194,19.492,16.229,13.627,19.551,17.071,14.341,,,,,,,,,,,,,,,
69.00,5/13/2015 12:22:57:194,19.518,16.226,13.64,19.55,17.104,14.349,,,,,,,,,,,,,,,
69.17,5/13/2015 12:23:07:194,19.531,16.226,13.64,19.64,17.152,14.375,,,,,,,,,,,,,,,
69.33,5/13/2015 12:23:17:194,19.498,16.233,13.653,19.653,17.178,14.41,,,,,,,,,,,,,,,
69.50,5/13/2015 12:23:27:194,19.498,16.213,13.637,19.672,17.213,14.425,,,,,,,,,,,,,,,
69.67,5/13/2015 12:23:37:194,19.508,16.223,13.65,19.691,17.193,14.409,,,,,,,,,,,,,,,
69.83,5/13/2015 12:23:47:194,19.54,16.28,13.646,19.659,17.193,14.409,,,,,,,,,,,,,,,
70.00,5/13/2015 12:23:57:194,19.579,16.275,13.677,19.678,17.19,14.409,,,,,,,,,,,,,,,
70.17,5/13/2015 12:24:07:194,19.598,16.297,13.678,19.665,17.21,14.422,,,,,,,,,,,,,,,
70.33,5/13/2015 12:24:17:194,19.611,16.304,13.701,19.698,17.196,14.403,,,,,,,,,,,,,,,
70.50,5/13/2015 12:24:27:194,19.618,16.336,13.658,19.688,17.19,14.412,,,,,,,,,,,,,,,
70.67,5/13/2015 12:24:37:194,19.592,16.297,13.678,19.685,17.193,14.396,,,,,,,,,,,,,,,
70.83,5/13/2015 12:24:47:194,19.615,16.307,13.675,19.695,17.196,14.383,,,,,,,,,,,,,,,
71.00,5/13/2015 12:24:57:194,19.595,16.323,13.684,19.691,17.187,14.396,,,,,,,,,,,,,,,
71.17,5/13/2015 12:25:07:194,19.605,16.304,13.681,19.675,17.21,14.406,,,,,,,,,,,,,,,
71.33,5/13/2015 12:25:17:194,19.621,16.31,13.678,19.698,17.183,14.406,,,,,,,,,,,,,,,
71.50,5/13/2015 12:25:27:194,19.579,16.31,13.678,19.678,17.187,14.39,,,,,,,,,,,,,,,
71.67,5/13/2015 12:25:37:194,19.605,16.31,13.681,19.678,17.167,14.39,,,,,,,,,,,,,,,
71.83,5/13/2015 12:25:47:194,19.595,16.313,13.671,19.682,17.193,14.386,,,,,,,,,,,,,,,
72.00,5/13/2015 12:25:57:194,19.605,16.284,13.665,19.708,17.183,14.393,,,,,,,,,,,,,,,
72.17,5/13/2015 12:26:07:194,19.611,16.32,13.658,19.648,17.155,14.37,,,,,,,,,,,,,,,
72.33,5/13/2015 12:26:17:194,19.602,16.297,13.681,19.653,17.185,14.368,,,,,,,,,,,,,,,
72.50,5/13/2015 12:26:27:194,19.585,16.31,13.649,19.634,17.144,14.377,,,,,,,,,,,,,,,
72.67,5/13/2015 12:26:37:194,19.611,16.313,13.671,19.637,17.148,14.34,,,,,,,,,,,,,,,
72.83,5/13/2015 12:26:47:194,19.577,16.287,13.645,19.614,17.125,14.365,,,,,,,,,,,,,,,
73.00,5/13/2015 12:26:57:194,19.58,16.291,13.665,19.65,17.158,14.365,,,,,,,,,,,,,,,
73.17,5/13/2015 12:27:07:194,19.543,16.28,13.658,19.685,17.179,14.385,,,,,,,,,,,,,,,
73.33,5/13/2015 12:27:17:194,19.553,16.287,13.671,19.746,17.239,14.425,,,,,,,,,,,,,,,
73.50,5/13/2015 12:27:27:194,19.556,16.277,13.658,19.73,17.242,14.422,,,,,,,,,,,,,,,
73.67,5/13/2015 12:27:37:194,19.568,16.279,13.65,19.759,17.257,14.434,,,,,,,,,,,,,,,
73.83,5/13/2015 12:27:47:194,19.614,16.311,13.684,19.749,17.244,14.408,,,,,,,,,,,,,,,
74.00,5/13/2015 12:27:57:194,19.63,16.323,13.685,19.749,17.234,14.421,,,,,,,,,,,,,,,
74.17,5/13/2015 12:28:07:194,19.643,16.358,13.7,19.765,17.254,14.415,,,,,,,,,,,,,,,
74.33,5/13/2015 12:28:17:194,19.653,16.348,13.709,19.742,17.257,14.434,,,,,,,,,,,,,,,
74.50,5/13/2015 12:28:27:194,19.659,16.378,13.7,19.752,17.244,14.418,,,,,,,,,,,,,,,
74.67,5/13/2015 12:28:37:194,19.662,16.358,13.69,19.755,17.241,14.408,,,,,,,,,,,,,,,
74.83,5/13/2015 12:28:47:194,19.653,16.361,13.683,19.768,17.247,14.411,,,,,,,,,,,,,,,
75.00,5/13/2015 12:28:57:194,19.656,16.345,13.703,19.746,17.264,14.415,,,,,,,,,,,,,,,
75.17,5/13/2015 12:29:07:194,19.646,16.355,13.709,19.739,17.257,14.411,,,,,,,,,,,,,,,
75.33,5/13/2015 12:29:17:194,19.653,16.338,13.696,19.742,17.234,14.402,,,,,,,,,,,,,,,
75.50,5/13/2015 12:29:27:194,19.643,16.352,13.677,19.768,17.247,14.405,,,,,,,,,,,,,,,
75.67,5/13/2015 12:29:37:194,19.64,16.352,13.683,19.746,17.228,14.405,,,,,,,,,,,,,,,
75.83,5/13/2015 12:29:47:194,19.669,16.381,13.683,19.755,17.251,14.392,,,,,,,,,,,,,,,
76.00,5/13/2015 12:29:57:194,19.649,16.348,13.7,19.746,17.232,14.4,,,,,,,,,,,,,,,
76.17,5/13/2015 12:30:07:194,19.636,16.368,13.687,19.733,17.239,14.368,,,,,,,,,,,,,,,
76.33,5/13/2015 12:30:17:194,19.617,16.338,13.677,19.707,17.223,14.39,,,,,,,,,,,,,,,
76.50,5/13/2015 12:30:27:194,19.64,16.348,13.683,19.69,17.22,14.365,,,,,,,,,,,,,,,
76.67,5/13/2015 12:30:37:194,19.636,16.325,13.667,19.701,17.219,14.383,,,,,,,,,,,,,,,
76.83,5/13/2015 12:30:47:194,19.656,16.352,13.677,19.73,17.257,14.377,,,,,,,,,,,,,,,
77.00,5/13/2015 12:30:57:194,19.617,16.337,13.677,19.736,17.221,14.406,,,,,,,,,,,,,,,
77.17,5/13/2015 12:31:07:194,19.62,16.32,13.664,19.81,17.28,14.429,,,,,,,,,,,,,,,
77.33,5/13/2015 12:31:17:194,19.603,16.339,13.677,19.816,17.292,14.449,,,,,,,,,,,,,,,
77.50,5/13/2015 12:31:27:194,19.613,16.334,13.685,19.822,17.325,14.41,,,,,,,,,,,,,,,
77.67,5/13/2015 12:31:37:194,19.636,16.362,13.693,19.819,17.331,14.449,,,,,,,,,,,,,,,
77.83,5/13/2015 12:31:47:194,19.694,16.396,13.734,19.8,17.302,14.449,,,,,,,,,,,,,,,
78.00,5/13/2015 12:31:57:194,19.687,16.416,13.754,19.822,17.305,14.443,,,,,,,,,,,,,,,
78.17,5/13/2015 12:32:07:194,19.674,16.399,13.728,19.803,17.312,14.436,,,,,,,,,,,,,,,
78.33,5/13/2015 12:32:17:194,19.704,16.399,13.708,19.813,17.315,14.414,,,,,,,,,,,,,,,
78.50,5/13/2015 12:32:27:194,19.684,16.422,13.728,19.829,17.295,14.42,,,,,,,,,,,,,,,
78.67,5/13/2015 12:32:37:194,19.681,16.396,13.725,19.813,17.305,14.433,,,,,,,,,,,,,,,
78.83,5/13/2015 12:32:47:194,19.697,16.406,13.708,19.819,17.315,14.42,,,,,,,,,,,,,,,
79.00,5/13/2015 12:32:57:194,19.694,16.383,13.708,19.829,17.315,14.433,,,,,,,,,,,,,,,
79.17,5/13/2015 12:33:07:194,19.691,16.425,13.731,19.822,17.302,14.423,,,,,,,,,,,,,,,
79.33,5/13/2015 12:33:17:194,19.7,16.409,13.725,19.826,17.295,14.407,,,,,,,,,,,,,,,
79.50,5/13/2015 12:33:27:194,19.677,16.376,13.718,19.793,17.302,14.41,,,,,,,,,,,,,,,
79.67,5/13/2015 12:33:37:194,19.658,16.386,13.712,19.803,17.299,14.433,,,,,,,,,,,,,,,
79.83,5/13/2015 12:33:47:194,19.677,16.406,13.699,19.813,17.289,14.423,,,,,,,,,,,,,,,
80.00,5/13/2015 12:33:57:194,19.681,16.376,13.705,19.814,17.308,14.403,,,,,,,,,,,,,,,
80.17,5/13/2015 12:34:07:194,19.668,16.386,13.725,19.768,17.284,14.398,,,,,,,,,,,,,,,
80.33,5/13/2015 12:34:17:194,19.684,16.386,13.699,19.754,17.252,14.39,,,,,,,,,,,,,,,
80.50,5/13/2015 12:34:27:194,19.691,16.396,13.712,19.739,17.234,14.393,,,,,,,,,,,,,,,
80.67,5/13/2015 12:34:37:194,19.687,16.393,13.708,19.773,17.257,14.376,,,,,,,,,,,,,,,
80.83,5/13/2015 12:34:47:194,19.694,16.393,13.705,19.793,17.295,14.395,,,,,,,,,,,,,,,
81.00,5/13/2015 12:34:57:194,19.674,16.396,13.702,19.883,17.346,14.478,,,,,,,,,,,,,,,
81.17,5/13/2015 12:35:07:194,19.677,16.406,13.718,19.88,17.346,14.471,,,,,,,,,,,,,,,
81.33,5/13/2015 12:35:17:194,19.674,16.383,13.702,19.864,17.35,14.461,,,,,,,,,,,,,,,
81.50,5/13/2015 12:35:27:194,19.648,16.368,13.695,19.867,17.366,14.448,,,,,,,,,,,,,,,
81.67,5/13/2015 12:35:37:194,19.626,16.36,13.695,19.88,17.363,14.471,,,,,,,,,,,,,,,
81.83,5/13/2015 12:35:47:194,19.649,16.399,13.708,19.867,17.356,14.452,,,,,,,,,,,,,,,
82.00,5/13/2015 12:35:57:194,19.718,16.424,13.721,19.867,17.363,14.455,,,,,,,,,,,,,,,
82.17,5/13/2015 12:36:07:194,19.735,16.457,13.772,19.854,17.369,14.445,,,,,,,,,,,,,,,
82.33,5/13/2015 12:36:17:194,19.732,16.454,13.743,19.877,17.356,14.438,,,,,,,,,,,,,,,
82.50,5/13/2015 12:36:27:194,19.729,16.45,13.74,19.87,17.343,14.465,,,,,,,,,,,,,,,
82.67,5/13/2015 12:36:37:194,19.722,16.447,13.733,19.873,17.363,14.455,,,,,,,,,,,,,,,
82.83,5/13/2015 12:36:47:194,19.732,16.444,13.737,19.893,17.353,14.438,,,,,,,,,,,,,,,
83.00,5/13/2015 12:36:57:194,19.722,16.444,13.743,19.886,17.346,14.452,,,,,,,,,,,,,,,
83.17,5/13/2015 12:37:07:194,19.725,16.447,13.737,19.857,17.356,14.445,,,,,,,,,,,,,,,
83.33,5/13/2015 12:37:17:194,19.735,16.444,13.743,19.899,17.35,14.425,,,,,,,,,,,,,,,
83.50,5/13/2015 12:37:27:194,19.716,16.454,13.74,19.873,17.359,14.445,,,,,,,,,,,,,,,
83.67,5/13/2015 12:37:37:194,19.732,16.437,13.74,19.873,17.376,14.419,,,,,,,,,,,,,,,
83.83,5/13/2015 12:37:47:194,19.716,16.421,13.727,19.89,17.363,14.448,,,,,,,,,,,,,,,
84.00,5/13/2015 12:37:57:194,19.738,16.444,13.733,19.87,17.366,14.452,,,,,,,,,,,,,,,
84.17,5/13/2015 12:38:07:194,19.725,16.434,13.766,19.849,17.352,14.438,,,,,,,,,,,,,,,
84.33,5/13/2015 12:38:17:194,19.712,16.434,13.727,19.844,17.331,14.437,,,,,,,,,,,,,,,
84.50,5/13/2015 12:38:27:194,19.729,16.437,13.73,19.848,17.328,14.427,,,,,,,,,,,,,,,
84.67,5/13/2015 12:38:37:194,19.716,16.431,13.74,19.8,17.321,14.405,,,,,,,,,,,,,,,
84.83,5/13/2015 12:38:47:194,19.716,16.434,13.73,19.809,17.301,14.392,,,,,,,,,,,,,,,
85.00,5/13/2015 12:38:57:194,19.725,16.424,13.74,19.813,17.321,14.395,,,,,,,,,,,,,,,
85.17,5/13/2015 12:39:07:194,19.716,16.437,13.727,19.838,17.327,14.413,,,,,,,,,,,,,,,
85.33,5/13/2015 12:39:17:194,19.722,16.444,13.72,19.874,17.368,14.446,,,,,,,,,,,,,,,
85.50,5/13/2015 12:39:27:194,19.709,16.437,13.72,19.95,17.423,14.483,,,,,,,,,,,,,,,
85.67,5/13/2015 12:39:37:194,19.718,16.44,13.717,19.941,17.398,14.474,,,,,,,,,,,,,,,
85.83,5/13/2015 12:39:47:194,19.694,16.416,13.724,19.909,17.408,14.466,,,,,,,,,,,,,,,
86.00,5/13/2015 12:39:57:194,19.664,16.426,13.72,19.928,17.431,14.478,,,,,,,,,,,,,,,
86.17,5/13/2015 12:40:07:194,19.68,16.411,13.724,19.944,17.423,14.467,,,,,,,,,,,,,,,
86.33,5/13/2015 12:40:17:194,19.676,16.433,13.714,19.944,17.417,14.486,,,,,,,,,,,,,,,
86.50,5/13/2015 12:40:27:194,19.69,16.411,13.717,19.944,17.436,14.463,,,,,,,,,,,,,,,
86.67,5/13/2015 12:40:37:194,19.673,16.398,13.714,19.944,17.433,14.457,,,,,,,,,,,,,,,
86.83,5/13/2015 12:40:47:194,19.696,16.407,13.707,19.963,17.417,14.499,,,,,,,,,,,,,,,
87.00,5/13/2015 12:40:57:194,19.663,16.394,13.711,19.954,17.436,14.463,,,,,,,,,,,,,,,
87.17,5/13/2015 12:41:07:194,19.771,16.493,13.763,19.967,17.427,14.473,,,,,,,,,,,,,,,
87.33,5/13/2015 12:41:17:194,19.774,16.49,13.75,19.944,17.433,14.476,,,,,,,,,,,,,,,
87.50,5/13/2015 12:41:27:194,19.802,16.488,13.755,19.963,17.443,14.467,,,,,,,,,,,,,,,
87.67,5/13/2015 12:41:37:194,19.773,16.491,13.775,19.96,17.407,14.454,,,,,,,,,,,,,,,
87.83,5/13/2015 12:41:47:194,19.78,16.479,13.765,19.954,17.436,14.476,,,,,,,,,,,,,,,
88.00,5/13/2015 12:41:57:194,19.78,16.501,13.768,19.96,17.427,14.45,,,,,,,,,,,,,,,
88.17,5/13/2015 12:42:07:194,19.789,16.495,13.752,19.95,17.43,14.46,,,,,,,,,,,,,,,
88.33,5/13/2015 12:42:17:194,19.773,16.491,13.768,19.97,17.423,14.473,,,,,,,,,,,,,,,
88.50,5/13/2015 12:42:27:194,19.77,16.505,13.749,19.941,17.443,14.476,,,,,,,,,,,,,,,
