energy,Hillslope1_20-30cm_2017,Hillslope3_20-30cm_2017,Hillslope3_50-60cm_2017,MCB3_15-30cm_2017,MCB3_50-90cm_2017,MCB3_105-140cm_2017,MCB3_0-12cm_2018,MCB3_40-55cm_2018,MCB3_70-85cm_2018,MZA2_0-15cm_2018,MZA2_30-45cm_2018,MZA2_60-75cm_2018,MYC3_2-15cm_2018
2530.5,0.99268801,0.99569427,0.98199271,1.0019241,1.0155803,0.99056858,0.99345648,1.0115042,0.97982546,0.99537147,1.0056064,0.99615991,1.0016743
2531.25,0.98890742,1.0049605,0.98513201,1.0024409,1.0019366,0.98449602,1.0037199,0.99515785,0.99362271,0.98699552,1.0057152,0.98395971,1.0111864
2532,1.0000766,1.006664,0.99891691,1.009239,1.0125938,0.99215572,0.99818078,1.0089139,0.99203374,0.99042482,0.97120125,0.99340539,1.004503
2532.75,0.97785092,1.0138013,1.0038242,1.0141279,0.99433845,0.99546676,0.99450996,0.99733131,1.0218609,1.0044702,0.98781519,0.99503167,1.008109
2533.5,1.0055945,1.0079487,1.0087302,1.0122154,1.0238223,0.99223776,1.016926,1.0040406,1.0149587,1.0029571,1.0223161,1.007101,1.0011893
2534.25,0.99961272,1.0161688,1.004665,1.0172436,1.0336727,0.9996649,1.0096521,1.0393659,1.051845,1.0117694,0.99209013,1.0104226,1.0192742
2535,1.0165198,1.0128171,1.0055163,1.0221652,1.0324998,0.99815305,1.0211205,1.0215805,1.0186518,1.0078655,1.0147289,1.0077789,1.0006043
2535.75,1.0123802,1.0204487,1.0103897,1.0274247,1.0113674,0.99769006,1.0130722,1.013091,0.99695123,1.0191179,1.0145603,1.0161231,1.01484
2536.5,1.0140141,1.0280491,1.0233614,1.0253714,1.0266174,1.0086829,1.0205971,1.0287226,1.0065489,1.0265052,0.99894898,1.0121173,1.0197397
2537.25,0.99633117,1.0409531,1.0149275,1.0446306,1.0447955,1.0100899,1.0045988,1.0273929,1.0386703,1.0250589,1.0154446,1.0245792,1.0168811
2538,1.0309542,1.0543267,1.0402744,1.0399972,1.0364578,1.0132354,1.039224,1.0266418,0.97367215,1.0311444,1.014057,1.0278726,1.019753
2538.75,1.0499859,1.0336931,1.0188067,1.054491,1.0361081,1.0174424,1.03072,1.0321147,1.028493,1.0264464,1.0069919,1.0462435,1.0032531
2539.5,1.0296095,1.0474417,1.0493086,1.0515241,1.0387369,1.0241386,1.0336558,1.0393787,1.0175643,1.0340085,1.0557657,1.0462618,1.027672
2540.25,1.0448898,1.0516777,1.0466442,1.0667937,1.060506,1.0259308,1.0350696,1.0287449,1.0426204,1.0238074,1.0499825,1.0410969,1.0254213
2541,1.0628385,1.0731627,1.0348496,1.061822,1.0538456,1.0254433,1.0461045,1.034713,1.0845686,1.050436,1.0686181,1.0276542,1.0302546
2541.75,1.0561207,1.0860496,1.055096,1.0671635,1.0755524,1.031048,1.0431141,1.0405044,1.0969414,1.0571176,1.0754558,1.0204585,1.0364726
