energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2483.4,1.3424172,1.0836237,1.3081973,1.2442488,1.3342913,1.4331418,1.2248084,1.25741,1.284631,1.3420509,1.3514885,1.6131771,1.2174411,1.2926685,1.0757795
2483.55,1.2716852,1.0636512,1.2540592,1.2030583,1.2856834,1.3265624,1.1773563,1.19738,1.2389289,1.285811,1.2696132,1.4957637,1.1841063,1.2270036,1.0684798
2483.7,1.2051647,1.0489305,1.1981844,1.1456184,1.2134152,1.2336261,1.143966,1.1503332,1.2014347,1.2301787,1.1945119,1.4311129,1.164498,1.1649224,1.0577781
2483.85,1.1572612,1.030239,1.1574347,1.1034342,1.169891,1.1782935,1.1064445,1.105759,1.17029,1.1516782,1.152844,1.3670565,1.1505812,1.114347,1.0529833
2484,1.1208544,1.0198241,1.1308433,1.0746246,1.1196298,1.1211242,1.0797734,1.0736202,1.1464734,1.1369124,1.1158812,1.3197661,1.1369687,1.0824497,1.0532796
2484.15,1.0933288,1.0094435,1.1069824,1.0514386,1.1002883,1.0826329,1.0643923,1.0457538,1.139699,1.0799125,1.0945071,1.269193,1.1200681,1.0351374,1.0444421
2484.3,1.0449568,1.0042095,1.0658624,1.0382637,1.0524074,1.0568838,1.0556143,1.0373927,1.1427427,1.0463316,1.0624626,1.2294304,1.1192855,1.0241373,1.0393111
2484.45,1.0322281,1.0005033,1.0482704,1.0063902,1.0409143,1.0311105,1.0407507,1.0137021,1.1323432,1.0310083,1.0560102,1.2249374,1.120118,0.9986463,1.0406426
2484.6,1.0074672,0.99764731,1.0464324,0.99288475,1.0340922,0.98578139,1.0202349,1.0056376,1.1260195,1.0019222,1.0327863,1.1865115,1.1111307,0.98346839,1.0379745
2484.75,1.0123928,0.99139137,1.0361313,0.99453118,0.99866106,0.97030741,1.0111307,0.98931206,1.0956119,0.9958917,1.0153541,1.1888045,1.1094411,0.96749056,1.0329929
2484.9,0.99174557,0.98779262,1.0174565,0.98164463,0.98281729,0.95346908,1.0028513,0.98026875,1.0745493,0.97724123,0.99760082,1.1932259,1.1111014,0.95561881,1.0411925
2485.05,0.98033484,0.9881555,1.0030993,0.97696113,0.9756844,0.95523306,0.99495386,0.97823139,1.091619,0.95942747,0.99002764,1.1672089,1.0747545,0.95578653,1.0483351
2485.2,0.99371938,0.98819811,1.0094717,0.9599445,0.96923562,0.93176239,0.99412551,0.96878065,1.0815576,0.96817753,0.98549312,1.1298498,1.0866379,0.94847601,1.0463175
2485.35,0.97882824,0.99087134,0.99964991,0.96701355,0.97058131,0.93019758,0.99650011,0.95467333,1.0702996,0.95087757,0.98567729,1.1082367,1.0819834,0.94828687,1.0425946
2485.5,0.94937709,0.98088316,0.98543419,0.9705565,0.95520594,0.9344313,0.99385312,0.95385982,1.0621415,0.95704268,0.96655226,1.111965,1.083816,0.94102438,1.0419294
2485.65,0.96682896,0.98567588,0.99084327,0.960945,0.94396363,0.91028789,0.99688309,0.95838039,1.0712977,0.95556784,0.96945873,1.102711,1.0801891,0.93199549,1.041429
2485.8,0.954821,0.99072671,0.9939175,0.95303568,0.96399773,0.91767813,0.9894135,0.95085129,1.0346771,0.94592492,0.96591734,1.0909106,1.056946,0.93783617,1.0453042
2485.95,0.95924712,0.98770278,0.97855408,0.95440774,0.93993465,0.92126682,0.98587717,0.95113052,1.046218,0.9363769,0.96393029,1.0611753,1.0544884,0.93032911,1.0435957
2486.1,0.9275615,0.98706215,0.96902195,0.95610331,0.94911211,0.91382651,0.98898014,0.95733233,1.0241565,0.9389995,0.97097525,1.1003635,1.053043,0.92267809,1.0412571
2486.25,0.93104544,0.99023014,0.9775578,0.94599125,0.92411412,0.92533475,0.99385084,0.96221037,1.0384489,0.93789877,0.95880539,1.0300635,1.0593257,0.93829689,1.033453
2486.4,0.9321765,0.9933466,0.9791824,0.95050701,0.92918198,0.90989441,0.99578171,0.94578335,0.98993025,0.93008449,0.96767088,1.0386239,1.0574624,0.94083448,1.0287571
2486.55,0.92592973,0.99697924,0.98474324,0.95801834,0.92991805,0.90715568,0.996905,0.96188059,1.0108912,0.94035605,0.95125125,1.0554807,1.0434561,0.93076634,1.0341643
2486.7,0.94847865,0.99837692,0.97715233,0.95400113,0.9312693,0.91989045,0.99776803,0.96429843,1.0335018,0.93669232,0.95084826,1.0192586,1.0430468,0.93779736,1.0343639
2486.85,0.9317083,0.99422591,0.99043168,0.95398941,0.93472352,0.91242367,0.99571216,0.96687707,1.0262983,0.93320476,0.95330412,1.0157443,1.0505413,0.93696331,1.0272189
2487,0.9480275,0.9930933,0.96877425,0.95724375,0.92471453,0.90078649,1.0013564,0.96883129,0.99719046,0.92975063,0.93602305,0.97001983,1.0463076,0.94089151,1.0194865
2487.15,0.93318785,0.99889157,0.98473951,0.95621005,0.93216364,0.90894616,1.003996,0.96171587,1.0006769,0.93769691,0.9312495,1.0067234,1.0507182,0.94599354,1.0269869
2487.3,0.9329597,0.99265759,0.96593566,0.95219231,0.92355249,0.90272729,0.99658367,0.95642062,0.9920255,0.94166395,0.93331857,1.0224617,1.0286048,0.93854692,1.0256435
2487.45,0.93455413,0.9923974,0.97260154,0.95255639,0.93062732,0.89869704,0.99664776,0.96563679,0.99036407,0.94977753,0.94831474,1.0281207,1.0091585,0.94703779,1.0201596
2487.6,0.93868678,0.99318008,0.97014334,0.95938871,0.92684442,0.90691931,0.99506877,0.96279706,0.97502284,0.94779748,0.93698738,0.99864358,1.0053568,0.93785627,1.0139453
2487.75,0.92598891,0.99510708,0.97479258,0.95920932,0.92191236,0.90134649,0.99037702,0.95353833,1.00403,0.93797023,0.93801304,0.9802594,0.99002253,0.94228824,1.0106642
2487.9,0.93705663,0.992854,0.96930514,0.96179593,0.927116,0.91275532,0.98354674,0.96654159,0.97554402,0.95039204,0.92950451,0.98449392,0.99503949,0.94177074,1.012389
2488.05,0.90973181,0.98850077,0.96650426,0.9649806,0.92060461,0.91733418,0.98431975,0.95776678,0.97919319,0.94253869,0.93734259,1.0048838,0.98737328,0.94515123,1.0132191
2488.2,0.91571278,0.98695471,0.97251143,0.95155772,0.911233,0.90540413,0.99135666,0.95686429,0.98983095,0.95146257,0.93896369,0.98041389,0.97314672,0.93790959,1.0030957
2488.35,0.92218286,0.98395836,0.96538116,0.95700068,0.93007134,0.90121414,0.98196065,0.95821595,0.97645468,0.93418674,0.92731203,0.99870019,0.975047,0.95678196,1.0104556
2488.5,0.92519828,0.98035934,0.96017505,0.96728524,0.92048972,0.9182529,0.98259805,0.96365597,0.96638544,0.94593026,0.93472013,1.009749,0.98601894,0.9439453,1.0095385
2488.65,0.90549327,0.97869815,0.95840607,0.95223121,0.91993978,0.90405304,0.98053532,0.95997952,0.97084006,0.94227026,0.9243513,0.96251275,0.96493793,0.9478567,1.0180693
2488.8,0.91816217,0.97570069,0.96930275,0.95211784,0.93821719,0.92394943,0.97414383,0.95012291,0.97642633,0.94042215,0.9310539,1.0013308,0.97308969,0.94636775,1.0080909
2488.95,0.92976533,0.97264604,0.96419087,0.95522527,0.91459334,0.909758,0.9746536,0.97158701,0.94549828,0.93872555,0.94263341,0.99310599,0.97720602,0.95983952,1.0030891
2489.1,0.93412967,0.97755858,0.97197485,0.95545357,0.92286128,0.91017315,0.9710469,0.96013033,0.94829606,0.94538902,0.92487032,0.97363946,0.96700686,0.94998896,1.0104565
2489.25,0.94310193,0.97715753,0.95325504,0.96392679,0.91840634,0.92550064,0.97374261,0.94630712,0.96460635,0.94639536,0.93225342,0.99482138,0.95938776,0.94769166,1.0035828
2489.4,0.9276393,0.97482441,0.9569267,0.96515977,0.92781174,0.92898167,0.96868631,0.95788359,0.96549841,0.95178159,0.93725914,1.0054596,0.95690545,0.95397938,1.0121902
2489.55,0.94173949,0.97858226,0.95278698,0.96364273,0.92185425,0.93764836,0.9768818,0.95656431,0.96339312,0.94847028,0.93170174,0.96795129,0.94848184,0.9477889,1.0083024
2489.7,0.93933352,0.97095266,0.97114369,0.9675627,0.91744071,0.94049331,0.96470707,0.94893686,0.94407681,0.94084481,0.94408579,0.98523854,0.94930999,0.94596559,1.0154725
2489.85,0.9414634,0.97259883,0.96018048,0.96266779,0.93116895,0.93865995,0.96780297,0.95178088,0.94473754,0.95765862,0.94139031,0.96953117,0.95273737,0.95281404,1.0179501
2490,0.93571604,0.97507509,0.95690136,0.95723411,0.92647746,0.92456736,0.96896336,0.96372107,0.95096296,0.95879865,0.94159554,1.0098966,0.95038425,0.95378338,1.0114823
2490.15,0.92718332,0.97382228,0.95582048,0.96106518,0.92251994,0.9316995,0.97882724,0.95021006,0.94953502,0.9576276,0.92926562,0.96127969,0.95423454,0.95762282,1.0133655
2490.3,0.92006131,0.97713466,0.9661887,0.96027184,0.9296365,0.92924526,0.97178787,0.95716898,0.95676513,0.94515019,0.92630231,0.97040417,0.94518636,0.95432513,1.0178117
2490.45,0.95179518,0.97536479,0.96691488,0.96121925,0.9252437,0.94797654,0.96950422,0.95453374,0.96096396,0.96014277,0.93175382,0.96968775,0.95045115,0.95321801,1.0146416
2490.6,0.94500782,0.98090654,0.95191555,0.96203696,0.92999823,0.94940519,0.97194949,0.96142084,0.93711688,0.95469611,0.94416168,0.9781755,0.94229842,0.94941043,1.014419
2490.75,0.95476266,0.98156753,0.96052922,0.96154699,0.93664171,0.93231654,0.96882296,0.96692643,0.95321729,0.952824,0.94048472,0.95291777,0.92695702,0.95913532,1.0127939
2490.9,0.9529951,0.98746916,0.96289188,0.96650206,0.93907451,0.94328136,0.97655572,0.96934584,0.95403394,0.95863993,0.95329316,0.96358833,0.93593052,0.95927883,1.0209397
2491.05,0.93782594,0.98358623,0.96591352,0.96447033,0.93782526,0.95060319,0.98058567,0.96840433,0.94034813,0.9495599,0.94785767,0.96491928,0.96241334,0.96663076,1.0234205
2491.2,0.9409083,0.98731501,0.96370624,0.96907657,0.94461443,0.9656407,0.98091485,0.96923147,0.95522191,0.96867995,0.95014696,0.96853235,0.96494636,0.96408375,1.0115799
2491.35,0.93135618,0.99429892,0.97207897,0.97317138,0.93900487,0.9523661,0.9870739,0.97267805,0.94916919,0.96636655,0.94495292,0.96754125,0.97029529,0.9638799,1.0176717
2491.5,0.94462745,0.99283943,0.97599221,0.97552402,0.95269646,0.96398269,0.97161046,0.98240937,0.97620488,0.96722278,0.95634746,0.96186563,0.95112538,0.97085389,1.0071362
2491.65,0.95026347,0.99530349,0.9814913,0.9868411,0.95333405,0.9654182,0.9834565,0.98084188,0.95813378,0.97531265,0.96090804,0.98451741,0.965875,0.97386736,1.0191596
2491.8,0.95993079,0.99183776,0.9759034,0.98320099,0.96466077,0.96283104,0.98234071,0.98434465,0.93738689,0.98078196,0.96998622,0.97683094,0.97233861,0.98248429,1.0113141
2491.95,0.94291846,0.99320592,0.97663824,0.98466787,0.971989,0.97732872,0.98522646,0.97918365,0.96580717,0.98444628,0.95862985,0.98150685,0.96645216,0.9853596,1.019859
2492.1,0.98337908,1.0027239,0.98482585,0.98765469,0.95778136,0.97450204,0.98634548,0.99509981,0.97997541,0.98166431,0.97842099,0.99688301,0.95670072,0.98194382,1.0232263
2492.25,0.97677706,1.0001899,0.99398552,0.99659188,0.98296099,0.98023078,0.99189871,0.99336529,0.96724577,0.99340054,0.97289515,0.96604571,0.97626199,0.98320841,1.0249538
2492.4,0.9682289,1.0003866,0.98990415,0.99432416,0.97889992,0.98763442,0.99919822,1.0017229,0.97095441,0.99167021,0.97609508,0.985107,0.97243504,0.98724594,1.0060838
2492.55,0.98470256,1.0088385,1.0022194,1.0061626,0.97419028,0.98765832,1.0006394,1.0035226,0.95860647,0.9916063,0.98406915,0.99448404,0.97433536,1.0020047,1.0130511
2492.7,1.0077766,1.0092994,0.99759805,1.0047277,0.98235481,0.99155894,1.0036864,1.0129105,0.98460286,0.99871706,0.9864749,0.97565918,0.96540554,1.0092801,1.0191992
2492.85,0.9849928,1.0130096,0.9857403,1.0119258,0.983109,1.0158742,1.0112844,1.0083942,0.97558692,1.0033342,1.0087773,1.0014951,0.96387955,0.99972673,1.025689
2493,0.98414684,1.014142,0.99432549,1.0079743,0.99137562,1.0000884,1.0048954,1.0153312,0.98023506,1.0125585,1.0030108,0.99771216,0.97903465,1.0025572,1.0135481
2493.15,0.98358403,1.0098648,0.99575981,1.0120295,0.99329087,1.0094975,1.0113838,1.0199158,0.98302631,1.015099,1.0120506,1.0015501,0.97385074,1.0182165,1.0120012
2493.3,1.0080636,1.0145053,1.0005088,1.0194411,0.99651288,1.0082173,1.0106712,1.0212956,0.99603174,1.0055121,1.0186103,0.99719064,0.98069921,1.0245344,1.0204519
2493.45,1.0092307,1.0157785,1.0123875,1.014372,1.0068466,1.0065102,1.016785,1.0331624,1.0037074,1.0281228,1.0290126,1.0221918,0.97741848,1.0288241,1.0138575
2493.6,1.0047036,1.0271349,1.0091044,1.0227577,1.0227201,1.0157579,1.0166617,1.0313685,0.98366879,1.0354319,1.026694,1.0117903,0.97132564,1.0291203,1.0097823
2493.75,1.0323341,1.0255738,1.0267586,1.0167368,1.0209362,1.0543174,1.0196638,1.0379372,0.98612839,1.0214743,1.0150058,0.97177878,0.97405295,1.0384317,1.0036395
2493.9,1.0108425,1.0280891,1.0259517,1.0286224,1.0376788,1.0356264,1.0312857,1.0353644,1.0134609,1.0363194,1.0212528,1.022385,0.98832287,1.0400261,1.0022582
2494.05,1.0209526,1.0270139,1.0070351,1.0343773,1.0449583,1.0510697,1.0255395,1.0482365,0.99929147,1.0588117,1.0319563,1.0151815,0.99337271,1.0472777,1.0147137
2494.2,1.0287304,1.0243091,1.0283247,1.0429175,1.0452824,1.0569534,1.0179372,1.0478882,0.99302003,1.0422424,1.0407642,1.0162496,0.99873375,1.0413564,1.0062126
2494.35,1.0439273,1.0288228,1.0348733,1.0475123,1.0459328,1.0726998,1.0311506,1.0420934,1.0043006,1.0444483,1.0513635,0.99542609,0.99617004,1.0443958,1.0091397
2494.5,1.0547581,1.030452,1.0246807,1.043058,1.0542725,1.0491441,1.0298134,1.0429737,1.0088674,1.0495048,1.0387619,1.0207113,0.9898526,1.0544497,1.0052433
2494.65,1.0640033,1.0301799,1.041365,1.0450172,1.0520277,1.0503545,1.0333819,1.0583528,1.0210261,1.0589208,1.0488057,1.0113979,0.99229013,1.0586761,1.0019816
2494.8,1.0514444,1.0328994,1.0271947,1.0445121,1.0661944,1.0752925,1.033315,1.0560813,1.0343821,1.0472304,1.0505536,1.0318524,1.0022163,1.0609265,1.0097149
2494.95,1.0439826,1.0327676,1.0427144,1.0509121,1.054479,1.0768757,1.0280675,1.0550087,1.0210549,1.0618129,1.0669871,1.0624783,1.0060963,1.0620328,0.9998018
2495.1,1.0681893,1.0323597,1.0471141,1.0428933,1.0712918,1.0865229,1.0328425,1.0582898,1.0157196,1.0697826,1.0663635,1.0321368,1.0146944,1.0649615,0.99388602
2495.25,1.0613556,1.0350848,1.0435278,1.0605847,1.0729776,1.0767882,1.0404302,1.0693589,1.0288031,1.0708306,1.0647811,1.04554,1.0191077,1.0610372,1.0050504
2495.4,1.0854079,1.0345927,1.0416121,1.0613926,1.081961,1.0717429,1.0383334,1.0672716,1.0213327,1.0814945,1.0635553,1.0391473,1.0247465,1.0676607,0.99956677
2495.55,1.064596,1.0375014,1.0426797,1.0616092,1.0905178,1.1155319,1.0453098,1.0592929,1.0149044,1.0792715,1.0811005,1.0290733,1.005097,1.0729856,1.0079434
2495.7,1.0676886,1.037168,1.0553837,1.0617143,1.0840542,1.1082481,1.0437458,1.0638306,1.0045545,1.0806862,1.0644517,1.0521789,1.0137643,1.0714389,1.0075956
2495.85,1.0869373,1.036475,1.0497328,1.0569552,1.0886967,1.1093547,1.0431593,1.0687196,1.0239756,1.0883439,1.0642274,1.0301211,1.0183481,1.0797636,1.0096494
2496,1.086565,1.0389412,1.0536805,1.0641488,1.0910112,1.0934606,1.0460857,1.071854,1.049458,1.0806349,1.0844063,1.062819,1.0333671,1.0829965,1.0051317
2496.15,1.0809258,1.0388552,1.0609236,1.0713742,1.0796235,1.1125202,1.0421459,1.0819834,1.0456215,1.0748925,1.076714,1.0567548,1.0139965,1.073933,0.99686518
2496.3,1.0828137,1.0366275,1.0613777,1.0539793,1.0929671,1.1114454,1.0463147,1.0732008,1.056291,1.090148,1.0816243,1.0741444,1.0254964,1.0705943,1.008149
2496.45,1.0823693,1.033387,1.0582466,1.0658441,1.0953648,1.1032346,1.0424835,1.0708215,1.0431566,1.0846562,1.0900358,1.0312286,1.0272817,1.0932937,1.0060288
2496.6,1.1012731,1.0359744,1.0604168,1.0695193,1.1059059,1.0985101,1.0443582,1.0817408,1.0528331,1.0872902,1.0878134,1.0395986,1.0360076,1.0793208,1.0015975
2496.75,1.111378,1.0370874,1.0629305,1.0605907,1.1083874,1.0988022,1.0425039,1.0681096,1.0504898,1.0831906,1.0911852,1.050271,1.0230127,1.0748404,0.99588573
2496.9,1.1029071,1.0376145,1.0742184,1.0675072,1.0967813,1.1174982,1.0454137,1.0766233,1.0377123,1.1039033,1.1051982,1.0810954,1.0424811,1.0966715,0.98667805
2497.05,1.068884,1.0327451,1.0533207,1.0638829,1.1102906,1.117941,1.0441524,1.0747826,1.0175124,1.093005,1.0874572,1.0671993,1.0469649,1.0892241,0.99094326
2497.2,1.0863925,1.0311037,1.0720522,1.0750748,1.093976,1.1078963,1.043087,1.0721146,1.0277029,1.0811308,1.0946055,1.0749309,1.0378859,1.0921251,0.99107339
2497.35,1.1103573,1.0340522,1.0709547,1.0549455,1.1094637,1.1251092,1.046214,1.0791001,1.0653881,1.0832187,1.101343,1.0517649,1.0388624,1.0915164,0.99191736
2497.5,1.1064171,1.0325041,1.0747696,1.064531,1.1135215,1.1426484,1.038375,1.0741389,1.0585677,1.0755105,1.104403,1.0654006,1.042813,1.0838502,0.9872534
2497.65,1.0986772,1.0324956,1.0625446,1.0735745,1.1186391,1.1285792,1.0476022,1.0703859,1.0665078,1.0907817,1.0855141,1.0754133,1.0511028,1.077463,0.99499123
2497.8,1.0945671,1.0331522,1.0568367,1.0661686,1.1052011,1.1178411,1.0427439,1.0727726,1.0782202,1.0920294,1.0960018,1.0696416,1.0421121,1.0860287,0.99298741
2497.95,1.1185216,1.029913,1.0688173,1.0609427,1.112815,1.1291614,1.0430187,1.0590945,1.066736,1.0887525,1.0897121,1.0422897,1.0356044,1.0930615,0.99478837
2498.1,1.1064621,1.0345227,1.0710108,1.0615944,1.1177495,1.1270911,1.0382577,1.0593644,1.0627452,1.0757678,1.1066003,1.0633624,1.0410519,1.0776728,0.99537012
2498.25,1.0988304,1.0281865,1.0661324,1.0569266,1.1134608,1.1307352,1.0360767,1.0649917,1.0468651,1.0866688,1.0921125,1.0770707,1.028364,1.0854265,0.98887099
2498.4,1.1037713,1.0286245,1.0555142,1.0676863,1.111448,1.1113038,1.0341434,1.0722426,1.0697969,1.0942928,1.0802869,1.0591025,1.0494462,1.0732813,0.97909044
2498.55,1.1166513,1.0308931,1.0563332,1.0494052,1.1114871,1.0959526,1.0332461,1.0657094,1.0444186,1.0745425,1.0807455,1.057881,1.0306197,1.0885865,0.98801284
2498.7,1.1189151,1.0284459,1.0515262,1.0676113,1.1105827,1.0944249,1.0270925,1.0546633,1.0593433,1.0927349,1.0809523,1.0387554,1.0485629,1.0772687,0.97460183
2498.85,1.0883673,1.0237739,1.0533231,1.0611709,1.1020058,1.09808,1.036349,1.0565207,1.0481853,1.0878766,1.08499,1.0702771,1.0345444,1.0748372,0.98102629
2499,1.1046607,1.0236817,1.0475319,1.0527634,1.1095389,1.1277106,1.0284116,1.0548049,1.0525475,1.0721561,1.0755089,1.0482447,1.0313288,1.0745121,0.980875
2499.15,1.0930235,1.0215624,1.0600293,1.0488787,1.0900465,1.0960684,1.0234514,1.05549,1.0625936,1.0755724,1.0884478,1.0516911,1.030703,1.0700786,0.97999814
2499.3,1.0821276,1.0204676,1.0625041,1.0561338,1.0922827,1.0989624,1.0205356,1.0484495,1.0706243,1.0689493,1.082227,1.0562927,1.0492359,1.0604357,0.98260564
2499.45,1.0946832,1.0143442,1.04075,1.0491412,1.0993551,1.0862943,1.0224303,1.0529389,1.0444538,1.0782532,1.0766257,1.0567674,1.0187626,1.0552947,0.97435738
2499.6,1.1053854,1.0156548,1.0399584,1.0496274,1.074042,1.086223,1.0221191,1.0452006,1.0501314,1.0616985,1.0690979,1.0390419,1.0332525,1.0490677,0.97856197
2499.75,1.089964,1.013295,1.0378356,1.0424211,1.0887798,1.0876193,1.0176554,1.0407514,1.039021,1.0582108,1.0610482,1.0172079,1.0315031,1.0546136,0.97231025
2499.9,1.0953837,1.0114831,1.047112,1.039806,1.0828977,1.0790304,1.0177189,1.0516691,1.0292273,1.0544119,1.0552659,0.98651167,1.0227985,1.0599081,0.96169793
2500.05,1.0785465,1.0113789,1.0284021,1.0325979,1.0855752,1.0705833,1.0107142,1.0297613,1.0380567,1.0429854,1.0533771,1.0248973,1.0372261,1.0501063,0.96685139
2500.2,1.0758213,1.0052362,1.0341966,1.03279,1.0837653,1.0973741,1.0138766,1.027866,1.0327158,1.0670664,1.0580708,1.0025307,1.0264363,1.0465844,0.97082877
2500.35,1.0808395,1.0093074,1.0218199,1.0326185,1.0638497,1.074163,1.0084795,1.0155929,1.0033779,1.0473597,1.0512466,1.0394866,1.0201598,1.0465629,0.9538008
2500.5,1.062401,1.0044056,1.0207081,1.0229721,1.0663986,1.0622959,1.0101753,1.0221772,1.042047,1.0492842,1.0508852,0.98795875,1.0278017,1.0376935,0.96004934
2500.65,1.0615396,1.0017984,1.0114451,1.0273902,1.0601564,1.0708366,1.0057576,1.0210827,1.0341632,1.0491732,1.0464665,0.97727577,1.0185965,1.0370242,0.95411136
2500.8,1.0590409,1.004836,1.0120064,1.0242627,1.0605726,1.0387302,0.999914,1.0122251,1.0111764,1.0271125,1.0486673,0.96925427,1.0154579,1.0334257,0.96031646
2500.95,1.0537261,0.99705262,1.0150902,1.0086962,1.0446862,1.0521041,0.99033529,1.0171844,1.000909,1.0295155,1.0358666,0.94063523,1.0056465,1.027686,0.95143689
2501.1,1.0479529,0.99432108,1.0084176,1.0157556,1.059161,1.0475658,0.99353406,1.0081629,1.0322942,1.0228268,1.0467546,0.98586878,1.0183101,1.0177296,0.94777202
2501.25,1.034663,0.99597611,1.0085959,1.0190696,1.0464204,1.04173,1.0026824,0.99756636,1.0010969,1.0177727,1.0284792,0.95830138,1.029147,1.0210532,0.94828702
2501.4,1.0431101,0.99523623,1.0088563,1.0188832,1.0440728,1.0353336,0.99066711,0.99754742,1.0054806,1.0124868,1.04667,0.95960811,1.0074471,1.021456,0.95384036
2501.55,1.0442257,0.9916912,1.0097047,1.0105243,1.0323305,1.0352277,0.98521159,0.99262058,0.9985659,1.0133533,1.0330417,0.95776415,1.0031426,1.0207963,0.95023581
2501.7,1.0225488,0.99198216,0.97607222,1.0114434,1.0439306,1.037728,0.98775972,0.99861321,0.99720287,1.0159935,1.0165029,0.95258129,0.99578489,1.0109779,0.95535971
2501.85,1.0254613,0.98923831,0.98749823,1.0040429,1.0524884,1.0466166,0.98549623,0.98637445,1.0076667,1.005463,1.0091922,0.94105331,0.99282832,1.0136503,0.95705394
2502,1.0255935,0.9892966,0.990377,0.99849797,1.0275979,1.0295872,0.97790918,0.99131494,1.0036823,1.0022268,1.0073141,0.90496142,1.0214017,1.0088844,0.95383136
2502.75,1.0207098,0.98251874,0.99797176,1.0011272,1.0320087,1.029224,0.97883797,0.98388181,0.99807334,0.98898808,1.003001,0.92000473,1.0077642,0.9996348,0.9453235
2503.5,1.0130305,0.97590467,0.97889873,0.99188637,1.0212004,1.0031441,0.9684985,0.9769529,0.99447601,0.98764716,1.0020777,0.86605779,0.99858387,0.99230565,0.93957974
2504.25,0.99649566,0.97362466,0.9646262,0.98459624,1.0072358,0.9947209,0.94905816,0.96141798,0.9708743,0.96714971,0.98791228,0.88562013,0.98569529,0.97800411,0.94644104
2505,0.99183334,0.96812297,0.9647421,0.97294745,0.98417701,0.95344352,0.94847566,0.9472958,1.0030419,0.95929239,0.9801505,0.87985479,0.98672561,0.96347452,0.94860654
2505.75,0.98105457,0.96162619,0.95034734,0.96202624,0.96718747,0.94860208,0.93343756,0.93035282,0.98198514,0.938873,0.96220774,0.84458665,0.98799549,0.95404967,0.95074697
2506.5,0.94861597,0.95805271,0.94503691,0.95476829,0.95580576,0.94570824,0.93690428,0.93007394,0.95183676,0.93203114,0.95446223,0.86840813,0.97843461,0.93599827,0.94288173
2507.25,0.96035169,0.9570769,0.93728761,0.94529348,0.94531238,0.93274499,0.92958377,0.91857274,0.95883321,0.92242384,0.9381566,0.83429845,0.97053276,0.92549747,0.95443993
2508,0.95970006,0.95046785,0.93763075,0.93974465,0.94531767,0.92875538,0.92575397,0.91202941,0.94509007,0.92205142,0.93942864,0.82403164,0.96991182,0.9345398,0.95485185
2508.75,0.94555416,0.9465714,0.94050132,0.94569023,0.95245039,0.92593247,0.93033036,0.91636184,0.96227926,0.91859834,0.93872896,0.82906639,0.97503514,0.93634775,0.95899271
2509.5,0.95051443,0.94538823,0.92095851,0.93636495,0.93808287,0.93462512,0.93749452,0.91495589,0.96005394,0.91268621,0.93376262,0.85338736,0.96186106,0.93141188,0.95454532
2510.25,0.94044616,0.94618269,0.93245202,0.92963593,0.91496434,0.93092817,0.93607726,0.90772257,0.96884589,0.92329218,0.93154806,0.8643954,0.96997347,0.91679265,0.96120651
2511,0.93952681,0.94843981,0.94743531,0.93555591,0.92846329,0.92934716,0.93867218,0.91876436,0.95396967,0.91931458,0.93248012,0.87569987,0.96136821,0.92619112,0.9578101
2511.75,0.92819715,0.94716149,0.9439722,0.94533233,0.92909184,0.9214418,0.94897719,0.9291224,0.9713545,0.92856584,0.94229818,0.85698064,0.96463455,0.93168731,0.96288205
2512.5,0.95025565,0.95357714,0.93898976,0.94392751,0.92101474,0.91515905,0.95464131,0.9252703,0.97465116,0.92548937,0.94040162,0.90559098,0.97971782,0.92912755,0.9719179
2513.25,0.95028878,0.9506752,0.94379248,0.95054666,0.93378555,0.91517277,0.9581941,0.93184283,0.95010607,0.93118039,0.9475613,0.91194357,0.98300943,0.93618682,0.97840904
2514,0.92233969,0.95739547,0.96076847,0.95191383,0.9248576,0.92542742,0.96321008,0.9420276,0.9555573,0.93160318,0.94738228,0.93421585,0.99172458,0.93263796,0.99560554
2514.75,0.96229446,0.96618629,0.95500804,0.9559899,0.95333808,0.93163842,0.96268307,0.94007684,0.97041676,0.95633092,0.95395704,0.92509877,0.99611716,0.94339413,1.0000076
2515.5,0.93945786,0.96759157,0.97195668,0.95731686,0.94208816,0.94659189,0.96889889,0.94654165,0.98066054,0.94384311,0.94987133,0.94861278,0.98720987,0.95129958,1.0013888
2516.25,0.96093458,0.97021793,0.96956748,0.96545227,0.94025383,0.93578182,0.97578433,0.96063839,0.99255757,0.93357157,0.96891365,0.94873356,0.99362121,0.94519288,1.017908
2517,0.93964253,0.96979134,0.97725218,0.96046328,0.9571092,0.93414788,0.976292,0.94871728,0.99679118,0.95134049,0.96518586,0.96960517,1.0048988,0.95128041,1.0277924
2517.75,0.95495132,0.9791317,0.97276487,0.96357422,0.95038302,0.95832494,0.98565318,0.96097667,0.99970793,0.94505736,0.97311935,0.97606383,0.9851432,0.96011448,1.0381368
