energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2469,5.42E-02,0.15592376,3.21E-02,3.88E-02,1.25E-02,5.03E-02,3.77E-02,3.59E-02,8.41E-02,3.92E-02,4.22E-02,9.55E-02,7.60E-02,3.05E-02,0.22065273
2469.15,5.41E-02,0.1690837,3.83E-02,4.16E-02,1.54E-02,5.99E-02,4.37E-02,3.81E-02,8.58E-02,4.35E-02,4.68E-02,9.29E-02,8.39E-02,3.10E-02,0.24309176
2469.3,5.35E-02,0.17877618,4.83E-02,4.39E-02,3.09E-02,5.89E-02,4.71E-02,3.72E-02,0.10214616,4.26E-02,4.91E-02,0.10294587,9.57E-02,4.01E-02,0.25730865
2469.45,6.84E-02,0.18736051,4.69E-02,4.76E-02,3.15E-02,5.93E-02,5.15E-02,4.43E-02,0.11140732,4.79E-02,6.82E-02,0.10275821,9.78E-02,4.35E-02,0.27974337
2469.6,6.77E-02,0.19754355,4.82E-02,5.31E-02,4.68E-02,6.15E-02,5.34E-02,4.68E-02,0.11921793,5.37E-02,6.63E-02,0.13345065,0.10266293,4.44E-02,0.30958601
2469.75,8.04E-02,0.21187859,6.17E-02,5.96E-02,5.35E-02,8.81E-02,6.53E-02,5.64E-02,0.1248127,6.06E-02,7.05E-02,0.14131815,0.11403748,5.05E-02,0.34763947
2469.9,9.03E-02,0.22969704,6.43E-02,6.30E-02,6.26E-02,8.48E-02,7.06E-02,6.29E-02,0.14526624,5.97E-02,9.08E-02,0.15333592,0.12641633,5.26E-02,0.39939956
2470.05,0.10110311,0.25202814,7.96E-02,7.72E-02,7.74E-02,9.91E-02,8.24E-02,6.70E-02,0.15285847,7.35E-02,0.11290688,0.16918956,0.15029017,5.69E-02,0.45121063
2470.2,0.12630514,0.27725992,8.96E-02,7.97E-02,0.104583,0.11438586,9.61E-02,7.89E-02,0.1782064,8.11E-02,0.13841471,0.18993489,0.16066136,7.43E-02,0.52851593
2470.35,0.15155711,0.31871997,0.11044071,9.60E-02,0.14687929,0.14133188,0.11819695,9.66E-02,0.20659244,9.04E-02,0.16428727,0.24384719,0.17998312,8.80E-02,0.63416091
2470.5,0.18987139,0.3717995,0.12620361,0.10406358,0.18770809,0.16300539,0.14757526,0.11932934,0.25670825,0.11281616,0.20689528,0.30403959,0.21396415,9.42E-02,0.75025145
2470.65,0.24166244,0.43583667,0.15582891,0.12875785,0.24551014,0.20789609,0.18277025,0.14821738,0.32451501,0.13314978,0.25733534,0.36581572,0.26262295,0.1160998,0.87999418
2470.8,0.30312885,0.51363734,0.19817525,0.14939664,0.3240523,0.26100571,0.23836046,0.18914186,0.39742448,0.16118155,0.33127689,0.44224056,0.30855196,0.14735389,1.0370546
2470.95,0.36658432,0.60240887,0.24772097,0.19896359,0.39924583,0.33077161,0.31698256,0.25496447,0.49699184,0.20192934,0.42061202,0.512855,0.38149513,0.18270343,1.1575932
2471.1,0.4515256,0.700448,0.31411541,0.24984478,0.50092015,0.38823369,0.41405772,0.31858913,0.5980742,0.24775784,0.52519134,0.63007329,0.47953994,0.2326196,1.2706251
2471.25,0.53534707,0.81591999,0.38972333,0.30498616,0.602232,0.45470718,0.53164597,0.42318641,0.71615994,0.31226217,0.61383445,0.76842115,0.61766154,0.29199379,1.3764876
2471.4,0.62416776,0.92709124,0.48592849,0.38781821,0.67299877,0.51963023,0.66102772,0.51814271,0.81142602,0.38772288,0.73705663,0.83711581,0.68592993,0.36543379,1.4494214
2471.55,0.72747639,1.0498015,0.57418108,0.4412863,0.80400525,0.63280212,0.78054641,0.63005658,0.91943718,0.47638648,0.87627025,0.93489779,0.77685216,0.44537142,1.5116612
2471.7,0.8550603,1.113941,0.66480281,0.51326107,0.84043579,0.68470124,0.8857199,0.71906375,1.0105099,0.5550086,0.92147504,1.0176974,0.8802002,0.52421169,1.526876
2471.85,0.86860445,1.1797664,0.74683067,0.59033579,0.89605227,0.70249074,0.96123508,0.79060757,1.0989652,0.61930638,1.0012747,1.1345435,0.97180621,0.58375934,1.5317893
2472,0.90886428,1.2114593,0.81339127,0.66039332,0.9379993,0.73146237,1.0130263,0.83241358,1.1512246,0.68632627,1.046279,1.1774276,1.0702411,0.6596256,1.528294
2472.15,0.9474354,1.2351765,0.88071854,0.71401791,0.974551,0.74930841,1.0545162,0.86144716,1.2022324,0.72160181,1.067905,1.217393,1.1557403,0.70062939,1.5052516
2472.3,0.93229713,1.2350049,0.91427576,0.77526229,1.0089745,0.77858123,1.0725579,0.87494526,1.2324046,0.74580102,1.0773933,1.2752281,1.1920908,0.73042505,1.4618669
2472.45,0.93865909,1.2137967,0.9620811,0.83126087,1.0173322,0.78064596,1.092837,0.87921294,1.2542625,0.78031628,1.0830996,1.284366,1.2559215,0.77526068,1.4293775
2472.6,0.94981948,1.1902921,0.99289152,0.92760959,1.0312134,0.81592853,1.1339375,0.88522275,1.2774219,0.81655774,1.0763225,1.2616056,1.2795947,0.8326801,1.3790739
2472.75,0.99824486,1.16406,1.0751165,1.0304489,1.0547553,0.7966571,1.1924172,0.89414076,1.3139506,0.87166113,1.0787999,1.3235112,1.3206092,0.87910908,1.345424
2472.9,1.0115934,1.149684,1.1374046,1.1407675,1.0811682,0.85576075,1.2785236,0.94631676,1.3231264,0.92348407,1.1101453,1.361875,1.3428615,0.94003178,1.3111782
2473.05,1.0189284,1.1283029,1.2262564,1.2587949,1.104818,0.89316622,1.3819512,0.98338189,1.3583975,0.98617486,1.1298531,1.377569,1.3693472,1.0252397,1.2838125
2473.2,1.0371731,1.1172224,1.304957,1.3351355,1.1338764,0.89929395,1.4485399,1.0191435,1.3521851,1.0348434,1.1477632,1.392907,1.4018276,1.0847717,1.2431123
