GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2473.35,0.99745152,2473.35,0.9922401,2473.35,0.96785298,2473.35,1.0262152,2473.35,1.0390778
2473.5,0.93061926,2473.5,0.9085673,2473.5,0.91359253,2473.5,0.95807889,2473.5,0.96017273
2473.65,0.84496386,2473.65,0.84340228,2473.65,0.81914182,2473.65,0.85940618,2473.65,0.8813658
2473.8,0.77468763,2473.8,0.76540302,2473.8,0.75018696,2473.8,0.80690842,2473.8,0.79040944
2473.95,0.71314435,2473.95,0.69924183,2473.95,0.67495951,2473.95,0.74362889,2473.95,0.72888095
2474.1,0.65488144,2474.1,0.64795213,2474.1,0.61890558,2474.1,0.68782377,2474.1,0.6709546
2474.25,0.60961627,2474.25,0.59755498,2474.25,0.57332185,2474.25,0.64633388,2474.25,0.62797483
2474.4,0.57730757,2474.4,0.57035664,2474.4,0.53984505,2474.4,0.60683695,2474.4,0.59563441
2474.55,0.55053395,2474.55,0.54603872,2474.55,0.50755957,2474.55,0.58463938,2474.55,0.56430986
2474.7,0.53886688,2474.7,0.52069237,2474.7,0.50725762,2474.7,0.56632327,2474.7,0.54436576
2474.85,0.52050789,2474.85,0.50614163,2474.85,0.49060921,2474.85,0.55085406,2474.85,0.52999459
2475,0.50926229,2475,0.50061728,2475,0.487385,2475,0.53550221,2475,0.51917247
2475.15,0.4979489,2475.15,0.49247925,2475.15,0.48863358,2475.15,0.52671499,2475.15,0.5138771
2475.3,0.4913144,2475.3,0.48575668,2475.3,0.47046857,2475.3,0.51936834,2475.3,0.50818112
2475.45,0.49564102,2475.45,0.48508211,2475.45,0.47955411,2475.45,0.51771478,2475.45,0.50903255
2475.6,0.49170627,2475.6,0.48749337,2475.6,0.48244915,2475.6,0.52005003,2475.6,0.50981025
2475.75,0.50404374,2475.75,0.49420948,2475.75,0.4880209,2475.75,0.52504046,2475.75,0.52080491
2475.9,0.51569006,2475.9,0.50792388,2475.9,0.49722498,2475.9,0.54415042,2475.9,0.53309757
2476.05,0.53574659,2476.05,0.5390682,2476.05,0.51913612,2476.05,0.57293175,2476.05,0.56534042
2476.2,0.57074756,2476.2,0.57062761,2476.2,0.54000151,2476.2,0.60859118,2476.2,0.59575253
2476.35,0.60761419,2476.35,0.61544913,2476.35,0.58019524,2476.35,0.67011785,2476.35,0.63861186
2476.5,0.67220931,2476.5,0.66993487,2476.5,0.6253464,2476.5,0.72218029,2476.5,0.69482706
2476.65,0.73389689,2476.65,0.72754354,2476.65,0.67360991,2476.65,0.78345305,2476.65,0.74551154
2476.8,0.77774723,2476.8,0.77079891,2476.8,0.71041163,2476.8,0.82314653,2476.8,0.78956527
2476.95,0.81003371,2476.95,0.80328578,2476.95,0.73708845,2476.95,0.85224968,2476.95,0.82324108
2477.1,0.8340205,2477.1,0.83418223,2477.1,0.7520295,2477.1,0.88453641,2477.1,0.84871772
2477.25,0.84307612,2477.25,0.84424568,2477.25,0.77205627,2477.25,0.88768302,2477.25,0.86469182
2477.4,0.85502896,2477.4,0.85162017,2477.4,0.78399082,2477.4,0.90314649,2477.4,0.86914373
2477.55,0.86849378,2477.55,0.86408199,2477.55,0.78864703,2477.55,0.91432436,2477.55,0.88543546
2477.7,0.87582079,2477.7,0.87180277,2477.7,0.80918503,2477.7,0.92546858,2477.7,0.90690375
2477.85,0.89585521,2477.85,0.89141407,2477.85,0.82018082,2477.85,0.93810452,2477.85,0.91079949
2478,0.90172034,2478,0.90366905,2478,0.84102518,2478,0.95259166,2478,0.92940361
2478.15,0.91774197,2478.15,0.91554307,2478.15,0.84911097,2478.15,0.96929544,2478.15,0.93619531
2478.3,0.92571297,2478.3,0.92874522,2478.3,0.86744578,2478.3,0.98423172,2478.3,0.94803564
2478.45,0.94829094,2478.45,0.94983097,2478.45,0.87851554,2478.45,0.99641405,2478.45,0.97094052
2478.6,0.96527487,2478.6,0.96252518,2478.6,0.90849014,2478.6,1.0107995,2478.6,0.98421846
2478.75,0.98310764,2478.75,0.98961562,2478.75,0.92766926,2478.75,1.0197477,2478.75,1.0002217
2478.9,0.99151189,2478.9,0.99443855,2478.9,0.94479742,2478.9,1.0349528,2478.9,1.0138783
2479.05,0.99789428,2479.05,0.99988002,2479.05,0.96794723,2479.05,1.0536855,2479.05,1.0226107
2479.2,1.0217573,2479.2,1.0177749,2479.2,0.96434307,2479.2,1.0567134,2479.2,1.0384144
