Plot,Treatment,Collar,DateTime,gC.m2.hr,DateTime
3,H,C,5/29/14 16:06,0.251728196,5/29/14
3,H,D,5/29/14 16:12,0.164596206,5/29/14
3,H,E,5/29/14 16:17,0.147840094,5/29/14
3,H,F,5/29/14 16:23,0.142437702,5/29/14
3,H,G,5/29/14 16:28,0.122921827,5/29/14
1,C,A,6/24/14 16:23,0.095089283,6/24/14
1,C,B,6/24/14 16:02,0.11052602,6/24/14
1,C,C,6/24/14 16:07,0.197234205,6/24/14
1,C,D,6/24/14 16:12,0.17674001,6/24/14
1,C,E,6/24/14 16:17,0.209302387,6/24/14
1,C,F,6/24/14 16:28,0.135619415,6/24/14
1,C,G,6/24/14 16:34,0.205544567,6/24/14
1,H,A,6/24/14 15:19,0.271747085,6/24/14
1,H,B,6/24/14 15:25,0.228930925,6/24/14
1,H,C,6/24/14 15:30,0.203908406,6/24/14
1,H,D,6/24/14 15:35,0.175933667,6/24/14
1,H,E,6/24/14 15:41,0.293943589,6/24/14
1,H,F,6/24/14 15:46,0.155921654,6/24/14
2,H,G,6/24/14 15:51,0.31811746,6/24/14
2,C,A,6/24/14 12:44,0.152946455,6/24/14
2,C,B,6/24/14 12:51,0.083210147,6/24/14
2,C,D,6/24/14 13:01,0.066329585,6/24/14
2,C,E,6/24/14 13:06,0.139924707,6/24/14
2,C,F,6/24/14 13:12,0.105389404,6/24/14
2,C,G,6/24/14 13:18,0.100349348,6/24/14
2,H,A,6/24/14 12:05,0.109003898,6/24/14
2,H,B,6/24/14 12:11,0.109788427,6/24/14
2,H,D,6/24/14 12:16,0.064922314,6/24/14
2,H,D,6/24/14 13:23,0.133241238,6/24/14
2,H,E,6/24/14 12:27,0.126178837,6/24/14
2,H,F,6/24/14 12:34,0.084285533,6/24/14
2,H,G,6/24/14 12:39,0.094152711,6/24/14
3,C,A,6/24/14 14:35,0.205979007,6/24/14
3,C,B,6/24/14 14:41,0.19097203,6/24/14
3,C,C,6/24/14 14:46,0.102470089,6/24/14
3,C,D,6/24/14 14:51,0.15641522,6/24/14
3,C,E,6/24/14 14:56,0.157948051,6/24/14
3,C,F,6/24/14 15:02,0.126595055,6/24/14
3,C,F,6/24/14 15:12,0.132581931,6/24/14
3,C,G,6/24/14 15:07,0.152248431,6/24/14
3,H,A,6/24/14 13:56,0.128297067,6/24/14
3,H,B,6/24/14 14:01,0.200184862,6/24/14
3,H,C,6/24/14 14:07,0.210472944,6/24/14
3,H,D,6/24/14 14:12,0.198439088,6/24/14
3,H,E,6/24/14 14:17,0.142901146,6/24/14
3,H,F,6/24/14 14:23,0.159389108,6/24/14
3,H,G,6/24/14 14:29,0.125896428,6/24/14
1,C,A,7/28/14 17:02,0.121128626,7/28/14
1,C,B,7/28/14 17:11,0.124553377,7/28/14
1,C,C,7/28/14 17:19,0.119652903,7/28/14
1,C,D,7/28/14 17:28,0.1645855,7/28/14
1,C,E,7/28/14 17:36,0.212818586,7/28/14
1,C,G,7/28/14 17:53,0.152044247,7/28/14
1,H,A,7/28/14 16:00,0.31947452,7/28/14
1,H,B,7/28/14 16:09,0.299556924,7/28/14
1,H,C,7/28/14 16:19,0.346157448,7/28/14
1,H,D,7/28/14 16:27,0.218010104,7/28/14
1,H,E,7/28/14 16:37,0.377964526,7/28/14
1,H,F,7/28/14 16:45,0.182741314,7/28/14
1,H,G,7/28/14 16:54,0.213441072,7/28/14
2,C,C,7/29/14 10:01,0.131321326,7/29/14
2,C,F,7/29/14 10:25,0.125915016,7/29/14
2,C,G,7/29/14 10:35,0.086493096,7/29/14
2,H,A,7/29/14 8:34,0.165810631,7/29/14
2,H,E,7/29/14 9:07,0.161114767,7/29/14
2,H,F,7/29/14 9:16,0.137160128,7/29/14
2,H,G,7/29/14 9:24,0.103068029,7/29/14
3,C,A,7/29/14 11:51,0.148013549,7/29/14
3,C,B,7/29/14 12:12,0.113101633,7/29/14
3,C,D,7/29/14 12:28,0.103167884,7/29/14
3,C,G,7/29/14 12:53,0.103651487,7/29/14
3,H,A,7/29/14 10:50,0.107785652,7/29/14
3,H,C,7/29/14 11:06,0.12831603,7/29/14
3,H,E,7/29/14 11:23,0.094758759,7/29/14
3,H,F,7/29/14 11:31,0.109597363,7/29/14
3,H,G,7/29/14 11:40,0.151932121,7/29/14
1,C,A,9/3/14 13:23,0.07771098,9/3/14
1,C,B,9/3/14 13:33,0.102546956,9/3/14
1,C,C,9/3/14 13:42,0.170637656,9/3/14
1,C,D,9/3/14 13:51,0.106825086,9/3/14
1,C,E,9/3/14 14:00,0.132662685,9/3/14
1,C,F,9/3/14 14:10,0.078853044,9/3/14
1,C,G,9/3/14 14:21,0.089517046,9/3/14
1,H,A,9/3/14 12:03,0.294886605,9/3/14
1,H,B,9/3/14 12:12,0.213457126,9/3/14
1,H,C,9/3/14 12:44,0.118596986,9/3/14
1,H,D,9/3/14 12:32,0.133395816,9/3/14
1,H,E,9/3/14 12:54,0.345734207,9/3/14
1,H,F,9/3/14 13:05,0.174669503,9/3/14
1,H,G,9/3/14 13:14,0.227342763,9/3/14
2,C,A,9/3/14 15:58,0.10341279,9/3/14
2,C,B,9/3/14 16:59,0.108235387,9/3/14
2,C,C,9/3/14 16:24,0.08676149,9/3/14
2,C,D,9/3/14 16:34,0.185595815,9/3/14
2,C,E,9/3/14 16:49,0.165811918,9/3/14
2,C,F,9/3/14 17:14,0.102000595,9/3/14
2,C,G,9/3/14 17:27,0.084466301,9/3/14
2,H,A,9/3/14 14:32,0.102306211,9/3/14
2,H,B,9/3/14 14:42,0.094245467,9/3/14
