Lab-ID,Plot,Treatment,Block,Sampling Depth,Depth,pH,PLFA_Data_nmol_per_g_soil,iC14:0_nmol_per_g_soil,aC14:0_nmol_per_g_soil,C14:0_nmol_per_g_soil,iC15:0_nmol_per_g_soil,aC15:0_nmol_per_g_soil,C15:0_nmol_per_g_soil,iC16:0_nmol_per_g_soil,aC16:0_nmol_per_g_soil,C16:1w7c_nmol_per_g_soil,C16:1w9c_nmol_per_g_soil,C16:1w5c_nmol_per_g_soil,C16:0_nmol_per_g_soil,10MeC16:0_nmol_per_g_soil,iC17:0_nmol_per_g_soil,aC17:0_nmol_per_g_soil,cyC17:0_nmol_per_g_soil,C17:0_nmol_per_g_soil,C18:2w6c_nmol_per_g_soil,C18:1w5c_nmol_per_g_soil,C18:1w11c_nmol_per_g_soil,C18:0_nmol_per_g_soil,10MeC18:0_nmol_per_g_soil,cyC19:0_nmol_per_g_soil,C20:0_nmol_per_g_soil,brGDGT_Data_ng_per_g_soil,IIIa_1050a_ng_per_g_soil,IIIa'_1050b_ng_per_g_soil,IIIb_1048a_ng_per_g_soil,IIIb'_1048b_ng_per_g_soil,IIIc_1046a_ng_per_g_soil,IIIc'_1046b_ng_per_g_soil,IIa_1036a_ng_per_g_soil,IIa'_1036b_ng_per_g_soil,IIb_1034a_ng_per_g_soil,IIb'_1034b_ng_per_g_soil,IIc_1032a_ng_per_g_soil,IIc'_1032b_ng_per_g_soil,Ia_1022_ng_per_g_soil,Ib_1020_ng_per_g_soil,Ic_1018_ng_per_g_soil
176B18NO59,3C,Control,3,78-88.5,-85,5.58,,0.009876332,0.006645338,0.059912159,0.066825961,0.048793565,0.014417973,0.038434122,0.003925321,0,0.018941805,0.013393066,0.970000432,0.060993006,0.018850655,0.024000964,0.033552751,0.030036037,0.029484489,0.068023181,0.03733283,1.149210406,0.012299741,0.126398304,0.030383823,,0.121567778,0.262779154,0,0,0,0,0.237246742,1.040657088,0.069836149,0.142269734,0,0,0.964269197,0.260922181,0.028529156
176B18NO62,3H,Heated,3,0-10,-5,,,0.250990118,0.106705093,1.512245101,1.86219167,1.167163377,1.015875778,0.862109218,0.169278177,0.126831654,1.457928,0.811897125,11.94196605,0.767341848,0.460036386,0.848053037,1.268268306,0.420958463,0.875844161,4.096049848,3.208737717,6.078897871,0.345610207,2.553489135,0.671029472,,0.534774721,1.04489632,0.106533923,0.068875928,0.177748857,0.078185171,0.968644727,4.106343209,0.246874279,0.384984782,0.037455282,0,3.674126101,0.745456782,0.023327686
176B18NO63,3H,Heated,3,10-19.5,-15,5,,0.125137787,0.055022754,0.814458448,1.333240813,0.752825994,0.496172363,0.884691543,0.108391255,0.052026088,0.67816232,0.419948764,8.77174583,0.986133384,0.373832045,0.650763678,1.26098164,0.274820165,0.48501298,2.477163199,1.945947291,3.233967776,0.592845869,2.973164419,0.769571573,,4.1362066,2.999259625,0,0,0,0,6.972874657,10.21220878,0.664566967,0.80426549,0,0,10.69297866,2.377199217,0.204795646
176B18NO64,3H,Heated,3,19.5-30,-25,4.66,,0.050994556,0.045546998,0.533119651,0.674544183,0.395405143,0.036665914,0.410539431,0.025758613,0.009630659,0.126868158,0.102546119,3.990343432,0.571932412,0.217363535,0.250642087,0.542311287,0.134541885,0.053522682,0.51087915,0.654888505,2.467276517,0.298858295,1.858594165,0.173196082,,7.422005068,5.680092041,0.154382686,0.653678297,0.734556932,0.341437198,19.45508972,20.803611,0.229428146,0.629771346,1.553649567,1.556581266,30.05995319,1.29354436,0
176B18NO65,3H,Heated,3,30-39.5,-35,4.72,,0.017809302,0.022078796,0.112007127,0.230266403,0.136363678,0.066570632,0.189011359,0.011847562,0,0.089288543,0.059957189,2.963693861,0.214219865,0.073313326,0.086657131,0.198144016,0.059046778,0.079577888,0.342849319,0.329671227,2.833190889,0.045950376,0.962152772,0.075460706,,1.168384912,0.425959994,0,0,0,0,3.169982352,2.551917512,0.443408414,2.164162312,0,0,5.803191208,0.267326658,0.176253983
176B18NO66,3H,Heated,3,39.5-49.5,-45,4.74,,0.008314411,0.01160232,0.054716807,0.056201571,0.03622342,0.03012649,0.059047916,0,0,0.017149053,0,0.966447882,0.068610547,0.026785383,0.025466631,0.042555519,0.03448414,0.009281159,0.038126698,0.023763977,1.067028035,0,0.244753535,0.025624551,,1.130792619,0.329800224,0,0,0,0,2.926150245,1.897155582,0.613555798,2.301971272,1.356835194,2.019260869,5.358857625,0.323659849,0.146552474
176B18NO67,3H,Heated,3,49.5-60,-55,4.56,,0.009163157,0.009407611,0.113663579,0.104559997,0.057289619,0.034885553,0.08322021,0.005762672,0.001490045,0.045557597,0.018495241,2.646703345,0.106339853,0.039585151,0.039333583,0.056083952,0.03258147,0.052154023,0.150879141,0.060809778,2.673537424,0.03659766,0.255107759,0.053631808,,0.670146621,0.173049783,0,0,0,0,1.437941447,0.672084457,0.131578748,0.472336713,0,0,1.71317444,0.061217553,0.0597784
176B18NO68,3H,Heated,3,60-69,-65,4.47,,0.027420255,0.03548705,0.095309663,0.29300471,0.162238898,0.060895779,0.234079463,0.015319706,0,0.08819731,0.038465697,1.249712508,0.322586344,0.101642243,0.094681629,0.133833963,0.042452971,0.074084035,0.253552457,0.163733743,0.619723236,0.038085801,0.62537865,0.062112523,,1.696982241,0.402060351,0.130337113,0.093655031,0.32270404,0.075218877,3.761340133,1.438955338,0.106241709,0.113866636,0.044275305,0,3.777636235,0.074410412,0.025664776
176B18NO69,3H,Heated,3,69-80,-75,4.39,,0.012945288,0.003539357,0.072129908,0.13023151,0.062588135,0.036464724,0.122637678,0.005763112,0,0.029700728,0.016140499,0.817875114,0.170364304,0.055929416,0.041523332,0.05876145,0.037394272,0.033210402,0.110656314,0.036835912,0.649488967,0.016163906,0.239670005,0.044580946,,0.272455848,0.086994792,0.080317034,0.05864498,0.172295061,0,0.47130029,0.221358183,0.077362768,0.040406564,0.037836909,0,0.477370472,0.052078704,0.021092349
176B18NO70,3H,Heated,3,80-90,-85,4.38,,0.004710561,0.007609719,0.067379286,0.048244186,0.026955911,0.020745085,0.037184595,0.003286498,0,0.015490733,0.010051641,0.7584246,0.052615071,0.018528233,0.015776437,0.01861266,0.024100979,0.010374563,0.060519325,0.015767481,0.869177803,0.008043965,0.099116958,0.025879384,,0.500833874,0.097047182,0.099647865,0.074051993,0.22438864,0,0.962430558,0.352594947,0.184482878,0.384434912,0.288209644,0,0.975722256,0.054332192,0.027454379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742544802,0.165832853,0.183300274,0.10608193,0.375327081,0.037374827,1.523497835,0.43611141,0.058129051,0.160967236,0.076213644,0.125544397,1.412765582,0.061918204,0.018630002
