Sample,Litter,Horizon,Days,Fraction,per.apC,per.apN,CN
3,Needle,A,1724,DF,1.930332174,6.251979996,22.84645657
4,Needle,A,1724,DF,1.921640461,6.434937858,17.30144419
2,Needle,A,3603,DF,3.469038183,12.35358005,11.75855808
3,Needle,A,3603,DF,4.969113516,15.93012438,12.50172975
4,Needle,A,3603,DF,3.582354042,12.27054719,11.76339212
1,Needle,A,3603,DF,7.77866828,20.72790522,12.45855167
1,Root,A,152,DF,2.44281171,9.485147429,20.64859674
2,Root,A,152,DF,1.418855381,5.75279326,15.9714872
3,Root,A,152,DF,1.500149213,8.048513715,11.45575499
4,Root,A,152,DF,1.537295412,8.184021627,18.65708088
1,Root,A,294,DF,2.111239295,9.711134249,16.42278281
2,Root,A,294,DF,3.692156549,9.758045759,36.39366703
3,Root,A,294,DF,1.560489097,8.143347296,21.7316675
4,Root,A,294,DF,1.039809806,8.593762847,16.94178958
1,Root,A,568,DF,2.903400506,13.35485844,30.60585927
2,Root,A,568,DF,1.989554527,10.93555944,23.17483444
3,Root,A,568,DF,5.815555535,15.45834032,28.83034903
4,Root,A,568,DF,2.172394736,12.55650547,26.69642032
1,Root,A,1724,DF,1.517382481,6.83484903,25.1899585
2,Root,A,1724,DF,1.589921225,7.070537037,32.65116504
3,Root,A,1724,DF,1.546672133,7.238744998,27.27501321
4,Root,A,1724,DF,NA,NA,NA
2,Root,A,3603,DF,3.908034157,16.49449119,12.45855178
3,Root,A,3603,DF,3.539869308,16.54797897,11.9656391
4,Root,A,3603,DF,6.417193702,18.87885307,15.39273034
1,Root,A,3603,DF,3.265634599,14.7846961,11.75855801
1,Needle,A,152,FLF,5.915006114,7.83176335,29.45728849
2,Needle,A,152,FLF,2.476729135,2.768458927,34.89004483
3,Needle,A,152,FLF,2.59763184,3.497015368,28.95020114
4,Needle,A,152,FLF,8.380551894,10.73177218,30.39951146
1,Needle,A,294,FLF,12.35252411,26.5270224,18.16202764
2,Needle,A,294,FLF,10.79912786,23.23821575,18.12370577
3,Needle,A,294,FLF,11.29650705,20.78808305,21.17879575
4,Needle,A,294,FLF,6.256367719,13.98132844,17.41964329
1,Needle,A,568,FLF,8.795248431,18.18428388,18.83484045
2,Needle,A,568,FLF,14.75922535,31.82712715,18.05827082
3,Needle,A,568,FLF,15.09488187,29.0796559,20.21391768
4,Needle,A,568,FLF,10.65893921,18.27375978,22.71413021
1,Needle,A,1724,FLF,14.52063989,28.25760347,20.01061636
2,Needle,A,1724,FLF,6.81031697,14.2832269,18.56739717
3,Needle,A,1724,FLF,13.43842188,19.94371024,26.23930651
4,Needle,A,1724,FLF,7.469955853,14.7032181,19.7840715
1,Needle,A,3603,FLF,17.81393553,17.98778294,12.73803034
2,Needle,A,3603,FLF,12.73803034,28.57503852,10.50020814
3,Needle,A,3603,FLF,10.50020814,21.50674049,19.21333339
4,Needle,A,3603,FLF,19.21333339,28.12391356,17.81393553
1,Root,A,152,FLF,6.436871507,11.42105193,27.40143926
2,Root,A,152,FLF,4.482560683,12.18691418,17.85526343
3,Root,A,152,FLF,1.766111897,5.812292284,14.77323082
4,Root,A,152,FLF,7.18082421,14.53344179,24.02206585
1,Root,A,294,FLF,5.297630743,14.28490632,18.03054807
2,Root,A,294,FLF,9.739781053,26.27834624,17.99223027
3,Root,A,294,FLF,9.954112889,22.67293452,21.34516621
4,Root,A,294,FLF,8.179896504,17.62288862,22.56707363
1,Root,A,568,FLF,18.44616308,21.69546838,41.31847071
2,Root,A,568,FLF,14.94510411,25.30863857,28.69705873
3,Root,A,568,FLF,11.80526456,15.57946465,36.82395402
4,Root,A,568,FLF,20.50948061,28.7821093,34.62894572
1,Root,A,1724,FLF,21.88298384,38.30939965,27.75929416
2,Root,A,1724,FLF,22.07504325,28.1514944,38.10722592
3,Root,A,1724,FLF,17.16078122,26.09291377,31.96109877
4,Root,A,1724,FLF,NA,NA,NA
1,Root,A,3603,FLF,18.60452005,21.51453236,20.11676535
2,Root,A,3603,FLF,20.11676535,44.23803993,24.9342872
3,Root,A,3603,FLF,24.9342872,45.77865526,36.69005559
4,Root,A,3603,FLF,36.69005559,46.20560928,18.60452005
1,Needle,A,152,total,60.40800564,98.46186163,
2,Needle,A,152,total,63.98319662,107.2888121,
3,Needle,A,152,total,62.29754347,103.9752935,
4,Needle,A,152,total,55.90645444,100.3187634,
1,Needle,A,294,total,51.51127353,93.90096894,
2,Needle,A,294,total,48.78811588,86.30925808,
3,Needle,A,294,total,58.98084584,84.61401001,
4,Needle,A,294,total,49.13733269,80.59777756,
1,Needle,A,568,total,44.74515011,82.69682793,
2,Needle,A,568,total,37.89193273,77.33685962,
3,Needle,A,568,total,40.51600745,76.37613322,
4,Needle,A,568,total,47.4455919,88.82441759,
1,Needle,A,1724,total,26.78856977,51.49168147,
2,Needle,A,1724,total,33.90179247,64.72250265,
3,Needle,A,1724,total,40.61439982,74.57854797,
4,Needle,A,1724,total,42.17309174,75.26027328,
1,Needle,A,3603,total,35.10700707,57.0027337,
2,Needle,A,3603,total,21.77859198,50.28516887,
3,Needle,A,3603,total,24.40660487,50.14185179,
4,Needle,A,3603,total,32.16536664,58.34925488,
1,Needle,O,152,total,67.5601734,103.0283406,
2,Needle,O,152,total,47.98691769,85.7730816,
3,Needle,O,152,total,77.07096028,121.4188722,
4,Needle,O,152,total,71.71017745,88.18220238,
1,Needle,O,294,total,42.92526268,66.67684388,
2,Needle,O,294,total,55.40621645,89.17492217,
3,Needle,O,294,total,49.51473627,88.31821193,
4,Needle,O,294,total,65.60304992,99.68505159,
1,Needle,O,568,total,46.32983648,92.63338008,
2,Needle,O,568,total,40.46159574,83.67027002,
3,Needle,O,568,total,43.29156694,92.14629981,
4,Needle,O,568,total,46.55892111,84.16707985,
1,Needle,O,1724,total,33.62842458,59.00203574,
2,Needle,O,1724,total,33.7235553,62.29601622,
3,Needle,O,1724,total,42.5165844,76.47416474,
4,Needle,O,1724,total,42.48923501,62.33487221,
2,Needle,O,3603,total,20.86653076,42.92225041,
3,Needle,O,3603,total,23.5722465,54.31156218,
4,Needle,O,3603,total,16.70902217,38.79371943,
5,Needle,O,3603,total,28.91712344,61.08497724,
1,Root,A,152,total,80.20980808,78.16731464,
2,Root,A,152,total,81.69681632,96.6133606,
3,Root,A,152,total,87.66839749,106.475169,
4,Root,A,152,total,101.1997326,104.3378617,
1,Root,A,294,total,77.7503084,91.74919774,
2,Root,A,294,total,76.03886084,86.41575885,
3,Root,A,294,total,81.64075131,89.26473448,
4,Root,A,294,total,82.37245454,87.69168462,
1,Root,A,568,total,69.51192938,86.42632888,
2,Root,A,568,total,73.49703399,88.69398436,
3,Root,A,568,total,66.21481074,84.43616013,
4,Root,A,568,total,72.78395556,99.28611313,
1,Root,A,1724,total,51.92257639,81.66430249,
2,Root,A,1724,total,56.46773898,75.24677642,
3,Root,A,1724,total,58.70895895,80.88056339,
4,Root,A,1724,total,47.41031924,67.41855768,
1,Root,A,3603,total,37.89009254,56.09651085,
2,Root,A,3603,total,34.13023378,70.27900266,
3,Root,A,3603,total,66.01607545,99.61863125,
4,Root,A,3603,total,37.90090889,59.69540734,
1,Root,O,152,total,65.23138976,92.14210219,
2,Root,O,152,total,75.38325846,87.27453372,
3,Root,O,152,total,82.95793105,102.1342486,
4,Root,O,152,total,73.19099184,98.87073558,
1,Root,O,294,total,79.95179844,98.94621428,
2,Root,O,294,total,86.88853397,103.6044612,
3,Root,O,294,total,73.41349121,85.18082942,
4,Root,O,294,total,61.91667898,77.38786837,
1,Root,O,568,total,78.12025717,NA,
2,Root,O,568,total,71.06357578,96.39576845,
3,Root,O,568,total,59.91601302,79.91612984,
4,Root,O,568,total,79.06017542,105.044472,
1,Root,O,1724,total,55.4106828,89.01315139,
2,Root,O,1724,total,49.92340056,61.15171425,
3,Root,O,1724,total,78.78893058,89.01875886,
4,Root,O,1724,total,68.38443478,88.10292821,
1,Root,O,3603,total,36.12225279,60.56091203,
2,Root,O,3603,total,34.99701149,54.69874682,
3,Root,O,3603,total,55.10185597,82.22082622,
4,Root,O,3603,total,48.23226615,69.40343422,
